"symbol","is_coding","is_TF","Maven2023_gene_ISL1_WT_d6CP","Gao2019_Isl1.embryo.bound","Gao2019_Isl1.iCPC_CPC.bound"
"LINC01128",0,0,0,0,0
"RERE",1,0,0,1,1
"GPR157",1,0,0,0,0
"CTNNBIP1",1,0,0,0,1
"UBE4B",1,0,0,0,1
"PEX14",1,0,0,1,1
"RNU5E-1",0,0,0,0,0
"VPS13D",1,0,0,1,0
"DHRS3",1,0,0,1,1
"AADACL4",1,0,0,0,0
"CELA2B",1,0,0,0,0
"IGSF21",1,0,0,1,1
"VWA5B1",1,0,0,1,0
"ZBTB40",1,1,0,1,0
"STPG1",1,0,0,1,0
"MAN1C1",1,0,0,1,1
"MTFR1L",1,0,0,0,1
"SMPDL3B",1,0,0,0,0
"SRSF4",1,0,0,0,1
"MECR",1,0,0,0,0
"SNRNP40",1,0,0,0,0
"KPNA6",1,0,0,1,1
"RNF19B",1,0,0,1,1
"CSMD2",1,0,0,0,1
"UBE2V2P4",0,0,0,0,0
"RNA5SP44",0,0,0,0,0
"MACF1",1,0,0,1,1
"SCMH1",1,0,0,1,1
"FOXJ3",1,1,0,0,1
"PTPRF",1,0,0,1,1
"ERI3",1,0,0,1,1
"RNF220",1,0,0,1,1
"RPL21P25",0,0,0,0,0
"AGBL4",1,0,0,1,1
"FAF1",1,0,0,0,1
"GAPDHP51",0,0,0,0,0
"SCP2",1,0,0,1,0
"SSBP3",1,0,0,1,1
"PLPP3",1,0,0,1,1
"FYB2",1,0,0,0,0
"DAB1",1,0,0,1,1
"OMA1",1,0,0,1,0
"FGGY",1,0,0,1,1
"NFIA",1,1,0,1,1
"TM2D1",1,0,0,1,0
"PATJ",1,0,0,1,1
"PGM1",1,0,0,0,0
"ROR1-AS1",0,0,0,0,0
"UBE2U",1,0,0,1,0
"MIR4794",0,0,0,0,0
"PDE4B",1,0,0,1,0
"SGIP1",1,0,0,1,1
"DNAI4",1,0,0,0,0
"GADD45A",1,0,0,1,1
"RNU7-80P",0,0,0,0,0
"GNG12-AS1",0,0,0,0,0
"RN7SL538P",0,0,0,0,0
"LRRC7",1,0,0,1,1
"GDI2P2",0,0,0,0,0
"TNNI3K",1,0,0,1,0
"ST6GALNAC3",1,0,0,1,1
"ST6GALNAC5",1,0,0,1,0
"AK5",1,0,0,1,1
"NSRP1P1",0,0,0,0,0
"ADGRL2",1,0,0,1,1
"HNRNPA3P14",0,0,0,0,0
"ST13P20",0,0,0,0,0
"LINC01361",0,0,0,0,0
"SSX2IP",1,0,0,0,1
"LPAR3",1,0,0,1,1
"HS2ST1",1,0,0,1,1
"LMO4",1,0,0,1,1
"LINC01364",0,0,0,0,0
"GBP3",1,0,0,1,0
"TGFBR3",1,0,0,1,1
"RNA5SP53",0,0,0,0,0
"ABCD3",1,0,0,1,1
"ALG14",1,0,0,1,1
"ALG14-AS1",0,0,0,0,0
"RWDD3-DT",0,0,0,0,0
"LINC02790",0,0,0,0,0
"LINC01787",0,0,0,0,0
"RPL26P9",0,0,0,0,0
"VAV3",1,0,0,1,1
"FAM102B",1,0,0,0,1
"MYBPHL",1,0,0,1,0
"AHCYL1",1,0,0,0,0
"CYMP",0,0,0,0,0
"LINC02884",0,0,0,0,0
"LINC01356",0,0,0,0,0
"HIPK1",1,0,0,1,0
"OLFML3",1,0,0,1,0
"CSDE1",1,0,0,0,0
"IGSF3",1,0,0,1,1
"RNVU1-21",0,0,0,0,0
"PRUNE1",1,0,0,0,0
"ZNF687",1,1,0,0,0
"S100A10",1,0,0,1,0
"EFNA1",1,0,0,0,0
"PRCC",1,0,0,0,1
"ARHGEF11",1,0,0,1,0
"F11R",1,0,0,0,0
"TOMM40L",1,0,0,0,0
"MIR4654",0,0,0,0,0
"SH2D1B",1,0,0,1,0
"RGS5",1,0,0,1,0
"PBX1",1,1,0,1,0
"PRELID1P7",0,0,0,0,0
"UCK2",1,0,0,1,1
"MIR921",0,0,0,0,0
"MPZL1",1,0,0,1,1
"ATP1B1",1,0,0,1,1
"SLC19A2",1,0,0,1,1
"SELP",1,0,0,1,0
"MROH9",1,0,0,1,0
"PRRC2C",1,0,0,0,1
"DNM3",1,0,0,1,1
"C1orf105",1,0,0,0,1
"DARS2",1,0,0,0,0
"ASTN1",1,0,0,1,0
"RGS8",1,0,0,1,0
"LAMC1",1,0,0,1,1
"TSEN15",1,0,0,1,1
"LINC01350",0,0,0,0,0
"HMCN1",1,0,0,1,1
"NEK7",1,0,0,1,1
"CAMSAP2",1,0,0,0,1
"KIF21B",1,0,0,0,1
"CSRP1",1,0,0,1,0
"RNU6-501P",0,0,0,0,0
