"GO_BP"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"
"CTS_Ibarra"	"GO:0051891_positive regulation of cardioblast differentiation"	6	37	3	"GATA4, GATA6, TBX5"	880.736337543526	3.33968020518845e-08	0.00023534726405963	7.47629511755111	3.62829084605384
"CTS_Ibarra"	"GO:0030513_positive regulation of BMP signaling pathway"	38	37	4	"GATA4, GATA6, MSX2, SULF1"	107.542017876267	1.34572916296448e-07	0.000328655344032051	6.87104233600019	3.48325930157086
"CTS_Ibarra"	"GO:0003197_endocardial cushion development"	9	37	3	"GATA4, TBX5, RBM24"	437.491161543208	1.39912875279715e-07	0.000328655344032051	6.85414231834847	3.48325930157086
"CTS_Ibarra"	"GO:0060413_atrial septum morphogenesis"	12	37	3	"GATA4, ISL1, TBX5"	292.661224347963	3.65514561649648e-07	0.000643945278986267	6.43709531660457	3.19115103643526
"CTS_Ibarra"	"GO:0051145_smooth muscle cell differentiation"	16	37	3	"GATA6, MEF2C, MYOCD"	205.078018761697	9.2727451784174e-07	0.00130690070544615	6.03279167477195	2.88375740761071
"CTS_Ibarra"	"GO:0060045_positive regulation of cardiac muscle cell proliferation"	23	37	3	"GATA6, MEF2C, TBX5"	133.434525284328	2.9152868834701e-06	0.00342400444463563	5.53531870135866	2.46546568024504
"CTS_Ibarra"	"GO:0003148_outflow tract septum morphogenesis"	25	37	3	"GATA6, ISL1, MSX2"	120.957743515992	3.77972271524117e-06	0.00380510085347208	5.42254005933149	2.41963382784848
"CTS_Ibarra"	"GO:0010575_positive regulation of vascular endothelial growth factor production"	28	37	3	"GATA4, ISL1, SULF1"	106.500473527322	5.37007227809454e-06	0.00473036241796653	5.27001986890633	2.32510558440101
"CTS_Ibarra"	"GO:0035115_embryonic forelimb morphogenesis"	31	37	3	"MSX2, TBX5, TWIST1"	95.0094211040724	7.34970937929081e-06	0.00575482244398471	5.13372983336011	2.23996807130217
"CTS_Ibarra"	"GO:0090090_negative regulation of canonical Wnt signaling pathway"	132	37	4	"ISL1, SFRP5, DACT1, NKD1"	28.5340381473387	2.02969823675513e-05	0.0114880564635024	4.69256852556155	1.93975343855031
