"GO_BP"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"
"TIPS_Ibarra_STRING"	"GO:0051891_positive regulation of cardioblast differentiation"	6	14	3	"GATA4, GATA6, TBX5"	2514.10189063531	1.56720982328335e-09	1.10441276246778e-05	8.8048728548436	4.95686858334633
"TIPS_Ibarra_STRING"	"GO:0045766_positive regulation of angiogenesis"	136	14	5	"GATA4, GATA6, ISL1, TWIST1, HMGA2"	128.091308418628	3.27218015919664e-09	1.15295267909294e-05	8.48516279302302	4.93818851718974
"TIPS_Ibarra_STRING"	"GO:0003197_endocardial cushion development"	9	14	3	"GATA4, TBX5, RBM24"	1376.32797152496	6.57690752434391e-09	1.54491557746838e-05	8.18197826456457	4.81109524778696
"TIPS_Ibarra_STRING"	"GO:0060413_atrial septum morphogenesis"	12	14	3	"GATA4, ISL1, TBX5"	902.280264446369	1.72111710713494e-08	3.03217806349498e-05	7.76418957868336	4.51824529851406
"TIPS_Ibarra_STRING"	"GO:0003162_atrioventricular node development"	6	14	2	"GATA4, GATA6"	1230.33977385735	2.96817310705843e-06	0.00418334317708816	5.52751077413158	2.37847650697033
"TIPS_Ibarra_STRING"	"GO:0048762_mesenchymal cell differentiation"	8	14	2	"ISL1, HMGA2"	807.780059805729	5.53766553587878e-06	0.00650398817188963	5.256673278332	2.18682025721838
"TIPS_Ibarra_STRING"	"GO:0060575_intestinal epithelial cell differentiation"	9	14	2	"GATA4, GATA6"	707.485478894	7.11797657255148e-06	0.00716576870096718	5.14764344572644	2.14473721424342
"TIPS_Ibarra_STRING"	"GO:0036302_atrioventricular canal development"	11	14	2	"GATA4, GATA6"	550.367246907231	1.08689470298556e-05	0.00957418371492401	4.96381252778803	2.01889824328271
"TIPS_Ibarra_STRING"	"GO:0003215_cardiac right ventricle morphogenesis"	13	14	2	"GATA4, ISL1"	458.09684553643	1.54060079779642e-05	0.012062904246746	4.8123098815764	1.91854811951846
"TIPS_Ibarra_STRING"	"GO:0051145_smooth muscle cell differentiation"	16	14	2	"GATA6, MYOCD"	357.47711125378	2.36827902411147e-05	0.0166892622829135	4.62556713155504	1.77756286005777
"TIPS_Ibarra_STRING"	"GO:0003203_endocardial cushion morphogenesis"	18	14	2	"ISL1, TWIST1"	312.480749724499	3.01796219878947e-05	0.0169738392093857	4.52028620424232	1.77021991614589
"TIPS_Ibarra_STRING"	"GO:2000773_negative regulation of cellular senescence"	18	14	2	"TWIST1, HMGA2"	312.480749724499	3.01796219878947e-05	0.0169738392093857	4.52028620424232	1.77021991614589
"TIPS_Ibarra_STRING"	"GO:0010667_negative regulation of cardiac muscle cell apoptotic process"	19	14	2	"GATA4, MYOCD"	291.714026959127	3.37212642161771e-05	0.0169738392093857	4.47209615196492	1.77021991614589
"TIPS_Ibarra_STRING"	"GO:0055007_cardiac muscle cell differentiation"	19	14	2	"GATA6, MYOCD"	291.714026959127	3.37212642161771e-05	0.0169738392093857	4.47209615196492	1.77021991614589
"TIPS_Ibarra_STRING"	"GO:0060045_positive regulation of cardiac muscle cell proliferation"	23	14	2	"GATA6, TBX5"	238.836545144656	4.98390504243558e-05	0.0234143858893623	4.302430240815	1.63051722837341
"TIPS_Ibarra_STRING"	"GO:0003148_outflow tract septum morphogenesis"	25	14	2	"GATA6, ISL1"	216.994841762774	5.90665015311725e-05	0.0260151022681358	4.2286587513481	1.58477446250676
"TIPS_Ibarra_STRING"	"GO:0010575_positive regulation of vascular endothelial growth factor production"	28	14	2	"GATA4, ISL1"	194.003221630294	7.43648891386412e-05	0.0308264337505885	4.12863206515979	1.5110767150408
"TIPS_Ibarra_STRING"	"GO:0035115_embryonic forelimb morphogenesis"	31	14	2	"TBX5, TWIST1"	173.209693103189	9.14082169749687e-05	0.0343457988571654	4.03901476240089	1.46412637781065
"TIPS_Ibarra_STRING"	"GO:0003180_aortic valve morphogenesis"	32	14	2	"GATA4, TWIST1"	167.418733527009	9.74763696811846e-05	0.0343457988571654	4.01110065364394	1.46412637781065
"TIPS_Ibarra_STRING"	"GO:0003281_ventricular septum development"	32	14	2	"GATA4, TBX5"	167.418733527009	9.74763696811846e-05	0.0343457988571654	4.01110065364394	1.46412637781065
"TIPS_Ibarra_STRING"	"GO:0043388_positive regulation of DNA binding"	33	14	2	"ISL1, MYOCD"	162.814307494525	0.000103737786858045	0.0348114373327927	3.98406302148212	1.45827804471877
"TIPS_Ibarra_STRING"	"GO:0030513_positive regulation of BMP signaling pathway"	38	14	2	"GATA4, GATA6"	139.234765864622	0.000137938445069475	0.0441841919274815	3.86031467396512	1.35473308329006
"TIPS_Ibarra_IID"	"GO:0051891_positive regulation of cardioblast differentiation"	6	14	3	"GATA4, GATA6, TBX5"	2514.10189063531	1.56720982328335e-09	1.10441276246778e-05	8.8048728548436	4.95686858334633
"TIPS_Ibarra_IID"	"GO:0045766_positive regulation of angiogenesis"	136	14	5	"GATA4, GATA6, ISL1, TWIST1, HMGA2"	128.091308418628	3.27218015919664e-09	1.15295267909294e-05	8.48516279302302	4.93818851718974
"TIPS_Ibarra_IID"	"GO:0003197_endocardial cushion development"	9	14	3	"GATA4, TBX5, RBM24"	1376.32797152496	6.57690752434391e-09	1.54491557746838e-05	8.18197826456457	4.81109524778696
"TIPS_Ibarra_IID"	"GO:0060413_atrial septum morphogenesis"	12	14	3	"GATA4, ISL1, TBX5"	902.280264446369	1.72111710713494e-08	3.03217806349498e-05	7.76418957868336	4.51824529851406
"TIPS_Ibarra_IID"	"GO:0003162_atrioventricular node development"	6	14	2	"GATA4, GATA6"	1230.33977385735	2.96817310705843e-06	0.00418334317708816	5.52751077413158	2.37847650697033
"TIPS_Ibarra_IID"	"GO:0048762_mesenchymal cell differentiation"	8	14	2	"ISL1, HMGA2"	807.780059805729	5.53766553587878e-06	0.00650398817188963	5.256673278332	2.18682025721838
"TIPS_Ibarra_IID"	"GO:0060575_intestinal epithelial cell differentiation"	9	14	2	"GATA4, GATA6"	707.485478894	7.11797657255148e-06	0.00716576870096718	5.14764344572644	2.14473721424342
"TIPS_Ibarra_IID"	"GO:0036302_atrioventricular canal development"	11	14	2	"GATA4, GATA6"	550.367246907231	1.08689470298556e-05	0.00957418371492401	4.96381252778803	2.01889824328271
"TIPS_Ibarra_IID"	"GO:0003215_cardiac right ventricle morphogenesis"	13	14	2	"GATA4, ISL1"	458.09684553643	1.54060079779642e-05	0.012062904246746	4.8123098815764	1.91854811951846
"TIPS_Ibarra_IID"	"GO:0051145_smooth muscle cell differentiation"	16	14	2	"GATA6, MYOCD"	357.47711125378	2.36827902411147e-05	0.0166892622829135	4.62556713155504	1.77756286005777
"TIPS_Ibarra_IID"	"GO:0003203_endocardial cushion morphogenesis"	18	14	2	"ISL1, TWIST1"	312.480749724499	3.01796219878947e-05	0.0169738392093857	4.52028620424232	1.77021991614589
"TIPS_Ibarra_IID"	"GO:2000773_negative regulation of cellular senescence"	18	14	2	"TWIST1, HMGA2"	312.480749724499	3.01796219878947e-05	0.0169738392093857	4.52028620424232	1.77021991614589
"TIPS_Ibarra_IID"	"GO:0010667_negative regulation of cardiac muscle cell apoptotic process"	19	14	2	"GATA4, MYOCD"	291.714026959127	3.37212642161771e-05	0.0169738392093857	4.47209615196492	1.77021991614589
"TIPS_Ibarra_IID"	"GO:0055007_cardiac muscle cell differentiation"	19	14	2	"GATA6, MYOCD"	291.714026959127	3.37212642161771e-05	0.0169738392093857	4.47209615196492	1.77021991614589
