"scRNA_signature"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"
"CTS_Ibarra"	"Maven2023_gene_ISL1_targets_CP_E"	111	37	7	"RGS5, DACT1, CGNL1, MYOCD, MEF2C, DPYSL3, MSX2"	67.5802272314651	6.85359838717628e-11	2.33022345163994e-09	10.1640813483076	8.63260243126533
"CTS_Ibarra"	"Takeuchi_gp10"	300	37	8	"KLF6, MSX2, GATA6, PDLIM3, PLK2, PARD6B, GATA4, TUBB2A"	28.2927835677697	2.52371203119615e-09	2.86020696868897e-08	8.59796020188329	7.54360253956069
"CTS_Ibarra"	"Takeuchi_gp5"	300	37	8	"GATA6, PDLIM3, GATA4, PLK2, TWIST1, MSX2, TBX5, SPATS2L"	28.2927835677697	2.52371203119615e-09	2.86020696868897e-08	8.59796020188329	7.54360253956069
"CTS_Ibarra"	"Maven2023_gene_ISL1_targets_CP_L"	208	37	7	"RGS5, DACT1, CGNL1, MYOCD, MEF2C, DPYSL3, GATA4"	34.8817169448471	5.59777235680367e-09	4.75810650328312e-08	8.25198476685489	7.3225658411406
"CTS_Ibarra"	"PCGC_AllCurated"	291	37	7	"GATA4, GATA6, ISL1, MEF2C, MSX2, TBX5, TWIST1"	24.6227305064571	5.62606713390147e-08	3.21460298518944e-07	7.24979508985496	6.49287265632867
"CTS_Ibarra"	"Maven2023_gene_ISL_dn_E"	448	37	8	"CGNL1, MYOCD, MSX2, MEF2C, DACT1, RGS5, PODXL, DPYSL3"	18.6968482246159	5.67282879739314e-08	3.21460298518944e-07	7.24620032298728	6.49287265632867
"CTS_Ibarra"	"Xie_JCF specific"	39	37	4	"MSX2, ARL4C, TBX5, MYOCD"	104.363654845482	1.49822100806486e-07	7.2770734677436e-07	6.82442411754222	6.13804324051423
"CTS_Ibarra"	"Maven2023_gene_ISL_dn_L"	586	37	8	"MYOCD, MEF2C, RBM24, CGNL1, GATA4, DPYSL3, RGS5, DACT1"	14.173671347085	4.38253295162109e-07	1.73740890130517e-06	6.35827480982552	5.76009795778688
"CTS_Ibarra"	"Maven2023_gene_ISL_dn_T"	242	37	6	"GATA6, MYOCD, CGNL1, PODXL, MEF2C, RGS5"	24.6107094585879	4.5990235622784e-07	1.73740890130517e-06	6.33733436538981	5.76009795778688
"CTS_Ibarra"	"Maven2023_gene_ISL1_WT_d6CP"	1368	37	10	"RGS5, LIPA, DACT1, CGNL1, MYOCD, MEF2C, DPYSL3, MSX2, GATA4, SULF1"	7.88675808382134	3.8682268176207e-06	1.31519711799104e-05	5.41248806852052	4.88100915147827
"CTS_Ibarra"	"Maven2023_gene_ISL1_targets_CP_T"	110	37	4	"RGS5, CGNL1, MYOCD, MEF2C"	34.4346375379165	9.88545951141783e-06	3.05550566716551e-05	5.00500313832453	4.5149169064405
"CTS_Ibarra"	"PCGC_Valdiated"	99	37	3	"GATA4, GATA6, TBX5"	27.7254856834118	0.000242221004868931	0.000686292847128638	3.61578819850459	3.16349052750996
"CTS_Ibarra"	"Maven2023_gene_ISL_up_T"	155	37	3	"RND3, PLK2, ARHGAP29"	17.4765572377547	0.000896871501181742	0.00207181486564058	3.04726977582472	2.68364905511548
