"scRNA_signature"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"
"TIPS_Ibarra_STRING"	"PCGC_AllCurated"	291	14	7	"GATA4, GATA6, ISL1, PRDM6, RBFOX2, TBX5, TWIST1"	105.688198846086	2.26567013529593e-11	7.70327846000617e-10	10.6448033199135	9.1133244028712
"TIPS_Ibarra_STRING"	"Takeuchi_gp5"	300	14	4	"GATA6, GATA4, TWIST1, TBX5"	40.5057355176088	8.70578935929794e-06	0.000135811585175611	5.06019184501244	3.86706318172535
"TIPS_Ibarra_STRING"	"PCGC_Valdiated"	99	14	3	"GATA4, GATA6, TBX5"	85.4845623677737	1.19833751625539e-05	0.000135811585175611	4.92142084404794	3.86706318172535
"TIPS_Ibarra_STRING"	"Maven2023_gene_ISL_dn_L"	586	14	4	"MYOCD, RBM24, RBFOX2, GATA4"	20.4139499089637	0.000118618641500643	0.000988422251181588	3.92584705410266	3.00505748640168
"TIPS_Ibarra_STRING"	"Xie_JCF specific"	39	14	2	"TBX5, MYOCD"	136.331096210303	0.000145356213409057	0.000988422251181588	3.83756639910792	3.00505748640168
"TIPS_Ibarra_STRING"	"Maven2023_gene_ISL1_WT_d6CP"	1368	14	4	"HMGA2, MYOCD, PRDM6, GATA4"	8.48446424504737	0.00287338371128337	0.0147891074311906	2.54160637450728	1.83005803624016
"TIPS_Ibarra_STRING"	"Elorbany_C1_RegulonWT1_target"	180	14	2	"GATA4, PRDM6"	28.1919526606253	0.00304481623583337	0.0147891074311906	2.51643891326816	1.83005803624016
"TIPS_Ibarra_STRING"	"Maven2023_gene_ISL1_targets_CP_L"	208	14	2	"MYOCD, GATA4"	24.3167375385342	0.00403891372109833	0.0171653833146679	2.39373542408951	1.7653464940392
"TIPS_Ibarra_STRING"	"Maven2023_gene_ISL_dn_T"	242	14	2	"GATA6, MYOCD"	20.8646425778076	0.00542216894651869	0.0204837493535151	2.2658269545907	1.68859054698777
"TIPS_Ibarra_STRING"	"Elorbany_C5_RegulonMEF2A_target"	283	14	2	"ISL1, RBFOX2"	17.7975020162366	0.00733984063103984	0.0232700484503014	2.13431336975851	1.63320271247276
"TIPS_Ibarra_STRING"	"Takeuchi_gp1"	300	14	2	"MYOCD, RBM24"	16.7713731185879	0.00821295827657697	0.0232700484503014	2.08550038346739	1.63320271247276
"TIPS_Ibarra_STRING"	"Takeuchi_gp10"	300	14	2	"GATA6, GATA4"	16.7713731185879	0.00821295827657697	0.0232700484503014	2.08550038346739	1.63320271247276
"TIPS_Ibarra_IID"	"PCGC_AllCurated"	291	14	7	"GATA4, GATA6, ISL1, PRDM6, RBFOX2, TBX5, TWIST1"	105.688198846086	2.26567013529593e-11	7.70327846000617e-10	10.6448033199135	9.1133244028712
"TIPS_Ibarra_IID"	"Takeuchi_gp5"	300	14	4	"GATA6, GATA4, TWIST1, TBX5"	40.5057355176088	8.70578935929794e-06	0.000135811585175611	5.06019184501244	3.86706318172535
"TIPS_Ibarra_IID"	"PCGC_Valdiated"	99	14	3	"GATA4, GATA6, TBX5"	85.4845623677737	1.19833751625539e-05	0.000135811585175611	4.92142084404794	3.86706318172535
"TIPS_Ibarra_IID"	"Maven2023_gene_ISL_dn_L"	586	14	4	"MYOCD, RBM24, RBFOX2, GATA4"	20.4139499089637	0.000118618641500643	0.000988422251181588	3.92584705410266	3.00505748640168
"TIPS_Ibarra_IID"	"Xie_JCF specific"	39	14	2	"TBX5, MYOCD"	136.331096210303	0.000145356213409057	0.000988422251181588	3.83756639910792	3.00505748640168
"TIPS_Ibarra_IID"	"Maven2023_gene_ISL1_WT_d6CP"	1368	14	4	"HMGA2, MYOCD, PRDM6, GATA4"	8.48446424504737	0.00287338371128337	0.0147891074311906	2.54160637450728	1.83005803624016
"TIPS_Ibarra_IID"	"Elorbany_C1_RegulonWT1_target"	180	14	2	"GATA4, PRDM6"	28.1919526606253	0.00304481623583337	0.0147891074311906	2.51643891326816	1.83005803624016
"TIPS_Ibarra_IID"	"Maven2023_gene_ISL1_targets_CP_L"	208	14	2	"MYOCD, GATA4"	24.3167375385342	0.00403891372109833	0.0171653833146679	2.39373542408951	1.7653464940392
"TIPS_Ibarra_IID"	"Maven2023_gene_ISL_dn_T"	242	14	2	"GATA6, MYOCD"	20.8646425778076	0.00542216894651869	0.0204837493535151	2.2658269545907	1.68859054698777
"TIPS_Ibarra_IID"	"Elorbany_C5_RegulonMEF2A_target"	283	14	2	"ISL1, RBFOX2"	17.7975020162366	0.00733984063103984	0.0232700484503014	2.13431336975851	1.63320271247276
"TIPS_Ibarra_IID"	"Takeuchi_gp1"	300	14	2	"MYOCD, RBM24"	16.7713731185879	0.00821295827657697	0.0232700484503014	2.08550038346739	1.63320271247276
"TIPS_Ibarra_IID"	"Takeuchi_gp10"	300	14	2	"GATA6, GATA4"	16.7713731185879	0.00821295827657697	0.0232700484503014	2.08550038346739	1.63320271247276
