"scRNA_signature"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"	"category"	"database"
"CTS_Ibarra"	"Maven2023_ISL1_targets_CP_E"	111	37	7	"RGS5, DACT1, CGNL1, MYOCD, MEF2C, DPYSL3, MSX2"	67.5802272314651	6.85359838717628e-11	2.33022345163994e-09	10.1640813483076	8.63260243126533	"CTS"	"Ibarra"
"CTS_Ibarra"	"Takeuchi_gp5"	300	37	8	"GATA6, PDLIM3, GATA4, PLK2, TWIST1, MSX2, TBX5, SPATS2L"	28.2927835677697	2.52371203119615e-09	2.86020696868897e-08	8.59796020188329	7.54360253956069	"CTS"	"Ibarra"
"CTS_Ibarra"	"Maven2023_ISL1_targets_CP_L"	208	37	7	"RGS5, DACT1, CGNL1, MYOCD, MEF2C, DPYSL3, GATA4"	34.8817169448471	5.59777235680367e-09	4.75810650328312e-08	8.25198476685489	7.3225658411406	"CTS"	"Ibarra"
"CTS_Ibarra"	"PCGC_AllCurated"	291	37	7	"GATA4, GATA6, ISL1, MEF2C, MSX2, TBX5, TWIST1"	24.6227305064571	5.62606713390147e-08	3.21460298518944e-07	7.24979508985496	6.49287265632867	"CTS"	"Ibarra"
"CTS_Ibarra"	"Xie_JCF specific"	39	37	4	"MSX2, ARL4C, TBX5, MYOCD"	104.363654845482	1.49822100806486e-07	7.2770734677436e-07	6.82442411754222	6.13804324051423	"CTS"	"Ibarra"
"CTS_Ibarra"	"Maven2023_ISL1_WT_d6CP"	1368	37	10	"RGS5, LIPA, DACT1, CGNL1, MYOCD, MEF2C, DPYSL3, MSX2, GATA4, SULF1"	7.88675808382134	3.8682268176207e-06	1.31519711799104e-05	5.41248806852052	4.88100915147827	"CTS"	"Ibarra"
"CTS_Ibarra"	"Maven2023_ISL1_targets_CP_T"	110	37	4	"RGS5, CGNL1, MYOCD, MEF2C"	34.4346375379165	9.88545951141783e-06	3.05550566716551e-05	5.00500313832453	4.5149169064405	"CTS"	"Ibarra"
"CTS_Ibarra"	"PCGC_Valdiated"	99	37	3	"GATA4, GATA6, TBX5"	27.7254856834118	0.000242221004868931	0.000686292847128638	3.61578819850459	3.16349052750996	"CTS"	"Ibarra"
"CTS_Ibarra"	"Elorbany_C1_RegulonWT1_target"	180	37	3	"GATA4, PLK2, PARD6B"	14.9992346649115	0.0013792406118523	0.00293088630018613	2.86035996349465	2.53300102910832	"CTS"	"Ibarra"
"CTS_Ibarra"	"Elorbany_C5_RegulonMEF2A_target"	283	37	3	"CGNL1, ISL1, MEF2C"	9.45037655120685	0.00494831933429159	0.00989663866858317	2.30554228142657	2.00451228576259	"CTS"	"Ibarra"
"CTS_Pijuan"	"Maven2023_ISL1_WT_d6CP"	1368	52	13	"OLFML3, PLXNA2, MPPED2, TOX3, RARB, ROBO2, P3H2, SPRY1, STOX2, ELMO1, NRG1, NCALD, SH3KBP1"	7.10985761489295	3.7298627294843e-07	4.22717776008221e-06	6.42830715128099	5.3739494889584	"CTS"	"Pijuan"
"CTS_Pijuan"	"PCGC_AllCurated"	291	52	6	"FGFR2, IRX5, ISL1, NR2F2, OSR1, TBX1"	13.7078414744137	1.04459216299855e-05	7.03203086835944e-05	4.98105323675984	4.15291923151666	"CTS"	"Pijuan"
"CTS_Pijuan"	"Elorbany_C1_RegulonWT1_target"	180	52	5	"CHD3, ROBO2, NR2F2, RHOU, PLXNA2"	18.2790047430732	1.44777106113283e-05	7.03203086835944e-05	4.83930010854466	4.15291923151666	"CTS"	"Pijuan"
"CTS_Pijuan"	"Xie_SHF specific"	30	52	3	"TBX1, ISL1, TSPAN7"	68.3639913703729	1.87090800811241e-05	7.95135903447773e-05	4.72794756608168	4.09955863603137	"CTS"	"Pijuan"
"CTS_Pijuan"	"Maven2023_ISL1_targets_CP_T"	110	52	4	"PLXNA2, MPPED2, RARB, ROBO2"	23.7027080767011	3.88596960683858e-05	0.000146803296258346	4.41050060045109	3.83326419284816	"CTS"	"Pijuan"
"CTS_Pijuan"	"Maven2023_ISL1_targets_CP_L"	208	52	4	"PLXNA2, MPPED2, ROBO2, SPRY1"	12.2734609227074	0.000450603215179062	0.00139277357418983	3.34620571378941	2.85611948190538	"CTS"	"Pijuan"
"CTS_Pijuan"	"Elorbany_C1_RegulonSOX4_target"	94	52	3	"ROBO2, NR2F2, FAM110B"	20.284343861601	0.000571691048980401	0.00161979130544447	3.24283860752134	2.79054093652671	"CTS"	"Pijuan"
"CTS_Pijuan"	"Maven2023_ISL1_targets_CP_E"	111	52	3	"PLXNA2, MPPED2, ROBO2"	17.0832382596297	0.000926824017480526	0.00242400127648753	3.03300272054012	2.6154671558047	"CTS"	"Pijuan"
"CTS_Pijuan"	"Takeuchi_gp5"	300	52	4	"CLU, TRABD2B, FAM110B, NRG1"	8.43191280986118	0.00175228113857725	0.00397183724744177	2.75639621372871	2.40100855574214	"CTS"	"Pijuan"
"CTS_Pijuan"	"Elorbany_C1_RegulonPLAGL1_target"	200	52	3	"PDCD4, CHD3, B3GALNT1"	9.34183399925926	0.00493077452807836	0.0104778958721665	2.30708485620952	1.97972592182319	"CTS"	"Pijuan"
"CTS_Elorbany"	"Maven2023_ISL1_targets_CP_T"	110	79	12	"DAB1, FAM89A, PLCE1, SC5D, PRTG, CGNL1, MEIS1, JAG1, PTPN13, BMP5, BMPER, SLC25A37"	55.0164583178791	1.17606997249652e-16	1.33287930216272e-15	15.9295668383236	14.875209176001	"CTS"	"Elorbany"
"CTS_Elorbany"	"Maven2023_ISL1_WT_d6CP"	1368	79	22	"FYB2, DAB1, IGSF3, FAM89A, PLCE1, SC5D, PRTG, CGNL1, ORC6, CHST9, MEIS1, LRP2, JAG1, NINL, HACD2, PTPN13, ZNF608, BMP5, BMPER, DYNC1I1, ENTPD4, SLC25A37"	8.282959115362	3.52909876643815e-12	2.39978716117794e-11	11.4523361871717	10.6198272744654	"CTS"	"Elorbany"
"CTS_Elorbany"	"Maven2023_ISL1_targets_CP_L"	208	79	10	"DAB1, FAM89A, PLCE1, SC5D, CGNL1, ORC6, MEIS1, PTPN13, BMPER, ENTPD4"	21.9680732327737	1.77773486050684e-10	9.67931317577531e-10	9.7501330111978	9.01415545824464	"CTS"	"Elorbany"
"CTS_Elorbany"	"Elorbany_C5_RegulonMEF2A_target"	283	79	11	"LPGAT1, CGNL1, TP53I11, KIAA1324L, SC5D, HACD2, JAG1, ISL1, RHOBTB3, IGSF3, CHIC2"	17.8170292781526	1.99279977148315e-10	9.67931317577531e-10	9.70053633527264	9.01415545824464	"CTS"	"Elorbany"
"CTS_Elorbany"	"Maven2023_ISL1_targets_CP_E"	111	79	8	"DAB1, FAM89A, SC5D, PRTG, CGNL1, MEIS1, JAG1, PTPN13"	32.9313944168853	5.26192234207294e-10	2.236316995381e-09	9.27885556572543	8.65046663567512	"CTS"	"Elorbany"
