"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_1"	676	"GABARAPL2"	42	"HiG"
"HiG_1"	50	"LGALS1"	147	"HiG"
"HiG_1"	8	"MACROD2"	184	"HiG"
"HiG_1"	164	"PGRMC1"	115	"HiG"
"HiG_1"	0	"PCSK1N"	296.5	"HiG"
"HiG_1"	165	"RABAC1"	113.5	"HiG"
"HiG_1"	3	"RPL18A"	201.5	"HiG"
"HiG_1"	8	"GLCCI1"	184	"HiG"
"HiG_1"	33	"EDF1"	157.5	"HiG"
"HiG_1"	1603	"RPL19"	20	"HiG"
"HiG_1"	94	"RPS12"	128	"HiG"
"HiG_1"	731	"SKP1"	41	"HiG"
"HiG_1"	0	"TMSB10"	296.5	"HiG"
"HiG_1"	0	"CAMSAP2"	296.5	"HiG"
"HiG_1"	297	"ATP5F1E"	92	"HiG"
"HiG_1"	202	"DSTN"	107	"HiG"
"HiG_1"	460	"HSPB1"	56.5	"HiG"
"HiG_1"	1291	"YWHAH"	25	"HiG"
"HiG_1"	12	"JUND"	176.5	"HiG"
"HiG_1"	2	"CALY"	209.5	"HiG"
"HiG_1"	757	"H3-3B"	40	"HiG"
"HiG_1"	99	"SNAP25"	126	"HiG"
"HiG_1"	255	"SYT4"	96	"HiG"
"HiG_1"	242	"SARAF"	100	"HiG"
"HiG_1"	376	"UNC79"	71	"HiG"
"HiG_1"	0	"KIDINS220"	296.5	"HiG"
"HiG_1"	0	"PRPH"	296.5	"HiG"
"HiG_1"	30	"COX5B"	162	"HiG"
"HiG_1"	0	"TMOD1"	296.5	"HiG"
"HiG_1"	0	"RPL35"	296.5	"HiG"
"HiG_1"	0	"TUBB2B"	296.5	"HiG"
"HiG_1"	0	"TTLL7"	296.5	"HiG"
"HiG_1"	405	"SYT1"	64	"HiG"
"HiG_1"	24	"PEBP1"	167	"HiG"
"HiG_1"	0	"RIMBP2"	296.5	"HiG"
"HiG_1"	0	"ELOB"	296.5	"HiG"
"HiG_1"	5	"RPL8"	194.5	"HiG"
"HiG_1"	418	"PRDX1"	61	"HiG"
"HiG_1"	253	"TIMP2"	97	"HiG"
"HiG_1"	8	"CD81"	184	"HiG"
"HiG_1"	0	"KIF1B"	296.5	"HiG"
"HiG_1"	0	"CRACD"	296.5	"HiG"
"HiG_1"	0	"KIF3C"	296.5	"HiG"
"HiG_1"	0	"PRDX5"	296.5	"HiG"
"HiG_1"	14	"RTN1"	173.5	"HiG"
"HiG_1"	371	"SRP14"	73	"HiG"
"HiG_1"	40	"CDH2"	152	"HiG"
"HiG_1"	3726	"SOD1"	8	"HiG"
"HiG_1"	0	"RPS11"	296.5	"HiG"
"HiG_1"	0	"SH3BGRL3"	296.5	"HiG"
"HiG_1"	0	"RPS27A"	296.5	"HiG"
"HiG_1"	32	"ARL6IP5"	160	"HiG"
"HiG_1"	358	"FTH1"	78	"HiG"
"HiG_1"	0	"RPL37"	296.5	"HiG"
"HiG_1"	53	"PHIP"	144	"HiG"
"HiG_1"	51	"ARHGAP36"	145.5	"HiG"
"HiG_1"	354	"CRH"	79	"HiG"
"HiG_1"	8188	"RPS3"	2	"HiG"
"HiG_1"	614	"ANK3"	50	"HiG"
"HiG_1"	0	"AKAP6"	296.5	"HiG"
"HiG_1"	831	"MYCN"	36.5	"HiG"
"HiG_1"	0	"NBAS"	296.5	"HiG"
"HiG_1"	55	"GRIA4"	142.5	"HiG"
"HiG_1"	0	"RAB3C"	296.5	"HiG"
"HiG_1"	349	"THY1"	82.5	"HiG"
"HiG_1"	3047	"UCHL1"	11	"HiG"
"HiG_1"	3	"MMP16"	201.5	"HiG"
"HiG_1"	2087	"SST"	13	"HiG"
"HiG_1"	18	"NRG1"	170	"HiG"
"HiG_1"	6852	"CALM3"	4	"HiG"
"HiG_1"	0	"RPL29"	296.5	"HiG"
"HiG_1"	349	"PTPRN"	82.5	"HiG"
"HiG_1"	147	"HPGD"	118.5	"HiG"
"HiG_1"	0	"GRIA2"	296.5	"HiG"
"HiG_1"	0	"RPS23"	296.5	"HiG"
"HiG_1"	1409	"MAP1B"	21	"HiG"
"HiG_1"	0	"HSP90B1"	296.5	"HiG"
"HiG_1"	4	"MAP1A"	198	"HiG"
"HiG_1"	156	"ATP5PD"	116	"HiG"
"HiG_1"	87	"ZNF804A"	130	"HiG"
"HiG_1"	221	"SCG2"	102.5	"HiG"
"HiG_1"	43	"HINT1"	151	"HiG"
"HiG_1"	0	"ALCAM"	296.5	"HiG"
"HiG_1"	0	"PAM"	296.5	"HiG"
"HiG_1"	1037	"YWHAG"	31	"HiG"
"HiG_1"	1	"CTNND2"	218	"HiG"
