signature	gene	BetweennessCentrality	PPI_cat	rank_by_BC	PCGC_AllCurated
HiG_1	RPS3	8188	HiG	2	FALSE
HiG_1	CALM3	6852	HiG	4	FALSE
HiG_1	HSP90AB1	7094	HiG	3	FALSE
HiG_1	GAPDH	11931	HiG	1	FALSE
HiG_1	UBC	6330	HiG	5	FALSE
HiG_2	CACNA1C	4750	HiG	5	TRUE
HiG_2	CLU	5518	HiG	2	FALSE
HiG_2	MAPT	9617	HiG	1	FALSE
HiG_2	PDE4D	4970	HiG	4	FALSE
HiG_2	GNAS	5311	HiG	3	FALSE
HiG_3	MYCN	3412	HiG	4	TRUE
HiG_3	CNTNAP2	6327	HiG	1	FALSE
HiG_3	DPP6	3376	HiG	5	FALSE
HiG_3	PTPRD	4138	HiG	3	FALSE
HiG_3	NRXN1	5391	HiG	2	FALSE
HiG_4	RPL19	1680	HiG	3	FALSE
HiG_4	GAPDH	3289	HiG	1	FALSE
HiG_4	CTNNA2	1191	HiG	5	FALSE
HiG_4	NRXN1	1426	HiG	4	FALSE
HiG_4	ACTG1	1975	HiG	2	FALSE
HiG_5	RPS27A	7929	HiG	1	FALSE
HiG_5	AUTS2	5597	HiG	4	FALSE
HiG_5	CNTNAP2	5237	HiG	5	FALSE
HiG_5	PTPRD	5699	HiG	3	FALSE
HiG_5	DOCK4	6370	HiG	2	FALSE
HiG_6	H3-3B	11705	HiG	3	FALSE
HiG_6	CACNA1C	17932	HiG	1	TRUE
HiG_6	MYCN	12684	HiG	2	TRUE
HiG_6	KCND2	9820	HiG	5	FALSE
HiG_6	PTPRD	11625	HiG	4	FALSE
HiG_7	MYCN	7349	HiG	1	TRUE
HiG_7	KCND2	5824	HiG	2	FALSE
HiG_7	CNTNAP2	5451	HiG	4	FALSE
HiG_7	ALK	5325	HiG	5	FALSE
HiG_7	NRXN1	5643	HiG	3	FALSE
HiG_8	CACNA1C	4973	HiG	5	TRUE
HiG_8	ANK2	6107	HiG	3	FALSE
HiG_8	ELAVL4	6590	HiG	2	FALSE
HiG_8	RBFOX1	10068	HiG	1	FALSE
HiG_8	NLGN1	5205	HiG	4	FALSE
HiG_10	RPL19	3298	HiG	2	FALSE
HiG_10	GNAS	2940	HiG	4	FALSE
HiG_10	GAP43	3031	HiG	3	FALSE
HiG_10	GAPDH	15077	HiG	1	FALSE
HiG_10	NEFL	2914	HiG	5	FALSE
HiG_11	RPS27A	15195	HiG	3	FALSE
HiG_11	MAPT	7810	HiG	4	FALSE
HiG_11	DSCAM	7534	HiG	5	FALSE
HiG_11	NRXN1	33355	HiG	1	FALSE
HiG_11	GRIA1	17912	HiG	2	FALSE
HiG_12	H3-3B	17432	HiG	1	FALSE
HiG_12	CNTNAP2	14554	HiG	3	FALSE
HiG_12	RBFOX1	17216	HiG	2	FALSE
HiG_12	NLGN1	11092	HiG	4	FALSE
HiG_12	ACTG1	10026	HiG	5	FALSE
HiG_13	RPS3	7905	HiG	2	FALSE
HiG_13	EEF1A1	12274	HiG	1	FALSE
HiG_13	MT-CO1	4480	HiG	5	FALSE
HiG_13	GAPDH	5183	HiG	4	FALSE
HiG_13	B2M	5340	HiG	3	FALSE
HiG_14	SEMA3A	51307	HiG	3	TRUE
HiG_14	CDK6	43706	HiG	5	FALSE
HiG_14	ANK3	75946	HiG	1	FALSE
HiG_14	DSCAM	45243	HiG	4	FALSE
HiG_14	NRXN1	54503	HiG	2	FALSE
HiG_16	FDX1	12584	HiG	4	FALSE
HiG_16	SCARB1	32642	HiG	1	FALSE
HiG_16	STAR	10477	HiG	5	FALSE
HiG_16	HSD3B2	13217	HiG	3	FALSE
HiG_16	IGF1R	26317	HiG	2	FALSE
HiG_17	MAPT	36011	HiG	3	FALSE
HiG_17	NF1	55448	HiG	1	TRUE
HiG_17	PRKN	43692	HiG	2	FALSE
HiG_17	PRKACB	29500	HiG	5	FALSE
HiG_17	NRXN1	33825	HiG	4	FALSE
HiG_15	CD4	21381	HiG	3	FALSE
HiG_15	KIF11	22422	HiG	2	FALSE
HiG_15	RUNX1	21205	HiG	4	FALSE
HiG_15	TOP2A	20164	HiG	5	FALSE
HiG_15	ACTB	65555	HiG	1	FALSE
HiG_9	MAPT	2932	HiG	3	FALSE
HiG_9	ANK2	2362	HiG	4	FALSE
HiG_9	CNTNAP2	3998	HiG	1	FALSE
HiG_9	DPP6	1906	HiG	5	FALSE
HiG_9	RBFOX1	3575	HiG	2	FALSE
HiGCTS_15	PFN1	122	HiGCTS	5	FALSE
HiGCTS_15	KIF11	147	HiGCTS	3	FALSE
HiGCTS_15	ASPM	146	HiGCTS	4	FALSE
HiGCTS_15	DIAPH3	193	HiGCTS	2	FALSE
HiGCTS_15	TOP2A	260	HiGCTS	1	FALSE
HiGCTS_16	SCARB1	3461	HiGCTS	1	FALSE
HiGCTS_16	ATP1B3	1130	HiGCTS	3	FALSE
HiGCTS_16	ITPR1	916	HiGCTS	5	FALSE
HiGCTS_16	CYP17A1	930	HiGCTS	4	FALSE
HiGCTS_16	ERN1	1186	HiGCTS	2	FALSE
CTS_15	PFN1	174	CTS	4	FALSE
CTS_15	KIF11	308	CTS	3	FALSE
CTS_15	CENPE	312	CTS	2	FALSE
CTS_15	ASPM	172	CTS	5	FALSE
CTS_15	TOP2A	504	CTS	1	FALSE
CTS_16	FDX1	1155	CTS	3	FALSE
CTS_16	SCARB1	3828	CTS	1	FALSE
CTS_16	ATP1B3	1113	CTS	4.5	FALSE
CTS_16	CYP17A1	1113	CTS	4.5	FALSE
CTS_16	ERN1	1332	CTS	2	FALSE
CTS_9	SCARB1	1904	CTS	1	FALSE
CTS_9	CYP11A1	808	CTS	5	FALSE
CTS_9	ITPR1	961	CTS	2	FALSE
CTS_9	ERN1	933	CTS	3	FALSE
CTS_9	HSD3B2	836	CTS	4	FALSE
