signature	gene	PageRank	PPI_cat	rank_by_PR	normalized.strength	rank_by_normalized.strength	PCGC_AllCurated
CTS_15	ASPM	0.0354774235513325	CTS	4	0.0722105734916709	4	FALSE
CTS_15	KIF11	0.0390136115054433	CTS	2	0.0790311156513514	1	FALSE
CTS_15	KIF14	0.0346163591037943	CTS	5	0.0681270219642257	5	FALSE
CTS_15	TOP2A	0.0396865627981029	CTS	1	0.0757899990604986	2	FALSE
CTS_15	TPX2	0.0371480324808105	CTS	3	0.072682050959831	3	FALSE
CTS_16	CYP11B1	0.026351390854084	CTS	5	0.0198109852164786	5	FALSE
CTS_16	CYP17A1	0.0301457307350031	CTS	3	0.022689531274221	3	FALSE
CTS_16	FDX1	0.0309099545243499	CTS	2	0.0229410111631828	2	FALSE
CTS_16	SCARB1	0.0450336533235476	CTS	1	0.0278813430451989	1	FALSE
CTS_16	STAR	0.0297567075121633	CTS	4	0.0220852177182035	4	FALSE
CTS_9	CYP11A1	0.0307194630659174	CTS	2	0.0567699906655449	1	FALSE
CTS_9	CYP17A1	0.0300843385635574	CTS	3	0.0554305003549213	2	FALSE
CTS_9	HSD3B2	0.0278854147662703	CTS	5	0.0512011051064782	5	FALSE
CTS_9	SCARB1	0.0404738708455265	CTS	1	0.0539078634707963	3	FALSE
CTS_9	STAR	0.0290763414003845	CTS	4	0.0527745161526065	4	FALSE
HiGCTS_15	ASPM	0.052776448316488	HiGCTS	4	0.0744758654720279	4	FALSE
HiGCTS_15	KIF11	0.0573075091606667	HiGCTS	2	0.0807849300454459	1	FALSE
HiGCTS_15	KIF15	0.0446002986811859	HiGCTS	5	0.0629096430058104	5	FALSE
HiGCTS_15	TOP2A	0.0578554070785858	HiGCTS	1	0.0765499102221353	2	FALSE
HiGCTS_15	TPX2	0.0536036582346395	HiGCTS	3	0.0746782631235293	3	FALSE
HiGCTS_16	CYP11B1	0.0284807265420323	HiGCTS	5	0.0224726686126856	5	FALSE
HiGCTS_16	CYP17A1	0.032762252746743	HiGCTS	2	0.0257427657516831	2	FALSE
HiGCTS_16	FDX1	0.0309974943603239	HiGCTS	4	0.0248535152864161	4	FALSE
HiGCTS_16	SCARB1	0.0493453571295017	HiGCTS	1	0.0314015436683819	1	FALSE
HiGCTS_16	STAR	0.032472189975806	HiGCTS	3	0.0250565888929768	3	FALSE
HiG_1	CALM3	0.00844579399875918	HiG	4	0.0513503772189242	26	FALSE
HiG_1	GAPDH	0.0120888314044595	HiG	1	0.0850986092368699	1	FALSE
HiG_1	HSP90AA1	0.00852276776458512	HiG	3	0.0637224618435486	4	FALSE
HiG_1	HSP90AB1	0.00856170281026719	HiG	2	0.0648142715751807	3	FALSE
HiG_1	RPS3	0.00674025664640982	HiG	5	0.0701021132313545	2	FALSE
