signature	gene	normalized.strength	PPI_cat	rank_by_normalized.strength	PCGC_AllCurated
CTS_15	KIF11	0.0790311156513514	CTS	1	FALSE
CTS_15	TOP2A	0.0757899990604986	CTS	2	FALSE
CTS_15	TPX2	0.072682050959831	CTS	3	FALSE
CTS_15	ASPM	0.0722105734916709	CTS	4	FALSE
CTS_15	KIF14	0.0681270219642257	CTS	5	FALSE
CTS_16	SCARB1	0.0278813430451989	CTS	1	FALSE
CTS_16	FDX1	0.0229410111631828	CTS	2	FALSE
CTS_16	CYP17A1	0.022689531274221	CTS	3	FALSE
CTS_16	STAR	0.0220852177182035	CTS	4	FALSE
CTS_16	CYP11B1	0.0198109852164786	CTS	5	FALSE
CTS_9	CYP11A1	0.0567699906655449	CTS	1	FALSE
CTS_9	CYP17A1	0.0554305003549213	CTS	2	FALSE
CTS_9	SCARB1	0.0539078634707963	CTS	3	FALSE
CTS_9	STAR	0.0527745161526065	CTS	4	FALSE
CTS_9	HSD3B2	0.0512011051064782	CTS	5	FALSE
HiGCTS_15	KIF11	0.0807849300454459	HiGCTS	1	FALSE
HiGCTS_15	TOP2A	0.0765499102221353	HiGCTS	2	FALSE
HiGCTS_15	TPX2	0.0746782631235293	HiGCTS	3	FALSE
HiGCTS_15	ASPM	0.0744758654720279	HiGCTS	4	FALSE
HiGCTS_15	KIF15	0.0629096430058104	HiGCTS	5	FALSE
HiGCTS_16	SCARB1	0.0314015436683819	HiGCTS	1	FALSE
HiGCTS_16	CYP17A1	0.0257427657516831	HiGCTS	2	FALSE
HiGCTS_16	STAR	0.0250565888929768	HiGCTS	3	FALSE
HiGCTS_16	FDX1	0.0248535152864161	HiGCTS	4	FALSE
HiGCTS_16	CYP11B1	0.0224726686126856	HiGCTS	5	FALSE
HiG_1	GAPDH	0.0850986092368699	HiG	1	FALSE
HiG_1	RPS3	0.0701021132313545	HiG	2	FALSE
HiG_1	HSP90AB1	0.0648142715751807	HiG	3	FALSE
HiG_1	HSP90AA1	0.0637224618435486	HiG	4	FALSE
HiG_1	EEF1A1	0.0622022498995307	HiG	5	FALSE
HiG_10	GAPDH	0.0673474420870706	HiG	1	FALSE
HiG_10	ACTB	0.0470575018298049	HiG	2	FALSE
HiG_10	HSP90AA1	0.0427890044363279	HiG	3	FALSE
HiG_10	HSP90AB1	0.0368052395333529	HiG	4	FALSE
HiG_10	FAU	0.0342464473072185	HiG	5	FALSE
HiG_11	NRXN1	0.0180759939113155	HiG	1	FALSE
HiG_11	GRIA1	0.013685818603307	HiG	2	FALSE
HiG_11	RPS27A	0.0101483798334502	HiG	3	FALSE
HiG_11	RBFOX1	0.00954799252561022	HiG	4	FALSE
HiG_11	MAPT	0.00848122946834749	HiG	5	FALSE
HiG_12	RPL19	0.0115231222107722	HiG	1	FALSE
HiG_12	RPL18	0.010993018030279	HiG	2	FALSE
HiG_12	RPL11	0.0109080240621532	HiG	3	TRUE
HiG_12	RPL37A	0.0107270707973453	HiG	4	FALSE
HiG_12	RPLP0	0.0103372127214494	HiG	5	FALSE
HiG_13	RPS3	0.111150831416682	HiG	1	FALSE
HiG_13	EEF1A1	0.104138986854944	HiG	2	FALSE
HiG_13	RPS2	0.101950198640331	HiG	3	FALSE
HiG_13	RPS18	0.101816083091384	HiG	4	FALSE
HiG_13	RPL5	0.101223795257873	HiG	5	TRUE
HiG_14	NRXN1	0.0042343498317021	HiG	1	FALSE
HiG_14	ANK3	0.00379247905225152	HiG	2	FALSE
HiG_14	GRIA1	0.00348020134294035	HiG	3	FALSE
HiG_14	DLG2	0.00338379301309984	HiG	4	FALSE
HiG_14	NCAM1	0.00320501694648786	HiG	5	FALSE
HiG_15	ACTB	0.00885024119278868	HiG	1	FALSE
HiG_15	TOP2A	0.00711943316668641	HiG	2	FALSE
HiG_15	KIF11	0.00577876048154965	HiG	3	FALSE
HiG_15	TPX2	0.00516626277619243	HiG	4	FALSE
HiG_15	BUB1B	0.00513511441129462	HiG	5	FALSE
HiG_16	RPL13A	0.0164208621147045	HiG	1	FALSE
HiG_16	RPL8	0.0160131298609892	HiG	2	FALSE
HiG_16	RPS6	0.0158906208023942	HiG	3	FALSE
HiG_16	RPS27	0.0154940117609238	HiG	4	FALSE
HiG_16	RPS14	0.0146788828644775	HiG	5	FALSE
HiG_17	APP	0.00203335102136797	HiG	1	FALSE
HiG_17	NRXN1	0.0020022518532213	HiG	2	FALSE
HiG_17	MAPT	0.00197300904837381	HiG	3	FALSE
HiG_17	GSK3B	0.00190028646945707	HiG	4	FALSE
HiG_17	SNAP25	0.00184604131551979	HiG	5	FALSE
HiG_2	MAPT	0.01026065972202	HiG	1	FALSE
HiG_2	NRXN1	0.00997771830517988	HiG	2	FALSE
HiG_2	CACNA1C	0.00872035511391189	HiG	3	TRUE
HiG_2	RBFOX1	0.00815734650160072	HiG	4	FALSE
HiG_2	RPS23	0.00768097506161404	HiG	5	FALSE
HiG_3	NRXN1	0.014638632663338	HiG	1	FALSE
HiG_3	CNTNAP2	0.0132820891363486	HiG	2	FALSE
HiG_3	GRIA1	0.0122900789801961	HiG	3	FALSE
HiG_3	RBFOX1	0.0109831240943034	HiG	4	FALSE
HiG_3	PTPRD	0.00955807414423514	HiG	5	FALSE
HiG_4	RPS18	0.112074512035773	HiG	1	FALSE
HiG_4	RPLP1	0.111250463146346	HiG	2	FALSE
HiG_4	RPS3A	0.109311632867631	HiG	3	FALSE
HiG_4	RPS27A	0.108613644631629	HiG	4	FALSE
HiG_4	RPL36	0.108212666941603	HiG	5	FALSE
HiG_5	PTPRD	0.009199488077944	HiG	1	FALSE
HiG_5	CNTNAP2	0.00796052592890504	HiG	2	FALSE
HiG_5	RBFOX1	0.00786279822493695	HiG	3	FALSE
HiG_5	RPS27A	0.00769630595677826	HiG	4	FALSE
HiG_5	NRXN1	0.00766039434695554	HiG	5	FALSE
HiG_6	CACNA1C	0.00995349782353268	HiG	1	TRUE
HiG_6	PTPRD	0.00955310015961731	HiG	2	FALSE
HiG_6	GRIA1	0.00877699222149826	HiG	3	FALSE
HiG_6	CNTNAP2	0.00824659168397056	HiG	4	FALSE
HiG_6	NRXN1	0.0079578037146943	HiG	5	FALSE
HiG_7	RPS6	0.0156808192599628	HiG	1	FALSE
HiG_7	RPL13	0.015146502551486	HiG	2	FALSE
HiG_7	RPS15	0.0150645137962942	HiG	3	FALSE
HiG_7	RPS3A	0.0146661158002772	HiG	4	FALSE
HiG_7	RPS24	0.0143449816604415	HiG	5	TRUE
HiG_8	RBFOX1	0.0112488406415938	HiG	1	FALSE
HiG_8	NRXN1	0.00918328776304396	HiG	2	FALSE
HiG_8	NLGN1	0.00917376988833364	HiG	3	FALSE
HiG_8	CACNA1C	0.00857098456260261	HiG	4	TRUE
HiG_8	ANK2	0.00854302260382489	HiG	5	FALSE
HiG_9	CNTNAP2	0.0190791450689975	HiG	1	FALSE
HiG_9	MAPT	0.0173222287906431	HiG	2	FALSE
HiG_9	RBFOX1	0.0171663482619585	HiG	3	FALSE
HiG_9	ANK2	0.0165774615914385	HiG	4	FALSE
HiG_9	SYT1	0.0153795574711116	HiG	5	FALSE
