CP_hi	CM_hi	CF_hi	CTS_15	cisTarget_CEBPZ;DRAP1;FOS;FOXI1;HMGXB3;IRF3;MBD2;NFYA;NFYB;NFYC;PBX1;PBX3;SP2;YBX1.motif_target	cisTarget_E2F8.motif_target	cisTarget_E2F1;E2F4;E2F6;TFDP1.motif_target	cisTarget_E2F1;E2F3;E2F4;E2F6;E2F7;E2F8;TFDP1;TFDP2.motif_target	cisTarget_CEBPZ;DRAP1;FOXI1;HMGXB3;IRF3;MBD2;NFYA;NFYB;NFYC;PBX1;PBX3;SP2.motif_target	cisTarget_CEBPZ;DRAP1;FOXI1;HMGXB3;IRF3;MBD2;NFYA;NFYB;NFYC;PBX3;SP2.motif_target	cisTarget_TAF1;YY1;YY2.motif_target	cisTarget_E2F4.motif_target	cisTarget_E2F1;E2F3;E2F4;E2F6;E2F7;E2F8;SP4;TFDP1;TFDP2;ZNF566;ZNF574.motif_target	cisTarget_E2F1;E2F2;E2F3;E2F4;E2F5;E2F6;E2F7;E2F8;RB1;TFDP1;TFDP2.motif_target	cisTarget_E2F1;E2F3;E2F4;E2F6;E2F7;TFDP1;TFDP2;ZFP69B.motif_target	cisTarget_SP2.motif_target	cisTarget_ZNF142.motif_target	cisTarget_ZNF141.motif_target	cisTarget_E2F4;E2F6.motif_target	cisTarget_KLF1.motif_target	cisTarget_ZBTB33.motif_target	cisTarget_E2F1.motif_target	cisTarget_ZNF846.motif_target	cisTarget_E2F1;E2F2;E2F3;E2F4;E2F5;E2F6;E2F7.motif_target	cisTarget_ZFP69B;ZNF692.motif_target	cisTarget_E2F8;TFAP2B;TFAP2C;TFAP2E.motif_target	cisTarget_E2F1;E2F4;E2F6;E2F7;EGR2;EGR4;KLF1;KLF10;KLF11;KLF12;KLF13;KLF14;KLF15;KLF16;KLF17;KLF18;KLF2;KLF3;KLF4;KLF5;KLF6;KLF7;KLF8;KLF9;MAZ;PATZ1;SP1;SP2;SP3;SP4;SP5;SP6;SP7;SP8;SP9;TFDP1;TFDP2;VEZF1;ZBTB14;ZBTB17;ZNF148;ZNF281;ZNF398.motif_target	cisTarget_CHURC1;CTCF;ETS1;MAFA;MZF1;NR3C1;OVOL2;SPZ1;SREBF2;TFAP4;WT1;YY1;ZBTB7A.motif_target	cisTarget_OVOL2;RELA.motif_target	cisTarget_E2F3.motif_target	cisTarget_TRIM28.motif_target	cisTarget_ZNF555.motif_target	cisTarget_ZNF91.motif_target	cisTarget_E2F1;E2F3;E2F4;TFDP1.motif_target	cisTarget_ZNF730.motif_target	cisTarget_MYBL1;MYBL2.motif_target	cisTarget_EGR1;KLF1;KLF10;KLF12;KLF13;KLF14;KLF15;KLF18;KLF2;KLF3;KLF5;KLF6;KLF7;KLF9;MAZ;SP1;SP2;SP3;SP4;SP5;SP9;WT1.motif_target	cisTarget_SMAD3;SP2.motif_target	cisTarget_PML;ZNF548.motif_target	cisTarget_ZFY.motif_target	cisTarget_ZNF571.motif_target	cisTarget_MTF2.motif_target	cisTarget_ZBTB7B.motif_target	cisTarget_MYB.motif_target	cisTarget_TFAP2A;TFAP2B;TFAP2C.motif_target	cisTarget_SP5.motif_target	cisTarget_SMAD9.motif_target	cisTarget_ZNF449.motif_target	cisTarget_ZNF530;ZNF534;ZNF662.motif_target	cisTarget_SP1;ZNF846.motif_target	cisTarget_ZNF383.motif_target	cisTarget_ZNF682.motif_target	cisTarget_NRL.motif_target	cisTarget_KLF6.motif_target	cisTarget_TIGD1.motif_target	cisTarget_ZNF445.motif_target	cisTarget_ZNF425.motif_target	cisTarget_YY1;YY2.motif_target	cisTarget_ZFX;ZFY.motif_target	cisTarget_ACAA1;E2F2;E2F3;FOXN1;FOXN2;FOXN4;HES7;ONECUT2;ZBTB14;ZNF501.motif_target	cisTarget_SP1;SP3.motif_target	cisTarget_EGR2;KLF12;KLF7;KLF8;SP4;ZNF682.motif_target	cisTarget_ZNF350;ZNF674.motif_target	cisTarget_MAX;MYC.motif_target	cisTarget_CHD1;ZGPAT;ZNF202.motif_target	cisTarget_CEBPZ;DRAP1;FOS;FOXI1;HMGXB3;IRF3;NFYA;NFYB;NFYC;PBX1;PBX3;SP2.motif_target	cisTarget_TFDP1.motif_target	cisTarget_E2F1;E2F3;E2F6;E2F8;TFDP1.motif_target	cisTarget_MBD2;NFYA;NFYB;NFYC;PBX3.motif_target	cisTarget_NFYA;NFYB;NFYC.motif_target	cisTarget_YY2.motif_target	cisTarget_E2F1;E2F3;E2F4;E2F6;E2F7;TFDP1;TFDP2;ZNF566;ZNF574.motif_target	cisTarget_E2F1;E2F2;E2F3;E2F4;E2F5;E2F6;E2F7;RB1;TFDP1;TFDP2.motif_target	cisTarget_E2F4;E2F7;ZFP69B.motif_target	cisTarget_E2F6.motif_target	cisTarget_E2F8;TFAP2C.motif_target	cisTarget_E2F1;E2F4;KLF1;KLF10;KLF11;KLF12;KLF13;KLF14;KLF15;KLF17;KLF2;KLF5;KLF7;KLF8;MAZ;PATZ1;SP1;SP2;SP3;SP4;SP5;SP6;SP7;SP8;SP9;ZNF281.motif_target	cisTarget_WT1.motif_target	cisTarget_RELA.motif_target	cisTarget_MYBL2.motif_target	cisTarget_SP1;SP2;SP3;SP4.motif_target	cisTarget_SMAD3.motif_target	cisTarget_ZNF548.motif_target	cisTarget_ZFX.motif_target	cisTarget_ACAA1;E2F2;E2F3;FOXN4;ZNF501.motif_target	cisTarget_SP1.motif_target	cisTarget_CHD1.motif_target	E2F3_CP_candidate	E2F3_CM_candidate	E2F3_CF_candidate	MYB_CP_candidate	MYB_CM_candidate	MYB_CF_candidate	ZNF730_CP_candidate	ZNF730_CM_candidate	ZNF730_CF_candidate	MTF2_CP_candidate	MTF2_CM_candidate	MTF2_CF_candidate
MT-ND4L	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOLD1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIAPH3	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CENPF	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	0
TOP2A	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKA2	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZH2	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0
ADD3	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0
ASPM	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIT	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFAF6	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC4	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
H4C3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
