CP_hi	CM_hi	CF_hi	CTS_16
DLK1	1	0	0	1
ZNF536	1	0	0	1
DIP2C	1	1	1	1
DST	1	1	1	1
MTSS1	1	0	0	1
FMNL2	1	0	0	1
GRK5	1	0	0	1
KCNQ1	1	0	0	1
CMSS1	1	0	0	1
BTBD9	1	0	0	1
CMIP	1	1	0	1
PLCG2	1	0	0	1
MAPK4	1	0	0	1
MAST4	1	0	0	1
PRKG1	1	0	1	1
FARP1	1	1	0	1
SCARB1	1	0	0	1
ABTB2	1	0	0	1
BABAM2	1	0	0	1
GRAMD1B	1	0	0	1
ADAMTS9	1	0	0	1
ATP1B3	1	0	0	1
PGAP1	1	0	0	1
LRMDA	1	0	1	1
NHS	1	0	0	1
SEMA6A	1	0	0	1
APOE	1	0	0	1
FILIP1L	1	0	0	1
SEPTIN6	1	0	0	1
C1orf21	1	0	0	1
UTY	1	0	0	1
IRS2	1	0	0	1
ABCB1	1	0	0	1
PDE8A	1	0	0	1
MAP3K5	1	0	0	1
ZNF516	1	0	0	1
ANKRD44	1	0	0	1
ZEB2	1	0	1	1
FDX1	1	0	0	1
ZNF331	1	0	0	1
CREM	1	0	0	1
ZHX2	1	0	0	1
SLC23A2	1	0	0	1
ANTXR1	1	0	0	1
KDM4B	1	0	0	1
MTCH1	1	0	0	1
SH3BP5	1	0	0	1
DPP10	1	0	0	1
CYP11B1	1	0	0	1
VAV2	1	0	0	1
SIK2	1	0	0	1
DUSP16	1	0	0	1
DHCR24	1	0	0	1
ZNF462	1	0	0	1
UVRAG	1	0	0	1
CD55	1	0	0	1
RBM47	1	0	0	1
MAN1A1	1	0	0	1
PCNX1	1	0	0	1
ZFAND5	1	0	0	1
PRKAR2B	1	0	0	1
CBLB	1	0	0	1
FNDC3B	1	0	1	1
GALNT2	1	0	0	1
TRIM24	1	0	0	1
SMURF1	1	0	0	1
VEGFA	1	0	0	1
CYP17A1	1	0	0	1
NKAIN1	1	0	0	1
TGFBR3	1	0	0	1
SLC16A10	0	0	0	1
TCF7L2	1	0	0	1
STARD13	1	0	1	1
CDK8	1	0	0	1
TMEM120B	1	0	0	1
STAR	1	0	0	1
CTNNA1	1	0	0	1
PAPSS2	1	0	0	1
LDLR	1	0	0	1
RDX	1	0	0	1
PARD3B	0	0	1	1
ALAS1	1	0	0	1
PPP2R1A	1	0	0	1
FOXK1	1	0	0	1
CD46	1	0	0	1
TLE1	1	0	0	1
SMAD2	1	0	0	1
ATP2A2	1	0	0	1
SOAT1	1	0	0	1
HNRNPC	0	0	0	1
RNF187	0	0	0	1
SGMS1	1	0	0	1
ARMC9	1	0	0	1
RANBP2	1	0	0	1
ECE1	1	0	0	1
SGK1	1	0	0	1
ZNF521	0	0	0	1
OGT	1	0	0	1
ITPR1	1	0	0	1
EPS15	1	0	0	1
MFSD14B	0	0	0	1
ENOSF1	0	0	0	1
POR	1	0	0	1
SOGA1	1	0	0	1
ERN1	1	0	0	1
CHD1	1	0	0	1
PDIA6	1	0	0	1
DLG5	1	0	0	1
MARCHF3	1	0	0	1
MYH9	1	0	0	1
CYB5B	1	0	0	1
NOP58	0	0	0	1
COBLL1	1	0	0	1
ADIPOR2	1	0	0	1
NFX1	1	0	0	1
CYP11A1	1	0	0	1
NAMPT	1	0	0	1
DNAJC12	1	0	0	1
SUGCT	0	0	0	1
LARP4B	1	0	0	1
KSR1	0	0	0	1
RBBP7	1	0	0	1
SLC16A9	1	0	0	1
ACADVL	1	0	0	1
UQCRFS1	0	0	0	1
TNXB	1	0	0	1
TBX3	1	0	0	1
C2CD2	1	0	0	1
TNS1	1	0	0	1
PACSIN2	1	0	0	1
FOSL2	1	0	0	1
ERGIC1	1	0	0	1
SHC3	1	0	0	1
PLBD2	1	0	0	1
TCEAL9	0	0	0	1
PHF10	1	0	0	1
CADPS2	1	0	0	1
DCN	0	0	0	1
DDX21	0	0	0	1
