geneSet	motif	NES	AUC	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
16	transfac_pro__M01118	4.31	0.149	WT1 (directAnnotation). 	SREBF2; YY1 (inferredBy_MotifSimilarity). 	73	4928	ABTB2;ADAMTS9;ADIPOR2;ANKRD44;ATP1B3;ATP2A2;BTBD9;C1orf21;CADPS2;CDK8;CHD1;CMIP;COBLL1;CREM;CTNNA1;DHCR24;DIP2C;DLG5;DPP10;DST;DUSP16;EPS15;ERGIC1;ERN1;FARP1;FMNL2;FNDC3B;FOXK1;HNRNPC;IRS2;ITPR1;LARP4B;MAN1A1;MAP3K5;MAPK4;MAST4;MTSS1;MYH9;NAMPT;NHS;PACSIN2;PAPSS2;PARD3B;PCNX1;PGAP1;PHF10;PRKAR2B;PRKG1;RBBP7;RBM47;RDX;SEMA6A;SGMS1;SIK2;SLC16A10;SLC16A9;SLC23A2;SMAD2;SMURF1;SOAT1;TCEAL9;TCF7L2;TGFBR3;TLE1;TRIM24;ZEB2;ZFAND5;ZHX2;ZNF331;ZNF462;ZNF516;ZNF521;ZNF536
16	taipale_cyt_meth__E2F2_NCGCGCGCGCM_eDBD_meth	4.17	0.146	E2F2 (directAnnotation). 		58	2916	ADIPOR2;ANKRD44;ATP1B3;ATP2A2;BTBD9;C1orf21;C2CD2;CADPS2;CDK8;CHD1;CMIP;COBLL1;CREM;CTNNA1;DIP2C;DLG5;DPP10;DST;DUSP16;EPS15;FARP1;FMNL2;FNDC3B;GALNT2;IRS2;KDM4B;LARP4B;MAN1A1;MAP3K5;MAPK4;MAST4;MTSS1;NAMPT;NHS;PARD3B;PCNX1;PHF10;PRKAR2B;PRKG1;RBBP7;RDX;SEMA6A;SGMS1;SIK2;SLC16A10;SLC16A9;SLC23A2;SMAD2;SMURF1;TGFBR3;TLE1;TRIM24;ZEB2;ZFAND5;ZNF331;ZNF516;ZNF521;ZNF536
16	metacluster_67.1	4.12	0.145	ZFP64 (directAnnotation). 	ZBTB20 (inferredBy_MotifSimilarity). 	44	2008	ANKRD44;ATP1B3;BTBD9;C1orf21;CADPS2;CHD1;COBLL1;CREM;CTNNA1;DHCR24;DLG5;DPP10;DUSP16;EPS15;FARP1;FMNL2;FNDC3B;FOXK1;IRS2;LARP4B;MAN1A1;MAPK4;MAST4;NAMPT;PAPSS2;PARD3B;PCNX1;PRKAR2B;PRKG1;RBBP7;RDX;SEMA6A;SGMS1;SIK2;SLC16A9;SLC23A2;SMAD2;SMURF1;SOAT1;TCF7L2;TGFBR3;ZFAND5;ZNF516;ZNF521
16	transfac_pro__M00986	4.12	0.144	CHURC1 (directAnnotation). 		64	3889	ANKRD44;ATP1B3;ATP2A2;BTBD9;C1orf21;CADPS2;CDK8;CHD1;CMIP;CREM;CTNNA1;DLG5;DPP10;DST;DUSP16;EPS15;ERN1;FARP1;FMNL2;FNDC3B;FOXK1;HNRNPC;IRS2;ITPR1;LARP4B;MAN1A1;MAPK4;MAST4;MTSS1;MYH9;NAMPT;NFX1;NHS;PACSIN2;PAPSS2;PARD3B;PCNX1;PGAP1;PHF10;PRKG1;RBBP7;RBM47;RDX;SEMA6A;SGMS1;SIK2;SLC16A10;SLC16A9;SLC23A2;SMAD2;SMURF1;SOAT1;TCF7L2;TGFBR3;TLE1;UVRAG;ZEB2;ZFAND5;ZHX2;ZNF331;ZNF462;ZNF516;ZNF521;ZNF536
16	kznf__ZNF730_Imbeault2017_RP_RCADE	4.09	0.144	ZNF730 (directAnnotation). 		63	3889	ANKRD44;ATP1B3;ATP2A2;BTBD9;C1orf21;C2CD2;CADPS2;CD46;CDK8;CHD1;CMIP;COBLL1;CREM;CTNNA1;DHCR24;DPP10;DST;DUSP16;EPS15;ERN1;FARP1;FMNL2;FNDC3B;IRS2;ITPR1;LARP4B;MAN1A1;MAP3K5;MAPK4;MAST4;MYH9;NAMPT;NHS;PACSIN2;PAPSS2;PCNX1;PGAP1;PHF10;PRKAR2B;PRKG1;RBBP7;RBM47;RDX;SEMA6A;SGMS1;SIK2;SLC16A10;SLC16A9;SLC23A2;SMAD2;SMURF1;SOAT1;TCF7L2;TGFBR3;TLE1;TRIM24;ZEB2;ZFAND5;ZHX2;ZNF462;ZNF516;ZNF521;ZNF536
16	metacluster_3.3	4.07	0.143	KLF10; KLF15; KLF16; KLF9; SP1 (directAnnotation). 	EGR1; EGR1; EGR1; EGR1; KLF1; KLF1; KLF1; KLF10; KLF10; KLF10; KLF12; KLF12; KLF12; KLF12; KLF13; KLF13; KLF13; KLF13; KLF13; KLF14; KLF14; KLF15; KLF15; KLF15; KLF15; KLF16; KLF16; KLF2; KLF3; KLF3; KLF3; KLF3; KLF4; KLF4; KLF5; KLF5; KLF6; KLF6; KLF6; KLF6; KLF6; KLF7; KLF9; KLF9; KLF9; KLF9; MAZ; MAZ; MAZ; MAZ; MAZ; PATZ1; PATZ1; PATZ1; PATZ1; PATZ1; PURA; SP1; SP1; SP1; SP1; SP2; SP2; SP2; SP2; SP2; SP3; SP3; SP3; SP3; SP3; SP4; SP4; SP4; SP4; SP4; SP5; SP5; SP9; VEZF1; VEZF1; VEZF1; WT1; WT1; ZBTB14; ZBTB14; ZBTB14; ZBTB14; ZBTB14; ZNF148; ZNF148; ZNF180; ZNF202; ZNF202; ZNF398; ZNF467; ZNF467; ZNF467; ZNF467; ZNF543; ZNF543; ZNF740; ZNF740 (inferredBy_MotifSimilarity). KLF18 (inferredBy_MotifSimilarity_n_Orthology). 	64	4151	ADAMTS9;ADIPOR2;ANKRD44;ATP1B3;ATP2A2;BTBD9;C1orf21;CADPS2;CDK8;CHD1;CMIP;COBLL1;CREM;CTNNA1;DIP2C;DPP10;DUSP16;EPS15;ERN1;FARP1;FMNL2;FNDC3B;FOXK1;HNRNPC;IRS2;LARP4B;MAN1A1;MAP3K5;MAPK4;MAST4;MYH9;NAMPT;NHS;PACSIN2;PARD3B;PCNX1;PGAP1;PHF10;PRKAR2B;PRKG1;RBBP7;RBM47;RDX;SEMA6A;SGMS1;SIK2;SLC16A10;SLC16A9;SLC23A2;SMAD2;SMURF1;SOAT1;TCEAL9;TCF7L2;TGFBR3;TLE1;TNXB;ZEB2;ZFAND5;ZHX2;ZNF462;ZNF516;ZNF521;ZNF536
16	hocomoco__EGR4_HUMAN.H11MO.0.D	4.06	0.143	EGR4 (directAnnotation). 		68	4324	ADAMTS9;ADIPOR2;ANKRD44;ATP1B3;ATP2A2;BTBD9;C1orf21;CADPS2;CDK8;CHD1;CMIP;COBLL1;CREM;CTNNA1;DHCR24;DLG5;DPP10;DST;DUSP16;EPS15;ERN1;FARP1;FMNL2;FNDC3B;FOXK1;GALNT2;HNRNPC;IRS2;ITPR1;LARP4B;MAN1A1;MAP3K5;MAPK4;MAST4;MYH9;NAMPT;NFX1;NHS;PACSIN2;PARD3B;PCNX1;PGAP1;PHF10;PRKAR2B;PRKG1;RANBP2;RBBP7;RDX;SEMA6A;SGMS1;SIK2;SLC16A10;SLC16A9;SLC23A2;SMAD2;SMURF1;SOAT1;TCF7L2;TGFBR3;TLE1;TRIM24;ZEB2;ZFAND5;ZHX2;ZNF462;ZNF516;ZNF521;ZNF536
16	kznf__ZNF311_Imbeault2017_RP_ChIP-seq	4.04	0.143	ZNF311 (directAnnotation). 		63	4149	ADIPOR2;ANKRD44;ATP1B3;ATP2A2;BTBD9;C1orf21;C2CD2;CADPS2;CDK8;CHD1;COBLL1;CREM;CTNNA1;DIP2C;DLG5;DPP10;DST;DUSP16;EPS15;ERN1;FARP1;FMNL2;FNDC3B;GALNT2;IRS2;ITPR1;LARP4B;MAN1A1;MAP3K5;MAPK4;MAST4;MTSS1;MYH9;NAMPT;NHS;PACSIN2;PARD3B;PCNX1;PGAP1;PHF10;PRKAR2B;PRKG1;RBBP7;RDX;SEMA6A;SGMS1;SIK2;SLC16A10;SLC16A9;SLC23A2;SMAD2;SMURF1;SOAT1;TGFBR3;TLE1;TRIM24;ZEB2;ZFAND5;ZHX2;ZNF462;ZNF516;ZNF521;ZNF536
16	hdpi__GTF3C2	4.03	0.142	GTF3C2 (directAnnotation). 		69	4603	ADIPOR2;ANKRD44;ATP1B3;ATP2A2;C1orf21;CADPS2;CD46;CDK8;CHD1;CMIP;COBLL1;CTNNA1;DIP2C;DPP10;DST;DUSP16;ENOSF1;EPS15;ERN1;FARP1;FILIP1L;FMNL2;FNDC3B;FOXK1;IRS2;ITPR1;KDM4B;LARP4B;MAN1A1;MAP3K5;MAPK4;MAST4;MTSS1;NAMPT;NHS;PACSIN2;PAPSS2;PARD3B;PCNX1;PGAP1;PHF10;PRKAR2B;PRKG1;RANBP2;RBBP7;RBM47;RDX;SEMA6A;SGMS1;SIK2;SLC16A10;SLC16A9;SLC23A2;SMAD2;SMURF1;SOAT1;TCF7L2;TGFBR3;TLE1;TRIM24;UQCRFS1;UVRAG;ZEB2;ZFAND5;ZHX2;ZNF331;ZNF516;ZNF521;ZNF536
16	transfac_pro__M07329	3.99	0.142	SP7 (directAnnotation). 		65	4139	ADAMTS9;ADIPOR2;ANKRD44;ATP1B3;ATP2A2;BTBD9;C1orf21;CADPS2;CDK8;CHD1;CMIP;COBLL1;CREM;CTNNA1;DLG5;DPP10;DST;DUSP16;EPS15;ERN1;FARP1;FMNL2;FNDC3B;FOXK1;HNRNPC;IRS2;ITPR1;LARP4B;MAN1A1;MAP3K5;MAPK4;MAST4;MTSS1;MYH9;NAMPT;NHS;PACSIN2;PARD3B;PCNX1;PHF10;PRKAR2B;PRKG1;RBBP7;RBM47;RDX;SEMA6A;SGMS1;SIK2;SLC16A10;SLC16A9;SLC23A2;SMAD2;SMURF1;SOAT1;TCF7L2;TGFBR3;TLE1;TRIM24;ZEB2;ZFAND5;ZHX2;ZNF462;ZNF516;ZNF521;ZNF536
