CP_hi	CM_hi	CF_hi	CTS_9	cisTarget_ZNF610.motif_target	cisTarget_MBD2;MECP2.motif_target	cisTarget_PAX6.motif_target	cisTarget_GTF3C2.motif_target	cisTarget_ZNF2.motif_target	cisTarget_ZFP57.motif_target	cisTarget_TFAP2A;TFAP2B;TFAP2C.motif_target	cisTarget_SP5.motif_target	cisTarget_ZBTB8A.motif_target	cisTarget_ZNF548.motif_target	cisTarget_SMAD5.motif_target	cisTarget_ZBTB33.motif_target	cisTarget_E2F8;TFAP2B;TFAP2C;TFAP2E.motif_target	cisTarget_ZNF141.motif_target	cisTarget_ZNF730.motif_target	cisTarget_DLX3;DRGX;E2F8;ELK1;ETV7;HES7;HOXB13;MAX;NEUROD1;ONECUT2;PURA;TFAP2A;TFAP2B;TFAP2C;TFAP2D;TFAP2E;ZNF611.motif_target	cisTarget_SMAD9.motif_target	cisTarget_HIC1.motif_target	cisTarget_ZNF423.motif_target	cisTarget_TAF1.motif_target	cisTarget_E2F3.motif_target	cisTarget_ZNF579.motif_target	cisTarget_E2F2.motif_target	cisTarget_ZNF142.motif_target	cisTarget_CTCF;CTCFL;ZFX;ZFY;ZNF19;ZSCAN30.motif_target	cisTarget_E2F1;E2F3;E2F4;TFDP1.motif_target	cisTarget_SMAD3;SP2.motif_target	cisTarget_ZNF267.motif_target	cisTarget_E2F1.motif_target	cisTarget_ACAA1;E2F2;E2F3;FOXN1;FOXN2;FOXN4;HES7;ONECUT2;ZBTB14;ZNF501.motif_target	cisTarget_ZBED6.motif_target	cisTarget_ZNF16;ZNF554;ZNF787.motif_target	cisTarget_CTBP1.motif_target	cisTarget_ARID3A;CTCF;CTCFL;HMGXB4;ING4;KLF16;MBD1;MZF1;RAD21;RXRA;SMC3;WT1;YY1;YY2;ZBTB7A;ZNF223;ZNF576;ZNF654;ZNF764.motif_target	cisTarget_DNMT1;IRF4;IRF5;IRF6;JUND;NEUROD1;PHF1;PRDM15;PRDM5;SP2;SPZ1;WT1;ZBTB20;ZFP64;ZNF17;ZNF296;ZNF350;ZNF431;ZNF486;ZNF574;ZNF589;ZNF891.motif_target	cisTarget_NR1D2;NR2C2;NR2F1;NR2F6;PPARG;RARA;RARB;RARG;RORC;RXRA.motif_target	cisTarget_TFAP2C.motif_target	cisTarget_MTF2.motif_target	cisTarget_ZNF549.motif_target	cisTarget_FOXN1;FOXN2;FOXN4.motif_target	cisTarget_PURA;ZBTB14.motif_target	cisTarget_HIC1;SP2;ZGPAT;ZNF816;ZXDC.motif_target	cisTarget_SREBF2;WT1;YY1.motif_target	cisTarget_EGR1;EGR2;EGR3.motif_target	cisTarget_PAX5.motif_target	cisTarget_ZNF311.motif_target	cisTarget_DLX3;TFAP2C;ZNF224;ZNF454.motif_target	cisTarget_CLOCK;DLX3;ERF;ETV2;ETV5;FIGLA;HES1;HES5;HES7;HEY1;HEY2;HEYL;MAX;MYCN;ONECUT2;TFAP2B;TFAP2C.motif_target	cisTarget_ZNF12;ZNF44;ZNF563;ZNF93.motif_target	cisTarget_ZFP14.motif_target	cisTarget_ZBTB14.motif_target	cisTarget_ZNF383.motif_target	cisTarget_EGR4.motif_target	cisTarget_CHURC1;CTCF;ETS1;MAFA;MZF1;NR3C1;OVOL2;SPZ1;SREBF2;TFAP4;WT1;YY1;ZBTB7A.motif_target	cisTarget_ZNF283.motif_target	cisTarget_E2F1;E2F3;HES1;HES5;HES7;HEY1;HEY2;MAX;MYCN;TFAP2A;TFAP2B;TFAP2C;TFAP2E.motif_target	cisTarget_KLF11.motif_target	cisTarget_CNOT3.motif_target	cisTarget_VPS4B.motif_target	cisTarget_ZNF571.motif_target	cisTarget_FIGLA;GCM1;NHLH1.motif_target	cisTarget_ZBTB10.motif_target	cisTarget_ZNF682.motif_target	cisTarget_MXI1.motif_target	cisTarget_ZIC1;ZIC3;ZNF423.motif_target	cisTarget_KLF2.motif_target	cisTarget_ZBTB2.motif_target	cisTarget_E2F8;TFAP2C.motif_target	cisTarget_TFAP2A;TFAP2B;TFAP2C;TFAP2D;TFAP2E;ZNF611.motif_target	cisTarget_CTCF;ZFY;ZSCAN30.motif_target	cisTarget_SMAD3.motif_target	cisTarget_ACAA1;E2F2;E2F3;FOXN4;ZNF501.motif_target	cisTarget_ARID3A;CTCF;CTCFL;HMGXB4;KLF16;MBD1;RAD21;RXRA;SMC3;ZNF576;ZNF654;ZNF764.motif_target	cisTarget_IRF4;IRF6;NEUROD1;PHF1;PRDM5;ZBTB20;ZNF17;ZNF296;ZNF350;ZNF486;ZNF574;ZNF589;ZNF891.motif_target	cisTarget_RARA.motif_target	cisTarget_FOXN2.motif_target	cisTarget_HIC1;ZNF816;ZXDC.motif_target	cisTarget_WT1.motif_target	cisTarget_TFAP2C;ZNF224;ZNF454.motif_target	cisTarget_HES7;TFAP2C.motif_target	cisTarget_GCM1;NHLH1.motif_target	cisTarget_ZIC1;ZIC3.motif_target	ZBTB20_CP_candidate	ZBTB20_CM_candidate	ZBTB20_CF_candidate	MYCN_CP_candidate	MYCN_CM_candidate	MYCN_CF_candidate
PDE10A	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1
OXR1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1
MAP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
KCNQ1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMSS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCG2	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PRKG1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
FARP1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0
SCARB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CPEB4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAMD1B	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS9	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
