CP_hi	CM_hi	CF_hi	CTS_4
1700006J14Rik	1	0	0	1
1700016F12Rik	1	0	0	1
2900052L18Rik	0	0	0	1
4930505O20Rik	0	0	0	1
9330162012Rik	0	0	0	1
Abi3bp	0	0	0	1
Ackr1	1	0	0	1
Add2	1	0	0	1
Adgrg2	0	0	0	1
Alas2	0	0	0	1
Ank1	1	0	0	1
Apol11b	0	0	0	1
Aqp1	1	0	0	1
Asb17os	0	0	0	1
Atp1b2	1	0	0	1
B230206L02Rik	1	0	0	1
Bank1	0	0	0	1
Btn1a1	0	0	0	1
Car1	1	0	0	1
Ccdc155	0	0	0	1
Ccdc171	0	0	0	1
Ces2g	1	0	1	1
Cldn13	0	0	0	1
Col1a2	1	0	1	1
Col5a1	1	0	0	1
Coro2b	0	0	0	1
D930028M14Rik	0	0	0	1
Dapk2	0	0	0	1
Ddah1	0	0	0	1
E330020D12Rik	1	1	0	1
Ephx1	0	0	0	1
Ermap	1	0	0	1
Esrp2	1	0	0	1
Fcer1g	0	1	1	1
Fgf3	1	0	0	1
Gm10532	1	0	0	1
Gm16214	0	0	0	1
Gm17590	1	0	0	1
Gypa	1	0	0	1
Gzmc	0	0	0	1
Hba-a1	1	0	0	1
Hba-a2	1	0	0	1
Hbb-bs	1	0	1	1
Icam4	0	0	0	1
Il1bos	1	0	1	1
Kel	1	0	0	1
Klf1	1	0	0	1
Mageb16	0	0	0	1
Med9os	0	0	0	1
Olfr138	0	0	0	1
Pak6	0	0	0	1
Paqr9	1	0	0	1
Pcyt1b	1	0	1	1
Pdzph1	1	0	0	1
Phlda2	1	0	0	1
Plscr2	1	0	0	1
Popdc2	0	0	0	1
Prkg1	0	0	0	1
Psg17	0	0	0	1
Ptpdc1	0	0	0	1
Reps2	0	0	0	1
Rhag	1	0	0	1
Rhd	0	0	0	1
Rhox12	0	0	0	1
Rln1	0	0	0	1
Samd11	0	0	0	1
Serpine1	0	0	0	1
Slc24a1	0	0	0	1
Slc25a21	0	0	0	1
Slc38a5	1	0	0	1
Slc4a1	0	0	0	1
Sox30	0	0	0	1
Spire2	0	0	0	1
Spta1	1	0	1	1
Sptb	1	0	1	1
Tcrg-C1	1	0	0	1
Tmem27	1	0	0	1
Tmem56	0	0	0	1
Trim10	0	0	0	1
Tspan8	0	0	0	1
Tspo2	1	0	0	1
Tubb3	1	0	0	1
Tgfbr3	1	0	0	1
H19	0	0	0	1
Tnfsf4	1	0	0	1
Tm4sf20	0	0	0	1
Slc6a5	0	0	0	1
Zmiz1os1	0	0	0	1
Zfp365	0	0	0	1
