geneSet	motif	NES	AUC	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
4	transfac_pro__M08805	5.72	0.113	Nr2f6 (directAnnotation). 	Nr2f2 (inferredBy_MotifSimilarity). 	24	2702	Adgrg2;Alas2;Ank1;Apol11b;Aqp1;Cldn13;Col5a1;D930028M14Rik;Dapk2;Fgf3;Gm10532;H19;Kel;Mageb16;Pak6;Popdc2;Prkg1;Psg17;Rhox12;Serpine1;Slc24a1;Slc4a1;Slc6a5;Zfp365
4	tfdimers__MD00046	4.82	0.0997	Gata1; Gata2; Gata3; Gata4; Gata5; Gata6; Smad4 (inferredBy_Orthology). 	Tal1 (inferredBy_MotifSimilarity). Ascl1; Bhlhe40; Bhlhe41; Ccnt2; Elk1; Hand1; Hand2; Ing4; Max; Mitf; Mxd1; Mxd3; Mxd4; Mxi1; Myb; Myc; Mycs; Myf5; Myf6; Myod1; Myog; Ncoa1; Nhlh1; Nr3c1; Pax4; Tal2; Tcf12; Tcf3; Tcf4; Tfe3; Tfeb; Trp53; Trp63; Trp73; Trps1; Usf1; Usf2; Wt1; Yy1; Zglp1 (inferredBy_MotifSimilarity_n_Orthology). 	29	3718	Abi3bp;Add2;Alas2;Ank1;Apol11b;Aqp1;Btn1a1;Car1;Col1a2;Ermap;Icam4;Il1bos;Kel;Klf1;Mageb16;Pak6;Paqr9;Pcyt1b;Pdzph1;Popdc2;Prkg1;Rhag;Samd11;Slc25a21;Spta1;Tmem27;Tnfsf4;Trim10;Tspo2
4	tfdimers__MD00275	4.17	0.0901	Pou2f1; Tfap2a (inferredBy_Orthology). 	Hmga1b; Hmga2; Ikzf2; Pura; Tfap2c (inferredBy_MotifSimilarity_n_Orthology). 	13	1057	Alas2;Ank1;Kel;Mageb16;Pak6;Pcyt1b;Popdc2;Prkg1;Slc25a21;Spta1;Sptb;Tnfsf4;Tubb3
4	taipale_cyt_meth__IRF6_ACCGAWACY_FL_meth	4.17	0.0901	Irf6 (inferredBy_Orthology). 		14	1372	Adgrg2;Col5a1;Coro2b;Esrp2;Fcer1g;Gm10532;H19;Popdc2;Prkg1;Reps2;Tgfbr3;Tmem27;Trim10;Tspan8
4	swissregulon__mm__Nr3c1	3.88	0.0857	Nr3c1 (directAnnotation). 		31	4749	Add2;Ank1;Apol11b;Aqp1;Car1;Ccdc155;Col1a2;D930028M14Rik;Dapk2;Ephx1;Esrp2;Fgf3;Gm10532;H19;Il1bos;Kel;Mageb16;Pak6;Pdzph1;Plscr2;Psg17;Ptpdc1;Reps2;Serpine1;Slc25a21;Slc4a1;Sox30;Sptb;Tgfbr3;Tmem27;Tspan8
4	transfac_pro__M09737	3.85	0.0853	Zfp644 (inferredBy_Orthology). 		14	1233	Add2;Alas2;Aqp1;Col5a1;D930028M14Rik;Dapk2;Ephx1;Gm10532;H19;Mageb16;Pak6;Slc4a1;Slc6a5;Sptb
4	hocomoco__PRD16_MOUSE.H11MO.0.B	3.59	0.0815	Prdm16 (directAnnotation). 		8	375	Ank1;Aqp1;Car1;Col5a1;Pcyt1b;Slc4a1;Sptb;Tmem27
4	hocomoco__NKX22_HUMAN.H11MO.0.D	3.58	0.0812	Nkx2-2 (inferredBy_Orthology). 		7	372	Add2;Alas2;Aqp1;D930028M14Rik;Gm10532;Mageb16;Plscr2
4	transfac_pro__M06487	3.54	0.0807	Gm49345; Zfp457; Zfp595; Zfp738; Zfp953 (inferredBy_Orthology). 		23	2639	Ank1;Apol11b;Aqp1;Btn1a1;Col5a1;D930028M14Rik;Ddah1;Ephx1;Fgf3;Gm10532;Gypa;Mageb16;Paqr9;Popdc2;Prkg1;Ptpdc1;Rln1;Serpine1;Slc4a1;Sox30;Tmem27;Tspan8;Tspo2
4	metacluster_2.5	3.49	0.08	Batf; Irf8 (directAnnotation). Batf3 (inferredBy_Orthology). 	Batf; Batf; Irf8; Irf8 (inferredBy_MotifSimilarity). Batf3; Batf3; E2f1; Fos; Fos; Fos; Fosb; Fosb; Fosb; Fosl1; Fosl1; Fosl1; Fosl2; Fosl2; Fosl2; Foxm1; Jun; Jun; Jun; Junb; Junb; Junb; Jund; Jund; Jund; Pdx1; Pdx1 (inferredBy_MotifSimilarity_n_Orthology). 	14	1536	Adgrg2;Alas2;Ank1;Apol11b;Aqp1;Atp1b2;Col5a1;E330020D12Rik;Gypa;Olfr138;Popdc2;Prkg1;Slc25a21;Sptb
