CP_hi	CM_hi	CF_hi	CTS_CP.1
SAMD11	0	0	1	1
FYB2	0	1	1	1
DAB1	0	1	1	1
WLS	0	1	1	1
IGSF3	0	0	1	1
IFI16	0	0	1	1
C1orf21	0	1	1	1
NAV1	0	1	1	1
LPGAT1	0	1	1	1
FAM89A	0	0	1	1
GPATCH11	0	0	1	1
CYP1B1	0	0	1	1
MEIS1	0	1	1	1
LRRTM1	0	1	1	1
ZC3H6	0	0	1	1
ZEB2	0	1	1	1
LRP2	0	0	1	1
SLC40A1	0	1	1	1
ITM2C	0	0	0	1
HACD2	0	0	0	1
TIPARP	0	1	1	1
LINC00888	0	1	1	1
CHIC2	0	1	1	1
KDR	0	0	1	1
PTPN13	0	0	0	1
AC108052.1	0	0	1	1
CLGN	0	1	1	1
GYPE	0	0	1	1
GYPB	0	0	1	1
HAND2	0	1	1	1
CPLANE1	0	0	1	1
FGF10	0	1	1	1
ISL1	0	1	1	1
ENC1	0	0	1	1
HAPLN1	0	1	0	1
RHOBTB3	0	1	1	1
ZNF608	0	1	1	1
VTRNA1-3	0	0	1	1
BMP5	0	1	1	1
LIN28B	0	0	0	1
PERP	0	0	0	1
CITED2	0	1	1	1
RPL22P16	0	0	0	1
BMPER	0	1	1	1
SEMA3E	0	0	1	1
KIAA1324L	0	1	1	1
DYNC1I1	0	1	1	1
SLC7A2	0	0	1	1
ENTPD4	0	1	1	1
SLC25A37	0	0	0	1
NKX3-1	0	1	1	1
CA2	0	0	0	1
HAS2	0	1	0	1
NTRK2	0	1	1	1
PLCE1	0	0	1	1
ART5	0	0	1	1
CCKBR	0	0	1	1
MTRNR2L8	0	1	0	1
AL035078.1	0	0	0	1
TP53I11	0	1	1	1
SC5D	0	1	0	1
CCND2	0	0	0	1
PTMS	0	0	0	1
ATN1	0	0	1	1
PPFIBP1	0	0	1	1
PPP1R1A	0	1	1	1
DUSP6	0	1	0	1
GPC6	0	0	1	1
PRTG	0	1	0	1
CGNL1	0	1	1	1
ORC6	0	0	0	1
C16orf87	0	1	0	1
IGF2BP1	0	0	0	1
LAMA1	0	1	1	1
GATA6	0	1	1	1
CHST9	0	0	1	1
PSTPIP2	0	0	1	1
JAG1	0	1	1	1
NINL	0	0	1	1
ID1	0	0	0	1
H1F0	0	1	0	1
AC078993.1	0	0	1	1
USP27X	0	0	1	1
MT-TF	0	0	0	1
MT-TV	0	0	0	1
MT-TL1	0	0	1	1
MT-TS2	0	0	0	1
