CP_hi	CM_hi	CF_hi	CTS_CP.1	cisTarget_EBF1.motif_target	cisTarget_BCL6B.motif_target	cisTarget_EHF;ETS2;SPI1;ZNF639.motif_target	cisTarget_ZNF282.motif_target	cisTarget_ATF2;IKZF1.motif_target	cisTarget_MZF1.motif_target	cisTarget_ZNF774.motif_target	cisTarget_NFAT5.motif_target	cisTarget_EZH2.motif_target	cisTarget_RCOR1;WRNIP1.motif_target	cisTarget_ATF2;BCL11A;DBP;DPF2;E2F1;EHF;ELF1;ELF2;ELF4;ELK1;ELK3;ELK4;EP300;ERF;ERG;ETS1;ETS2;ETV4;ETV5;ETV6;ETV7;FLI1;FOXM1;GABPA;GABPB1;HOXA13;IKZF1;IKZF2;IRF1;IRF2;IRF3;IRF4;IRF5;IRF6;IRF7;IRF8;IRF9;KLF4;LTF;MYB;NFATC3;POU5F1;PRDM1;PURA;RFX1;RFX2;RFX3;RFX4;RFX5;RFXANK;RFXAP;SIRT6;SPI1;SPIB;STAT1;STAT2;STAT5A;STAT6;TAF1;TAF6;TBL1XR1;TBP;TCF7L1;TCF7L2;YY1;ZBED1;ZEB1;ZNF41;ZNF426.motif_target	cisTarget_SPIC.motif_target	cisTarget_ZSCAN10.motif_target	cisTarget_PDLIM5.motif_target	cisTarget_EGR2.motif_target	cisTarget_GTF2I.motif_target	cisTarget_PRDM10.motif_target	cisTarget_WT1.motif_target	cisTarget_KLF4.motif_target	cisTarget_FOXM1;IKZF1;TBL1XR1.motif_target	cisTarget_ZNF132.motif_target	cisTarget_PAX5.motif_target	cisTarget_RBAK.motif_target	cisTarget_ZNF546.motif_target	cisTarget_ZNF37A.motif_target	cisTarget_BACH1;BACH2;BCL6;BPTF;CHURC1;CRX;E2F1;ELF5;EP300;GABPB1;IKZF1;KLF4;MAF;MAFB;MAFF;MAFG;MAFK;MAZ;MTF1;MYCN;MZF1;NFE2;NFE2L1;NFE2L2;NFE2L3;NFIA;NFIC;PATZ1;PAX4;PURA;RARA;RARB;RARG;RAX;RELA;RUNX3;RXRA;RXRB;RXRG;SIRT6;SP1;SP2;SP3;SP4;SP5;SREBF1;SREBF2;TCF7L1;TFAP2C;THRA;THRB;VEZF1;WT1;ZBTB14;ZNF148;ZNF202;ZNF354C;ZNF398;ZNF432;ZNF615.motif_target	cisTarget_ASCC1.motif_target	cisTarget_BCL11A;BCL6;CHURC1;DDX20;DPF2;EGR1;EGR2;EP300;FLI1;GTF2F1;HINFP;IKZF1;IKZF3;IRF4;KLF10;KLF13;KLF15;KLF16;KLF6;KLF9;MAZ;MTF1;MZF1;NFXL1;OVOL2;PATZ1;PAX4;PML;PRDM9;PURA;RARA;RARB;RARG;RBAK;RCOR1;RELA;RXRA;RXRB;RXRG;SIN3A;SP1;SP2;SP3;SP4;SP5;SPI1;SREBF1;SREBF2;STAT5A;TAF1;THRA;THRB;VEZF1;WRNIP1;WT1;ZBED1;ZBTB14;ZBTB17;ZBTB5;ZBTB7B;ZNF148;ZNF202;ZNF212;ZNF214;ZNF263;ZNF341;ZNF398;ZNF432;ZNF444;ZNF467;ZNF496;ZNF529;ZNF543;ZNF596;ZNF615;ZNF701;ZNF737;ZNF740;ZNF875;ZNF880.motif_target	cisTarget_BACH1;BACH2;CHURC1;EGR1;EP300;GABPB1;IKZF1;KLF10;KLF13;KLF15;KLF16;KLF3;KLF4;KLF6;KLF9;MAF;MAFB;MAFF;MAFG;MAFK;MAZ;MTF1;MZF1;NFE2;NFE2L1;NFE2L2;NFE2L3;OVOL2;PATZ1;PAX4;PURA;RARA;RARB;RARG;RUNX3;RXRA;RXRB;RXRG;SP1;SP2;SP3;SP4;SP5;SREBF1;SREBF2;THRA;THRB;VEZF1;WT1;ZBTB14;ZBTB17;ZBTB7B;ZFP37;ZGPAT;ZNF148;ZNF180;ZNF202;ZNF263;ZNF398;ZNF432;ZNF467;ZNF543;ZNF740.motif_target	cisTarget_EGR1;EGR2;KLF4;MAZ;MZF1;PATZ1;PAX4;RARA;RARB;RARG;RXRA;RXRB;RXRG;SP1;SREBF1;SREBF2;TBX15;THRA;THRB;WT1;ZBTB17;ZNF148;ZNF281;ZNF354C;ZNF740.motif_target	cisTarget_SP1;SP3.motif_target	cisTarget_SP1;ZNF846.motif_target	cisTarget_BACH1;BACH2;CHURC1;EP300;GATA1;KLF13;KLF4;KLF9;MAF;MAFB;MAFF;MAFG;MAFK;MAZ;MTF1;MZF1;NFE2;NFE2L1;NFE2L2;NFE2L3;NR3C1;PATZ1;PAX4;PURA;RARA;RARB;RARG;RXRA;RXRB;RXRG;SP1;SP2;SP3;SP4;SREBF1;SREBF2;THRA;THRB;VEZF1;WT1;ZBTB14;ZNF148;ZNF202;ZNF432.motif_target	cisTarget_IKZF1.motif_target	cisTarget_ZNF214;ZNF444.motif_target	cisTarget_SPIB.motif_target	cisTarget_ZNF30.motif_target	cisTarget_PARP1.motif_target	cisTarget_BCL6;BPTF;CDC5L;E2F1;E2F6;EP300;ETS1;GABPA;GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;GTF2F1;HNF4A;HNF4G;HSF5;IKZF1;IKZF3;MAZ;MBNL2;NKX3-2;NR2F1;NR2F2;NR3C1;PATZ1;PAX4;PURA;RARA;RARB;RARG;RELA;RXRA;RXRB;RXRG;SMAD1;SP1;SP2;SP3;SP4;SP5;SPI1;STAT6;TAF1;TAL1;TCF7L1;THRA;THRB;VEZF1;WRNIP1;ZBTB14;ZBTB17;ZFHX2;ZFP69B;ZNF148;ZNF202;ZNF263;ZNF300;ZNF320;ZNF324;ZNF341;ZNF398;ZNF41;ZNF432;ZNF44;ZNF444;ZNF467;ZNF484;ZNF496;ZNF527;ZNF615;ZNF692;ZNF880;ZNF93.motif_target	cisTarget_ZFP62.motif_target	cisTarget_SP5.motif_target	cisTarget_CHURC1;ELF1;ELF5;EP300;ETS1;ETS2;FLI1;GABPB1;GLI3;IKZF1;ING4;MZF1;OVOL2;RUNX3;VDR;YY1;ZBTB14.motif_target	cisTarget_PROX1.motif_target	cisTarget_ZNF511.motif_target	cisTarget_MTF1;ZNF320;ZNF782.motif_target	cisTarget_ETS2.motif_target	cisTarget_ATF2.motif_target	cisTarget_RCOR1.motif_target	cisTarget_BCL11A;EP300;IKZF1;IKZF2;IRF4;IRF8;PRDM1;SPI1;TBL1XR1;ZBED1;ZNF41.motif_target	cisTarget_FOXM1.motif_target	cisTarget_EP300;PURA.motif_target	cisTarget_DPF2;GTF2F1;IKZF3;MAZ;NFXL1;PRDM9;RBAK;SIN3A;TAF1;VEZF1;WRNIP1;ZBTB5;ZNF263;ZNF341;ZNF444;ZNF467;ZNF496;ZNF596;ZNF701;ZNF875.motif_target	cisTarget_SP1;SP2;SP3;SP4;ZBTB14.motif_target	cisTarget_MZF1;ZNF354C.motif_target	cisTarget_ZNF846.motif_target	cisTarget_PURA;ZBTB14.motif_target	cisTarget_ZNF214.motif_target	cisTarget_BCL6;HSF5;MBNL2;PAX4;RELA;SP1;ZNF300;ZNF320;ZNF324;ZNF41;ZNF432;ZNF44;ZNF484;ZNF527;ZNF615;ZNF93.motif_target	cisTarget_ETS1;MZF1.motif_target	KLF6_CP_candidate	KLF6_CM_candidate	KLF6_CF_candidate	GATA3_CP_candidate	GATA3_CM_candidate	GATA3_CF_candidate
SAMD11	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
FYB2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAB1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1
WLS	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1
IGSF3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFI16	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf21	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1
NAV1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1
LPGAT1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1
FAM89A	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1
GPATCH11	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP1B1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEIS1	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	1	1
LRRTM1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZC3H6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
ZEB2	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1
LRP2	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1
SLC40A1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1
ITM2C	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
HACD2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIPARP	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1
LINC00888	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1
CHIC2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDR	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PTPN13	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
AC108052.1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLGN	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	1	1
GYPE	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GYPB	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAND2	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPLANE1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF10	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1
ISL1	0	1	1	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENC1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1
HAPLN1	0	1	0	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0
RHOBTB3	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1
ZNF608	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1
VTRNA1-3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP5	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	1
LIN28B	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0
PERP	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
