CP_hi	CM_hi	CF_hi	CTS_CP	cisTarget_CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;PDX1;SOX9;SRY;TEAD1.motif_target	cisTarget_SPIB.motif_target	cisTarget_EZH2.motif_target	cisTarget_PATZ1;VEZF1;ZNF467.motif_target	cisTarget_PARP1.motif_target	cisTarget_DLX2;DLX3;DRGX;ELF1;ELF2;ELF3;ELF4;ELK1;ELK3;ELK4;ERF;ERG;ETS1;ETS2;ETV1;ETV2;ETV3;ETV4;ETV5;ETV7;FEV;FLI1;FOXO1;GABPA;GABPB1;GATAD1;HOXA2;HOXA3;KMT2B;ONECUT2;SOX15;TFAP2C;ZBTB11;ZBTB25;ZNF580.motif_target	cisTarget_SOX9;TEAD1.motif_target	cisTarget_PATZ1.motif_target	cisTarget_ETV2;ONECUT2.motif_target	TEAD1_CP_candidate	TEAD1_CM_candidate	TEAD1_CF_candidate	ETS2_CP_candidate	ETS2_CM_candidate	ETS2_CF_candidate
STMN1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC18-AS1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNIP	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS5	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0
CREG1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0
MPZL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIFAP3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRX1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
RGS2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MERTK	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0
NXPH2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FIGN	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0
SPAG16	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL4C	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
CLSTN2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFRA	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
CCNI	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0
ARRDC3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIX1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASF1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1
BAIAP2L1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASH2L	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
SFRP1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
SNAI2	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1
HEY1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
PLIN2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSV	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBX3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIM	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD26	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ZNF503	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0
PRXL2A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFAP1L2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HBE1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC34	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGR4	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPING1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPA17	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT10	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R3HDM2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP290	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NID2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP4	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0
NPC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLK1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
CRABP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF7IP2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMP2	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TXNL4B	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TERF2IP	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
KDM6B	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0
TMEM88	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPV	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HOXB3	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0
HOXB-AS3	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1
HOXB4	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0
HOXB5	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
MSI2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TYMS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP28	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA6-AS1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCBE1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
FBXO17	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF83	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	1	1
SERINC3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKIG	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGIS	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
SLC5A3	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
SAT1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XIST	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMSB15A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC160	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
