"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_0"	1560	"CCNB1"	22	"HiG"
"HiG_0"	391	"FDPS"	70	"HiG"
"HiG_0"	489	"FTL"	60	"HiG"
"HiG_0"	309	"FGFR1"	77	"HiG"
"HiG_0"	945	"KPNA2"	33	"HiG"
"HiG_0"	397	"MAD2L2"	69	"HiG"
"HiG_0"	2414	"C1QBP"	14	"HiG"
"HiG_0"	681	"HNRNPM"	46	"HiG"
"HiG_0"	441	"XRCC5"	65	"HiG"
"HiG_0"	0	"CD2AP"	249.5	"HiG"
"HiG_0"	16	"CLU"	156.5	"HiG"
"HiG_0"	57	"CEBPZ"	135	"HiG"
"HiG_0"	627	"CENPF"	49	"HiG"
"HiG_0"	306	"BPTF"	79	"HiG"
"HiG_0"	3418	"RAN"	7	"HiG"
"HiG_0"	5940	"HNRNPD"	3	"HiG"
"HiG_0"	1332	"RAC1"	25	"HiG"
"HiG_0"	0	"HNRNPAB"	249.5	"HiG"
"HiG_0"	0	"MCM3"	249.5	"HiG"
"HiG_0"	831	"AURKB"	39	"HiG"
"HiG_0"	0	"ECT2"	249.5	"HiG"
"HiG_0"	0	"MT-ND2"	249.5	"HiG"
"HiG_0"	0	"PAWR"	249.5	"HiG"
"HiG_0"	296	"CLIC1"	82	"HiG"
"HiG_0"	3108	"ACTB"	9	"HiG"
"HiG_0"	467	"NME1"	63	"HiG"
"HiG_0"	1015	"HNRNPC"	32	"HiG"
"HiG_0"	3	"DUT"	181.5	"HiG"
"HiG_0"	0	"BEX2"	249.5	"HiG"
"HiG_0"	5	"DPPA4"	175.5	"HiG"
"HiG_0"	0	"IMP3"	249.5	"HiG"
"HiG_0"	128	"FTH1"	116	"HiG"
"HiG_0"	22	"MCM6"	151.5	"HiG"
"HiG_0"	21	"DLGAP5"	153	"HiG"
"HiG_0"	0	"CHMP2B"	249.5	"HiG"
"HiG_0"	614	"CCT3"	50.5	"HiG"
"HiG_0"	8	"CALM2"	167.5	"HiG"
"HiG_0"	42	"BUB1"	138	"HiG"
"HiG_0"	0	"CKB"	249.5	"HiG"
"HiG_0"	372	"CKS2"	73	"HiG"
"HiG_0"	0	"STRBP"	249.5	"HiG"
"HiG_0"	4397	"HSP90AB1"	5	"HiG"
"HiG_0"	864	"HDAC2"	38	"HiG"
"HiG_0"	25	"PCBP1"	149	"HiG"
"HiG_0"	0	"PSMD12"	249.5	"HiG"
"HiG_0"	158	"FDFT1"	111	"HiG"
"HiG_0"	4	"RUVBL1"	178.5	"HiG"
"HiG_0"	136	"RAI14"	115	"HiG"
"HiG_0"	2307	"CDC20"	15	"HiG"
"HiG_0"	194	"PRPF40A"	99	"HiG"
"HiG_0"	289	"LYAR"	85	"HiG"
"HiG_0"	614	"COX4I1"	50.5	"HiG"
"HiG_0"	0	"CYCS"	249.5	"HiG"
"HiG_0"	0	"TIMM13"	249.5	"HiG"
"HiG_0"	436	"CFL1"	66	"HiG"
"HiG_0"	47	"NASP"	136	"HiG"
"HiG_0"	0	"IQGAP2"	249.5	"HiG"
"HiG_0"	41	"GTPBP4"	139	"HiG"
"HiG_0"	122	"COX5A"	118	"HiG"
"HiG_0"	295	"PAICS"	84	"HiG"
"HiG_0"	191	"BIRC5"	100	"HiG"
"HiG_0"	756	"AURKA"	40	"HiG"
"HiG_0"	914	"MT-CO2"	35	"HiG"
"HiG_0"	1206	"SNRPF"	28	"HiG"
