CP_hi	CM_hi	CF_hi	CTS_CP
STMN1	0	0	0	1
CCDC18-AS1	1	0	0	1
TXNIP	1	0	0	1
RGS4	1	0	0	1
RGS5	1	0	1	1
CREG1	1	0	0	1
MPZL1	0	0	0	1
KIFAP3	0	0	0	1
PRRX1	1	0	0	1
RGS2	0	0	0	1
MERTK	0	0	0	1
NXPH2	0	0	0	1
FIGN	1	0	0	1
SPAG16	0	0	0	1
ARL4C	1	0	0	1
CLSTN2	0	0	0	1
PDGFRA	1	0	0	1
CCNI	1	0	0	1
ARRDC3	0	0	0	1
LIX1	1	0	0	1
WASF1	0	0	0	1
BAIAP2L1	0	0	0	1
ASH2L	0	0	0	1
SFRP1	1	0	0	1
SNAI2	0	0	0	1
HEY1	1	0	0	1
PLIN2	0	0	0	1
CTSV	1	0	0	1
PBX3	1	0	0	1
VIM	1	1	0	1
ANKRD26	0	0	0	1
ZNF503	0	0	0	1
PRXL2A	1	0	0	1
AFAP1L2	0	0	0	1
HBE1	0	0	0	1
CCDC34	1	0	0	1
LGR4	1	0	0	1
TTC17	0	0	0	1
SERPING1	1	0	0	1
SPA17	0	0	0	1
SYT10	0	0	0	1
R3HDM2	0	0	0	1
CEP290	0	0	0	1
CLDN10	0	0	0	1
NID2	1	0	0	1
BMP4	1	0	0	1
NPC2	0	0	0	1
DLK1	0	0	1	1
CRABP1	0	0	0	1
ATF7IP2	0	0	0	1
EMP2	1	0	0	1
TXNL4B	0	0	0	1
TERF2IP	0	0	0	1
KDM6B	1	0	0	1
TMEM88	1	0	0	1
CENPV	0	0	0	1
HOXB2	1	0	0	1
HOXB3	1	0	0	1
HOXB-AS3	1	0	0	1
HOXB4	0	0	0	1
HOXB5	0	0	0	1
MSI2	0	0	0	1
TYMS	0	0	0	1
ARHGAP28	1	0	0	1
GATA6-AS1	1	0	0	1
CCBE1	1	0	0	1
FBXO17	0	0	0	1
ZNF83	0	0	0	1
SERINC3	0	0	0	1
PKIG	0	0	0	1
PTGIS	0	0	0	1
SLC5A3	0	0	0	1
SAT1	0	0	0	1
XIST	0	0	0	1
TMSB15A	1	0	0	1
CCDC160	0	0	0	1
