CP_hi	CM_hi	CF_hi	CTS_CP	cisTarget_CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;PDX1;SOX9;SRY;TEAD1.motif_target	cisTarget_SPIB.motif_target	cisTarget_EZH2.motif_target	cisTarget_PATZ1;VEZF1;ZNF467.motif_target	cisTarget_PARP1.motif_target	cisTarget_DLX2;DLX3;DRGX;ELF1;ELF2;ELF3;ELF4;ELK1;ELK3;ELK4;ERF;ERG;ETS1;ETS2;ETV1;ETV2;ETV3;ETV4;ETV5;ETV7;FEV;FLI1;FOXO1;GABPA;GABPB1;GATAD1;HOXA2;HOXA3;KMT2B;ONECUT2;SOX15;TFAP2C;ZBTB11;ZBTB25;ZNF580.motif_target	cisTarget_ATF2;IKZF1.motif_target	cisTarget_ETS1.motif_target	cisTarget_ZNF16.motif_target	cisTarget_DLX2;DLX3;GBX1;GCM2;SOX15.motif_target	cisTarget_SALL1;SALL3;ZNF316;ZNF691.motif_target	cisTarget_BCL6B.motif_target	cisTarget_IKZF3.motif_target	cisTarget_ZSCAN2.motif_target	cisTarget_ZFP92.motif_target	cisTarget_TCF7L1.motif_target	cisTarget_ZNF225.motif_target	cisTarget_ILF2;NFATC1;NFATC2;NFATC3;NFATC4.motif_target	cisTarget_DDX20;MAZ.motif_target	cisTarget_NFKB1.motif_target	cisTarget_RCOR1;WRNIP1.motif_target	cisTarget_ZNF91.motif_target	cisTarget_CDX2;CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;CHURC1;DBP;ELF5;ELK1;EP300;ETS1;GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;GLI3;HNF1A;IKZF1;IKZF2;MAFA;MZF1;NFIA;NFIC;PAX4;PDX1;POU2F1;PURA;SP1;SP2;SP3;SP4;SREBF2;STAT1;USF1;YY1;ZBTB14.motif_target	cisTarget_EHF;ETS2;SPI1;ZNF639.motif_target	cisTarget_ZNF383.motif_target	cisTarget_SPIC.motif_target	cisTarget_SALL4.motif_target	cisTarget_ZNF263.motif_target	cisTarget_ZNF45;ZNF454.motif_target	cisTarget_ZNF596.motif_target	cisTarget_ZNF562.motif_target	cisTarget_ETS1;FOXO1;HMGA1;HMGA2;NKX3-2;SOX10;SRY;ZNF217.motif_target	cisTarget_ATF2;BCL11A;DBP;DPF2;E2F1;EHF;ELF1;ELF2;ELF4;ELK1;ELK3;ELK4;EP300;ERF;ERG;ETS1;ETS2;ETV4;ETV5;ETV6;ETV7;FLI1;FOXM1;GABPA;GABPB1;HOXA13;IKZF1;IKZF2;IRF1;IRF2;IRF3;IRF4;IRF5;IRF6;IRF7;IRF8;IRF9;KLF4;LTF;MYB;NFATC3;POU5F1;PRDM1;PURA;RFX1;RFX2;RFX3;RFX4;RFX5;RFXANK;RFXAP;SIRT6;SPI1;SPIB;STAT1;STAT2;STAT5A;STAT6;TAF1;TAF6;TBL1XR1;TBP;TCF7L1;TCF7L2;YY1;ZBED1;ZEB1;ZNF41;ZNF426.motif_target	cisTarget_LHX8;LHX9.motif_target	cisTarget_BCL11A;BCL6;CHURC1;DDX20;DPF2;EGR1;EGR2;EP300;FLI1;GTF2F1;HINFP;IKZF1;IKZF3;IRF4;KLF10;KLF13;KLF15;KLF16;KLF6;KLF9;MAZ;MTF1;MZF1;NFXL1;OVOL2;PATZ1;PAX4;PML;PRDM9;PURA;RARA;RARB;RARG;RBAK;RCOR1;RELA;RXRA;RXRB;RXRG;SIN3A;SP1;SP2;SP3;SP4;SP5;SPI1;SREBF1;SREBF2;STAT5A;TAF1;THRA;THRB;VEZF1;WRNIP1;WT1;ZBED1;ZBTB14;ZBTB17;ZBTB5;ZBTB7B;ZNF148;ZNF202;ZNF212;ZNF214;ZNF263;ZNF341;ZNF398;ZNF432;ZNF444;ZNF467;ZNF496;ZNF529;ZNF543;ZNF596;ZNF615;ZNF701;ZNF737;ZNF740;ZNF875;ZNF880.motif_target	cisTarget_NFAT5.motif_target	cisTarget_KLF13;KLF14.motif_target	cisTarget_STAT3.motif_target	cisTarget_ZNF37A.motif_target	cisTarget_NKX2-5.motif_target	cisTarget_NFATC3.motif_target	cisTarget_HOXA13;HOXA9;HOXB13;MEIS1.motif_target	cisTarget_PRDM7.motif_target	cisTarget_ZNF71.motif_target	cisTarget_IKZF1.motif_target	cisTarget_ARID3A;CDX2;CRX;ELF1;ELF2;ELF4;ELK1;ELK3;ELK4;ERG;ETS1;ETS2;ETV4;ETV6;ETV7;FLI1;GABPA;GABPB1;GATA1;GFI1;GFI1B;HOXA13;IKZF1;ISL1;KLF4;MAFA;MZF1;NKX2-1;NKX2-4;NKX3-2;OTX1;OTX2;PAX7;PITX3;POU2F1;POU3F1;PURA;RAX;SMAD1;SPI1;SPIB;SPZ1;STAT1;STAT2;STAT3;STAT4;STAT5A;STAT5B;STAT6;TCF7L2;YY1;ZNF333.motif_target	cisTarget_E4F1.motif_target	cisTarget_ZNF556.motif_target	cisTarget_ZNF524.motif_target	cisTarget_ZNF579.motif_target	cisTarget_ZNF721.motif_target	cisTarget_SOX9;TEAD1.motif_target	cisTarget_PATZ1.motif_target	cisTarget_ETV2;ONECUT2.motif_target	cisTarget_ATF2.motif_target	cisTarget_DLX2;GCM2.motif_target	cisTarget_SALL1;ZNF316.motif_target	cisTarget_DDX20.motif_target	cisTarget_RCOR1.motif_target	cisTarget_IKZF1;MZF1.motif_target	cisTarget_ETS2.motif_target	cisTarget_ZNF45.motif_target	cisTarget_SOX10.motif_target	cisTarget_BCL11A;EP300;IKZF1;IKZF2;IRF4;IRF8;PRDM1;SPI1;TBL1XR1;ZBED1;ZNF41.motif_target	cisTarget_LHX9.motif_target	cisTarget_DPF2;GTF2F1;IKZF3;MAZ;NFXL1;PRDM9;RBAK;SIN3A;TAF1;VEZF1;WRNIP1;ZBTB5;ZNF263;ZNF341;ZNF444;ZNF467;ZNF496;ZNF596;ZNF701;ZNF875.motif_target	cisTarget_KLF13.motif_target	cisTarget_HOXA13;MEIS1.motif_target	cisTarget_HOXA9;MEIS1.motif_target	cisTarget_IKZF1;OTX1;OTX2.motif_target	GATA3_CP_candidate	GATA3_CM_candidate	GATA3_CF_candidate	KLF6_CP_candidate	KLF6_CM_candidate	KLF6_CF_candidate	MEIS1_CP_candidate	MEIS1_CM_candidate	MEIS1_CF_candidate
STMN1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CCDC18-AS1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TXNIP	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS4	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS5	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREG1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
MPZL1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
KIFAP3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
PRRX1	0	0	1	1	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1
RGS2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
MERTK	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1
NXPH2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1
FIGN	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0
SPAG16	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL4C	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLSTN2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFRA	0	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
CCNI	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
