"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_0"	39	"PSMA4"	117	"HiG"
"HiG_0"	0	"NDUFB4"	250.5	"HiG"
"HiG_0"	10	"VCL"	150.5	"HiG"
"HiG_0"	0	"TIMM13"	250.5	"HiG"
"HiG_0"	0	"MIF"	250.5	"HiG"
"HiG_0"	1	"SUPT16H"	173	"HiG"
"HiG_0"	0	"FKBP3"	250.5	"HiG"
"HiG_0"	19	"AURKA"	135.5	"HiG"
"HiG_0"	11	"PGRMC1"	148.5	"HiG"
"HiG_0"	0	"KNOP1"	250.5	"HiG"
"HiG_0"	0	"SCG3"	250.5	"HiG"
"HiG_0"	284	"SFRP1"	79	"HiG"
"HiG_0"	154	"PFN1"	95	"HiG"
"HiG_0"	7	"C1QBP"	154.5	"HiG"
"HiG_0"	0	"JADE1"	250.5	"HiG"
"HiG_0"	0	"CTSC"	250.5	"HiG"
"HiG_0"	0	"YBX3"	250.5	"HiG"
"HiG_0"	0	"MLEC"	250.5	"HiG"
"HiG_0"	0	"TPI1"	250.5	"HiG"
"HiG_0"	0	"CMAS"	250.5	"HiG"
"HiG_0"	67	"COX6A1"	111	"HiG"
"HiG_0"	0	"ACOT13"	250.5	"HiG"
"HiG_0"	0	"GMNN"	250.5	"HiG"
"HiG_0"	36	"MSH2"	118	"HiG"
"HiG_0"	2778	"HSPE1"	10	"HiG"
"HiG_0"	426	"CEBPZ"	52	"HiG"
"HiG_0"	0	"MAD2L2"	250.5	"HiG"
"HiG_0"	0	"FAM98A"	250.5	"HiG"
"HiG_0"	2	"DLGAP5"	169	"HiG"
"HiG_0"	0	"TXNDC17"	250.5	"HiG"
"HiG_0"	503	"NASP"	48	"HiG"
"HiG_0"	3255	"CCNB1"	7	"HiG"
"HiG_0"	0	"SEMA6A"	250.5	"HiG"
"HiG_0"	16	"COX5B"	140.5	"HiG"
"HiG_0"	0	"USP44"	250.5	"HiG"
"HiG_0"	784	"POU5F1"	34.5	"HiG"
"HiG_0"	2	"SYT1"	169	"HiG"
"HiG_0"	0	"PEBP1"	250.5	"HiG"
"HiG_0"	3	"MCM4"	166	"HiG"
"HiG_0"	0	"YY1"	250.5	"HiG"
"HiG_0"	973	"PRDX1"	32	"HiG"
"HiG_0"	628	"EPCAM"	43	"HiG"
"HiG_0"	0	"CHMP2B"	250.5	"HiG"
"HiG_0"	0	"EIF2AK4"	250.5	"HiG"
"HiG_0"	0	"MCM6"	250.5	"HiG"
"HiG_0"	371	"NOP58"	57	"HiG"
"HiG_0"	323	"USO1"	65.5	"HiG"
"HiG_0"	0	"GALNT7"	250.5	"HiG"
"HiG_0"	0	"CENPE"	250.5	"HiG"
"HiG_0"	0	"GAL"	250.5	"HiG"
"HiG_0"	5	"SQLE"	160	"HiG"
"HiG_0"	833	"SNRPF"	33	"HiG"
"HiG_0"	14	"MFGE8"	143.5	"HiG"
"HiG_0"	318	"SOD1"	72	"HiG"
"HiG_0"	0	"FNBP1L"	250.5	"HiG"
"HiG_0"	8060	"RPS27A"	2	"HiG"
"HiG_0"	330	"FTH1"	63	"HiG"
"HiG_0"	6	"SFRP2"	157.5	"HiG"
"HiG_0"	0	"IQGAP2"	250.5	"HiG"
"HiG_0"	0	"GGCT"	250.5	"HiG"
"HiG_0"	92	"CCT6A"	106	"HiG"
"HiG_0"	1839	"TERF1"	21	"HiG"
"HiG_0"	10	"SSRP1"	150.5	"HiG"
"HiG_0"	5	"PAK1"	160	"HiG"
"HiG_0"	0	"CENPU"	250.5	"HiG"
"HiG_0"	609	"SMARCA5"	44	"HiG"
"HiG_0"	180	"THY1"	88	"HiG"
"HiG_0"	406	"UCHL1"	54	"HiG"
"HiG_0"	31	"ATP5MC3"	127	"HiG"
"HiG_0"	12	"NIFK"	146.5	"HiG"
"HiG_0"	19	"BUB1B"	135.5	"HiG"
"HiG_0"	325	"EIF5B"	64	"HiG"
"HiG_0"	0	"CBR1"	250.5	"HiG"
"HiG_0"	19	"CCT3"	135.5	"HiG"
"HiG_0"	527	"TDGF1"	47	"HiG"
"HiG_0"	2593	"H2AFZ"	11	"HiG"
"HiG_0"	0	"SCGB3A2"	250.5	"HiG"
"HiG_0"	4412	"NPM1"	5	"HiG"
"HiG_0"	0	"HSPA9"	250.5	"HiG"
"HiG_0"	0	"CKB"	250.5	"HiG"
"HiG_0"	323	"CRABP1"	65.5	"HiG"
"HiG_0"	321	"PDIA3"	69	"HiG"
