signature	gene	BetweennessCentrality	PPI_cat	rank_by_BC	PCGC_AllCurated
HiG_0	RPS27A	8060	HiG	2	FALSE
HiG_0	NPM1	4412	HiG	5	FALSE
HiG_0	NCL	5801	HiG	3	FALSE
HiG_0	GAPDH	19361	HiG	1	FALSE
HiG_0	L1TD1	4568	HiG	4	FALSE
HiG_1	DCN	143923	HiG	1	FALSE
HiG_1	SPARC	97520	HiG	4	FALSE
HiG_1	EZR	102747	HiG	3	FALSE
HiG_1	ANXA2	128617	HiG	2	FALSE
HiG_1	FN1	95585	HiG	5	FALSE
HiG_2	HSPE1	3667	HiG	2	FALSE
HiG_2	RPS27A	3422	HiG	3	FALSE
HiG_2	NCL	2862	HiG	5	FALSE
HiG_2	HSP90AB1	3295	HiG	4	FALSE
HiG_2	GAPDH	5135	HiG	1	FALSE
HiG_CP	PDGFRA	1925	HiG	3	TRUE
HiG_CP	FGF10	939	HiG	4	FALSE
HiG_CP	HAS2	680	HiG	5	TRUE
HiG_CP	RPL3	2335	HiG	2	FALSE
HiG_CP	VIM	3220	HiG	1	FALSE
HiG_4	BMP4	1032	HiG	3	TRUE
HiG_4	GAPDH	1885	HiG	1	FALSE
HiG_4	RPS18	1180	HiG	2	FALSE
HiG_4	RPLP0	414	HiG	4	FALSE
HiG_4	ENO1	381	HiG	5	FALSE
HiG_5	ACTC1	6805	HiG	5	TRUE
HiG_5	FN1	9456	HiG	3	FALSE
HiG_5	MYH6	14209	HiG	1	TRUE
HiG_5	VIM	12019	HiG	2	FALSE
HiG_5	TNNT2	6909	HiG	4	FALSE
HiG_6	DCN	736	HiG	4	FALSE
HiG_6	SPARC	654	HiG	5	FALSE
HiG_6	LUM	808	HiG	2	FALSE
HiG_6	ANXA2	1890	HiG	1	FALSE
HiG_6	PCNA	752	HiG	3	FALSE
HiG_7	TUBB2B	314	HiG	5	FALSE
HiG_7	HSP90AB1	1352	HiG	2	FALSE
HiG_7	GAPDH	2208	HiG	1	FALSE
HiG_7	HSPA8	319	HiG	3.5	FALSE
HiG_7	ENO1	319	HiG	3.5	FALSE
HiG_muscle	ACTA2	634	HiG	5	TRUE
HiG_muscle	TPM1	1150	HiG	3	FALSE
HiG_muscle	CCN2	954	HiG	4	FALSE
HiG_muscle	TAGLN	1698	HiG	1	FALSE
HiG_muscle	ACTB	1486	HiG	2	FALSE
HiG_9	COL3A1	101721	HiG	4	FALSE
HiG_9	FN1	95511	HiG	5	FALSE
HiG_9	TPM1	119998	HiG	3	FALSE
HiG_9	TTN	138282	HiG	1	FALSE
HiG_9	CTNNB1	129102	HiG	2	FALSE
HiG_10	PGK1	270	HiG	3	FALSE
HiG_10	GAPDH	893	HiG	1	FALSE
HiG_10	RPS18	183	HiG	5	FALSE
HiG_10	RPL23	184	HiG	4	FALSE
HiG_10	RPLP0	504	HiG	2	FALSE
HiG_endoderm	TTR	135	HiG	3	FALSE
HiG_endoderm	CDH2	122	HiG	4	TRUE
HiG_endoderm	FN1	161	HiG	2	FALSE
HiG_endoderm	KRT19	176	HiG	1	FALSE
HiG_endoderm	GATA3	107	HiG	5	FALSE
HiG_12	GDF15	33	HiG	3	FALSE
HiG_12	ALB	27	HiG	4	FALSE
HiG_12	RBP4	45	HiG	2	FALSE
HiG_12	IGF1	67	HiG	1	FALSE
HiG_12	TTN	23	HiG	5	FALSE
HiGCTS_muscle	FILIP1	16	HiGCTS	4	FALSE
HiGCTS_muscle	PDLIM3	51	HiGCTS	2	FALSE
HiGCTS_muscle	ACTA1	45	HiGCTS	3	FALSE
HiGCTS_muscle	NES	7	HiGCTS	5	FALSE
HiGCTS_muscle	TNNT2	61	HiGCTS	1	FALSE
HiGCTS_endoderm	APOA1	2	HiGCTS	2	FALSE
HiGCTS_endoderm	TTR	4	HiGCTS	1	FALSE
HiGCTS_CP	BMP4	55	HiGCTS	2	TRUE
HiGCTS_CP	PDGFRA	73	HiGCTS	1	TRUE
HiGCTS_CP	VIM	45	HiGCTS	3	FALSE
HiGCTS_CP.1	ISL1	48	HiGCTS	2	TRUE
HiGCTS_CP.1	FGF10	118	HiGCTS	1	FALSE
HiGCTS_CP.1	HAPLN1	35	HiGCTS	4	FALSE
HiGCTS_CP.1	HAS2	42	HiGCTS	3	TRUE
HiGCTS_CP.1	CITED2	34	HiGCTS	5	TRUE
CTS_muscle	PDLIM3	216	CTS	3	FALSE
CTS_muscle	ACTA1	392	CTS	2	FALSE
CTS_muscle	SYNPO2L	132	CTS	5	FALSE
CTS_muscle	CRYAB	144	CTS	4	FALSE
CTS_muscle	TNNT2	614	CTS	1	FALSE
CTS_endoderm	APOB	279	CTS	2	FALSE
CTS_endoderm	APOA1	483	CTS	1	FALSE
CTS_endoderm	APOE	232	CTS	5	FALSE
CTS_endoderm	P4HB	255	CTS	4	FALSE
CTS_endoderm	GPC3	264	CTS	3	TRUE
CTS_CP	BMP4	227	CTS	4	TRUE
CTS_CP	PDGFRA	343	CTS	2	TRUE
CTS_CP	TYMS	181	CTS	5	FALSE
CTS_CP	STMN1	246	CTS	3	FALSE
CTS_CP	VIM	729	CTS	1	FALSE
CTS_CP.1	KDR	449	CTS	3	FALSE
CTS_CP.1	FGF10	801	CTS	1	FALSE
CTS_CP.1	HAPLN1	223	CTS	5	FALSE
CTS_CP.1	CA2	284	CTS	4	FALSE
CTS_CP.1	HAS2	477	CTS	2	TRUE
