"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_1"	2211021667847808	"PCNA"	63	"HiG"
"HiG_1"	3929269705194.66	"PBX1"	245	"HiG"
"HiG_1"	57942351774942.8	"MAGED1"	196	"HiG"
"HiG_1"	839728373086963	"HDAC1"	93	"HiG"
"HiG_1"	9029951373951578	"HDAC2"	23	"HiG"
"HiG_1"	35533651125481	"HES1"	206	"HiG"
"HiG_1"	1239662187906.15	"TEAD2"	261	"HiG"
"HiG_1"	429756397522573	"HSP90AB1"	126	"HiG"
"HiG_1"	388424487945.673	"ID3"	270	"HiG"
"HiG_1"	308407042541454	"CCND1"	143	"HiG"
"HiG_1"	404886881259531	"CD81"	131	"HiG"
"HiG_1"	8472529248245.6	"ARL3"	233	"HiG"
"HiG_1"	2417383849569.62	"JUND"	254	"HiG"
"HiG_1"	143913496410841	"HSPA8"	171	"HiG"
"HiG_1"	70522364987380.8	"CCNB1"	191	"HiG"
"HiG_1"	2374017482260898	"EZH2"	61	"HiG"
"HiG_1"	12423768647627218	"PRMT1"	15	"HiG"
"HiG_1"	654306568906582	"NOP56"	105	"HiG"
"HiG_1"	2485675942148234	"TCF3"	59	"HiG"
"HiG_1"	418100244837750	"RBBP7"	128	"HiG"
"HiG_1"	610.898798580207	"BTG1"	298	"HiG"
"HiG_1"	19895879940270.9	"CDX1"	217	"HiG"
"HiG_1"	0	"EBF1"	353.5	"HiG"
"HiG_1"	18256852626212.3	"HOXA1"	219	"HiG"
"HiG_1"	0	"HOXA2"	353.5	"HiG"
"HiG_1"	10091550949.7483	"HOXB1"	283	"HiG"
"HiG_1"	83099975478842.8	"ID1"	189	"HiG"
"HiG_1"	122891544043190	"ID2"	175	"HiG"
"HiG_1"	525729161979.412	"LEF1"	268	"HiG"
"HiG_1"	147337731898025	"LMO4"	169	"HiG"
"HiG_1"	3460389669590.98	"FOXP1"	248	"HiG"
"HiG_1"	450.764860003472	"MEOX1"	302	"HiG"
"HiG_1"	1264617430814.69	"MEIS2"	260	"HiG"
"HiG_1"	431.080800791232	"MEIS3"	304	"HiG"
"HiG_1"	3101215836466898	"MYCN"	52	"HiG"
"HiG_1"	3038857073077721	"KHDRBS1"	54	"HiG"
"HiG_1"	3056506508075245	"TRIM28"	53	"HiG"
"HiG_1"	239.842604373809	"PDLIM4"	313	"HiG"
"HiG_1"	6031004005947.99	"IVNS1ABP"	238	"HiG"
"HiG_1"	413285804027493	"DEK"	130	"HiG"
"HiG_1"	120624444094759	"HELLS"	177	"HiG"
"HiG_1"	564125987962847	"RBBP4"	116	"HiG"
"HiG_1"	24787328214236.5	"SALL4"	214	"HiG"
"HiG_1"	584686279717564	"RUVBL2"	113	"HiG"
"HiG_1"	373802059148191	"ASF1A"	136	"HiG"
"HiG_1"	654780930470618	"ILF2"	104	"HiG"
"HiG_1"	114464003386755	"ACIN1"	179	"HiG"
"HiG_1"	700625870731445	"DNAJA1"	102	"HiG"
"HiG_1"	112.8852805451	"KPNA2"	319	"HiG"
