signature	gene	BetweennessCentrality	PPI_cat	rank_by_BC	PCGC_AllCurated
HiG_1	HSPA5	7382	HiG	1	FALSE
HiG_1	NCL	5948	HiG	2	FALSE
HiG_1	HSP90AA1	3759	HiG	5	FALSE
HiG_1	PCNA	5134	HiG	3	FALSE
HiG_1	HSPD1	4702	HiG	4	FALSE
HiG_2	ACTB	13513	HiG	2	FALSE
HiG_2	ACTG1	7321	HiG	5	FALSE
HiG_2	HSPA5	15608	HiG	1	FALSE
HiG_2	ACTC1	12502	HiG	4	TRUE
HiG_2	TPM1	12996	HiG	3	FALSE
HiG_3	HSPA5	21844	HiG	1	FALSE
HiG_3	NCL	6003	HiG	4	FALSE
HiG_3	TPM1	6982	HiG	3	FALSE
HiG_3	TUBA1A	5507	HiG	5	FALSE
HiG_3	YWHAQ	10267	HiG	2	FALSE
HiG_4	HNRNPA1	4056	HiG	4	FALSE
HiG_4	HDAC1	5072	HiG	2	TRUE
HiG_4	HSPA5	6899	HiG	1	FALSE
HiG_4	DDX5	4569	HiG	3	FALSE
HiG_4	YWHAQ	3964	HiG	5	FALSE
HiG_5	HDAC1	5198	HiG	3	TRUE
HiG_5	HSPA5	7779	HiG	1	FALSE
HiG_5	NCL	5569	HiG	2	FALSE
HiG_5	HSP90AA1	4842	HiG	4	FALSE
HiG_5	HSPD1	4412	HiG	5	FALSE
HiG_6	ACTB	12165	HiG	2	FALSE
HiG_6	HNRNPK	7812	HiG	5	FALSE
HiG_6	ACTG1	9704	HiG	3	FALSE
HiG_6	HSPA5	21810	HiG	1	FALSE
HiG_6	CDH5	8678	HiG	4	FALSE
HiG_9	APP	9837	HiG	2	FALSE
HiG_9	HDAC1	6666	HiG	3	TRUE
HiG_9	HSPA5	11896	HiG	1	FALSE
HiG_9	CCT8	5075	HiG	4	FALSE
HiG_9	TUBA1A	5008	HiG	5	FALSE
HiG_10	HSPA5	14999	HiG	2	FALSE
HiG_10	DDX5	7779	HiG	4	FALSE
HiG_10	CALM1	8194	HiG	3	FALSE
HiG_10	CD81	6789	HiG	5	FALSE
HiG_10	VIM	18378	HiG	1	FALSE
HiG_12	KRT18	5728	HiG	3	FALSE
HiG_12	HSPA5	13005	HiG	1	FALSE
HiG_12	DDX5	4584	HiG	5	FALSE
HiG_12	VIM	5103	HiG	4	FALSE
HiG_12	YWHAQ	5906	HiG	2	FALSE
HiG_14	EIF4A1	4726	HiG	4	FALSE
HiG_14	HSP90AB1	7371	HiG	3	FALSE
HiG_14	HSPA5	11224	HiG	2	FALSE
HiG_14	MYC	16722	HiG	1	FALSE
HiG_14	HSPD1	4705	HiG	5	FALSE
HiG_17	HSPA5	16682	HiG	1	FALSE
HiG_17	GAPDH	11905	HiG	3	FALSE
HiG_17	ACTC1	9734	HiG	5	TRUE
HiG_17	UBC	12049	HiG	2	FALSE
HiG_17	TPM1	11426	HiG	4	FALSE
HiG_18	APP	9785	HiG	2	FALSE
HiG_18	ACTB	9103	HiG	3	FALSE
HiG_18	ACTG1	6834	HiG	4	FALSE
HiG_18	HSPA5	23571	HiG	1	FALSE
HiG_18	HSP90B1	6325	HiG	5	FALSE
HiG_19	LGALS1	7444	HiG	3	FALSE
HiG_19	ITGB1	13176	HiG	2	FALSE
HiG_19	VIM	6221	HiG	4	FALSE
HiG_19	FN1	13196	HiG	1	FALSE
HiG_19	TPM1	6179	HiG	5	FALSE
HiG_7	MYC	21521	HiG	1	FALSE
HiG_7	RUNX1	2902	HiG	5	FALSE
HiG_7	UBC	3173	HiG	3	FALSE
HiG_7	PRDX6	3060	HiG	4	FALSE
HiG_7	PRDX2	6481	HiG	2	FALSE
HiG_11	ACTG1	7010	HiG	4	FALSE
HiG_11	HSPA5	17247	HiG	1	FALSE
