"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_1"	58	"Mcm7"	127	"HiG"
"HiG_1"	0	"Hoxa1"	242.5	"HiG"
"HiG_1"	0	"Ddt"	242.5	"HiG"
"HiG_1"	298	"Prkra"	86	"HiG"
"HiG_1"	9	"Tpm4"	152	"HiG"
"HiG_1"	0	"Gstm5"	242.5	"HiG"
"HiG_1"	0	"Crabp2"	242.5	"HiG"
"HiG_1"	0	"Pafah1b3"	242.5	"HiG"
"HiG_1"	3	"Trim28"	166	"HiG"
"HiG_1"	0	"Snx6"	242.5	"HiG"
"HiG_1"	67	"Adh5"	122.5	"HiG"
"HiG_1"	0	"Tbcb"	242.5	"HiG"
"HiG_1"	1055	"Cdc20"	35	"HiG"
"HiG_1"	713	"Srm"	52	"HiG"
"HiG_1"	0	"Ddah2"	242.5	"HiG"
"HiG_1"	360	"Id3"	75	"HiG"
"HiG_1"	0	"Rala"	242.5	"HiG"
"HiG_1"	0	"Igf2bp1"	242.5	"HiG"
"HiG_1"	548	"Ppp1cb"	62	"HiG"
"HiG_1"	5202	"Hspa8"	5	"HiG"
"HiG_1"	55	"H2afy"	129	"HiG"
"HiG_1"	2	"Slc25a5"	173.5	"HiG"
"HiG_1"	0	"Ppdpf"	242.5	"HiG"
"HiG_1"	475	"Aldoc"	65	"HiG"
"HiG_1"	0	"Igfbp4"	242.5	"HiG"
"HiG_1"	0	"Wsb1"	242.5	"HiG"
"HiG_1"	0	"Pdlim4"	242.5	"HiG"
"HiG_1"	1410	"Hoxb1"	21	"HiG"
"HiG_1"	0	"Tecr"	242.5	"HiG"
"HiG_1"	0	"Dusp6"	242.5	"HiG"
"HiG_1"	782	"Arg1"	48	"HiG"
"HiG_1"	0	"Hnrnph3"	242.5	"HiG"
"HiG_1"	0	"H2afy2"	242.5	"HiG"
"HiG_1"	1130	"Ppa1"	30	"HiG"
"HiG_1"	16	"Csrp2"	145	"HiG"
"HiG_1"	0	"Bzw2"	242.5	"HiG"
"HiG_1"	2	"Sdc1"	173.5	"HiG"
"HiG_1"	932	"Rrm2"	37	"HiG"
"HiG_1"	42	"Slc9a3r1"	133	"HiG"
"HiG_1"	85	"Fam64a"	120.5	"HiG"
"HiG_1"	0	"Dcakd"	242.5	"HiG"
"HiG_1"	406	"Zfp36l1"	67	"HiG"
"HiG_1"	0	"Dek"	242.5	"HiG"
"HiG_1"	0	"Sfxn1"	242.5	"HiG"
"HiG_1"	0	"Dbn1"	242.5	"HiG"
"HiG_1"	366	"Glrx"	72	"HiG"
"HiG_1"	0	"Emb"	242.5	"HiG"
"HiG_1"	297	"Arf4"	88	"HiG"
"HiG_1"	49	"Tkt"	131	"HiG"
"HiG_1"	1	"Bnip3l"	180	"HiG"
"HiG_1"	0	"Acin1"	242.5	"HiG"
"HiG_1"	312	"Laptm4b"	81	"HiG"
"HiG_1"	157	"Ppp1r1a"	112.5	"HiG"
"HiG_1"	0	"Ivns1abp"	242.5	"HiG"
"HiG_1"	2	"Pcbp4"	173.5	"HiG"
"HiG_1"	0	"Lmnb1"	242.5	"HiG"
"HiG_1"	5	"Fbn2"	160.5	"HiG"
"HiG_1"	265	"Psat1"	99.5	"HiG"
"HiG_1"	0	"Hells"	242.5	"HiG"
"HiG_1"	0	"Arl3"	242.5	"HiG"
"HiG_1"	3	"Gsto1"	166	"HiG"
"HiG_1"	133	"Maged1"	116	"HiG"
"HiG_1"	874	"Hsd17b10"	42	"HiG"
"HiG_1"	1	"Prdx4"	180	"HiG"
"HiG_1"	810	"Atp5b"	45	"HiG"
"HiG_1"	25	"Clns1a"	139.5	"HiG"
"HiG_1"	5	"Eif4a3"	160.5	"HiG"
"HiG_1"	829	"Cct8"	44	"HiG"
"HiG_1"	4232	"Hspd1"	8	"HiG"
"HiG_1"	8	"Itm2c"	155.5	"HiG"
"HiG_1"	7563	"Ncl"	2	"HiG"
"HiG_1"	2705	"Hspa5"	12	"HiG"
"HiG_1"	0	"Hat1"	242.5	"HiG"
"HiG_1"	293	"Nop10"	92	"HiG"
"HiG_1"	539	"Meis2"	63	"HiG"
"HiG_1"	1411	"Pcna"	20	"HiG"
"HiG_1"	0	"Fabp5"	242.5	"HiG"
"HiG_1"	1317	"Anxa5"	22	"HiG"
"HiG_1"	0	"Ppid"	242.5	"HiG"
"HiG_1"	0	"Hadh"	242.5	"HiG"
"HiG_1"	2866	"Lef1"	11	"HiG"
"HiG_1"	9	"Cnn3"	152	"HiG"
"HiG_1"	659	"Cyr61"	53	"HiG"
"HiG_1"	0	"Psip1"	242.5	"HiG"
"HiG_1"	0	"Txndc12"	242.5	"HiG"
"HiG_1"	0	"Ift74"	242.5	"HiG"
"HiG_1"	0	"Lrrc42"	242.5	"HiG"
"HiG_1"	728	"Nasp"	51	"HiG"
"HiG_1"	1	"Ebna1bp2"	180	"HiG"
"HiG_1"	138	"Sfpq"	115	"HiG"
"HiG_1"	251	"Stmn1"	103	"HiG"
"HiG_1"	3	"Paics"	166	"HiG"
"HiG_1"	0	"Srsf9"	242.5	"HiG"
"HiG_1"	2	"Fscn1"	173.5	"HiG"
"HiG_1"	0	"Rasl11a"	242.5	"HiG"
"HiG_1"	15	"Tra2a"	147	"HiG"
"HiG_1"	0	"Ptms"	242.5	"HiG"
"HiG_1"	0	"Ldhb"	242.5	"HiG"
"HiG_1"	0	"Bcat1"	242.5	"HiG"
"HiG_1"	0	"Fkbp4"	242.5	"HiG"
"HiG_1"	566	"Arl6ip1"	60.5	"HiG"
"HiG_1"	0	"Mettl9"	242.5	"HiG"
"HiG_1"	0	"Bccip"	242.5	"HiG"
"HiG_1"	0	"Plp2"	242.5	"HiG"
"HiG_1"	0	"Hmgn5"	242.5	"HiG"
"HiG_1"	1198	"Rbbp7"	28	"HiG"
"HiG_1"	260	"Dkc1"	101	"HiG"
"HiG_1"	0	"Prps1"	242.5	"HiG"
"HiG_1"	0	"Sap30"	242.5	"HiG"
"HiG_1"	297	"Jam3"	88	"HiG"
"HiG_1"	0	"Oaf"	242.5	"HiG"
"HiG_1"	5698	"Aldh1a2"	3	"HiG"
"HiG_1"	0	"Nedd4"	242.5	"HiG"
"HiG_1"	1104	"Crabp1"	32	"HiG"
"HiG_1"	2425	"Pkm"	14	"HiG"
"HiG_1"	0	"Tspan3"	242.5	"HiG"
"HiG_1"	286	"Gsta4"	95	"HiG"
"HiG_1"	0	"Ptov1"	242.5	"HiG"
"HiG_1"	0	"Car14"	242.5	"HiG"
"HiG_1"	2	"Gcsh"	173.5	"HiG"
"HiG_1"	61	"Fbl"	125	"HiG"
"HiG_1"	0	"Rangrf"	242.5	"HiG"
"HiG_1"	0	"Ube2r2"	242.5	"HiG"
"HiG_1"	16	"Btg1"	145	"HiG"
"HiG_1"	22	"Pclaf"	141	"HiG"
"HiG_1"	0	"Serbp1"	242.5	"HiG"
"HiG_1"	0	"Timm8b"	242.5	"HiG"
"HiG_1"	1211	"Twist1"	27	"HiG"
"HiG_1"	289	"Prrx2"	93	"HiG"
"HiG_1"	0	"Pnrc1"	242.5	"HiG"
"HiG_1"	6	"Apex1"	158.5	"HiG"
"HiG_1"	16	"Bex2"	145	"HiG"
"HiG_1"	243	"Cd81"	104	"HiG"
"HiG_1"	800	"Ptma"	46	"HiG"
"HiG_1"	0	"Tsc22d1"	242.5	"HiG"
"HiG_1"	0	"Fermt2"	242.5	"HiG"
"HiG_1"	0	"Limd2"	242.5	"HiG"
"HiG_1"	307	"Ndn"	82	"HiG"
"HiG_1"	55	"Mycn"	129	"HiG"
"HiG_1"	0	"Zfp503"	242.5	"HiG"
"HiG_1"	301	"Gnl3"	84	"HiG"
"HiG_1"	34	"Tceal9"	136	"HiG"
"HiG_1"	0	"Adk"	242.5	"HiG"
"HiG_1"	0	"Dctpp1"	242.5	"HiG"
"HiG_1"	204	"Rbmxl1"	107	"HiG"
"HiG_1"	67	"Calm2"	122.5	"HiG"
"HiG_1"	580	"Gpi1"	58	"HiG"
"HiG_1"	0	"Ckap4"	242.5	"HiG"
"HiG_1"	787	"Meox1"	47	"HiG"
"HiG_1"	0	"Epop"	242.5	"HiG"
"HiG_1"	201	"Mapk3"	108	"HiG"
"HiG_1"	336	"Pdia6"	78.5	"HiG"
"HiG_1"	4	"Sptssa"	162.5	"HiG"
"HiG_1"	2	"Basp1"	173.5	"HiG"
"HiG_1"	3288	"Fn1"	10	"HiG"
"HiG_1"	0	"Fbln1"	242.5	"HiG"
"HiG_1"	89	"Foxc2"	119	"HiG"
"HiG_1"	0	"Prtg"	242.5	"HiG"
"HiG_1"	0	"Cd24a"	242.5	"HiG"
"HiG_1"	59	"Six1"	126	"HiG"
"HiG_1"	0	"Rbp1"	242.5	"HiG"
"HiG_1"	365	"Bex1"	73	"HiG"
"HiG_1"	8	"Ier2"	155.5	"HiG"
"HiG_1"	0	"H1fx"	242.5	"HiG"
"HiG_1"	865	"Hmgn1"	43	"HiG"
"HiG_1"	64	"Mtap"	124	"HiG"
"HiG_1"	0	"Slbp"	242.5	"HiG"
"HiG_1"	0	"Mogat2"	242.5	"HiG"
"HiG_1"	4484	"Gpc3"	7	"HiG"
