"signature"	"gene"	"PPI_cat"	"rank_by_PR"	"PCGC_AllCurated"
"CTS_8"	"Epha2"	"CTS"	3	FALSE
"CTS_8"	"Fgf8"	"CTS"	1	FALSE
"CTS_8"	"Fgfr2"	"CTS"	4	TRUE
"CTS_8"	"Irx3"	"CTS"	5	FALSE
"CTS_8"	"Isl1"	"CTS"	2	TRUE
"HiGCTS_8"	"Fgf8"	"HiGCTS"	1	FALSE
"HiGCTS_8"	"Igfbpl1"	"HiGCTS"	5	FALSE
"HiGCTS_8"	"Irx3"	"HiGCTS"	3	FALSE
"HiGCTS_8"	"Isl1"	"HiGCTS"	2	TRUE
"HiGCTS_8"	"Npm3"	"HiGCTS"	4	FALSE
"HiG_8"	"Fgf8"	"HiG"	4	FALSE
"HiG_8"	"Hspa5"	"HiG"	3	FALSE
"HiG_8"	"Hspa8"	"HiG"	2	FALSE
"HiG_8"	"Ldha"	"HiG"	5	FALSE
"HiG_8"	"Npm1"	"HiG"	1	FALSE
