"graph_id"	"names"	"n_edge"	"STRING_id"	"vertex_index_to_remove"
"HiG_1"	"HN1L"	8	"10090.ENSMUSP00000024981"	"260,419"
"HiG_2"	"CXX1A"	12	"10090.ENSMUSP00000086158"	"384"
"HiG_3"	"HN1L"	4	"10090.ENSMUSP00000024981"	"338,541"
"HiG_4"	"HN1L"	8	"10090.ENSMUSP00000024981"	"277,419"
"HiG_5"	"HN1L"	6	"10090.ENSMUSP00000024981"	"273,425"
"HiG_6"	"CXX1A"	6	"10090.ENSMUSP00000086158"	"423"
"HiG_9"	"HN1L"	6	"10090.ENSMUSP00000024981"	"297,473"
"HiG_17"	"CXX1A"	8	"10090.ENSMUSP00000086158"	"425"
"HiG_18"	"HN1L"	4	"10090.ENSMUSP00000024981"	"116,569"
"HiG_19"	"HIST1H4I"	62	"10090.ENSMUSP00000100042"	"439"
"HiG_19"	"HN1L"	4	"10090.ENSMUSP00000024981"	"412,669"
"HiG_16"	"HN1L"	8	"10090.ENSMUSP00000024981"	"412,648"
"HiG_8"	"HN1L"	8	"10090.ENSMUSP00000024981"	"281,442"
