"signature"	"gene"	"PPI_cat"	"rank_by_PR"	"PCGC_AllCurated"
"CTS_11"	"Asb4"	"CTS"	4	FALSE
"CTS_11"	"Fbn1"	"CTS"	3	TRUE
"CTS_11"	"Fgfr2"	"CTS"	1	TRUE
"CTS_11"	"Fgfr3"	"CTS"	5	FALSE
"CTS_11"	"Pcolce"	"CTS"	2	FALSE
"CTS_13"	"Cdh5"	"CTS"	2	FALSE
"CTS_13"	"Icam2"	"CTS"	4	FALSE
"CTS_13"	"Pecam1"	"CTS"	1	FALSE
"CTS_13"	"Tek"	"CTS"	5	FALSE
"CTS_13"	"Tie1"	"CTS"	3	FALSE
"CTS_15"	"Cd34"	"CTS"	1	FALSE
"CTS_15"	"Cdh5"	"CTS"	2	FALSE
"CTS_15"	"Cldn5"	"CTS"	4	FALSE
"CTS_15"	"Gata1"	"CTS"	3	FALSE
"CTS_15"	"Icam2"	"CTS"	5	FALSE
"CTS_16"	"Cd44"	"CTS"	1	FALSE
"CTS_16"	"Col1a1"	"CTS"	2	FALSE
"CTS_16"	"Col3a1"	"CTS"	3	FALSE
"CTS_16"	"Col5a2"	"CTS"	4	FALSE
"CTS_16"	"Lama4"	"CTS"	5	FALSE
"CTS_16.1"	"Ezr"	"CTS"	3	FALSE
"CTS_16.1"	"Gas6"	"CTS"	5	FALSE
"CTS_16.1"	"Postn"	"CTS"	2	FALSE
"CTS_16.1"	"Rem1"	"CTS"	1	FALSE
"CTS_16.1"	"Runx1"	"CTS"	4	FALSE
"CTS_7"	"Hba-a1"	"CTS"	1	FALSE
"CTS_7"	"Hba-a2"	"CTS"	5	FALSE
"CTS_7"	"Hba-x"	"CTS"	3	FALSE
"CTS_7"	"Hbb-bh1"	"CTS"	2	FALSE
"CTS_7"	"Klf1"	"CTS"	4	FALSE
"CTS_8"	"Epha2"	"CTS"	3	FALSE
"CTS_8"	"Fgf8"	"CTS"	1	FALSE
"CTS_8"	"Fgfr2"	"CTS"	4	TRUE
"CTS_8"	"Irx3"	"CTS"	5	FALSE
"CTS_8"	"Isl1"	"CTS"	2	TRUE
"HiGCTS_11"	"Asb4"	"HiGCTS"	2	FALSE
"HiGCTS_11"	"Ccdc80"	"HiGCTS"	4	FALSE
"HiGCTS_11"	"Efemp2"	"HiGCTS"	3	FALSE
"HiGCTS_11"	"Pcolce"	"HiGCTS"	1	FALSE
"HiGCTS_11"	"Sgce"	"HiGCTS"	5	FALSE
"HiGCTS_15"	"Cd34"	"HiGCTS"	1	FALSE
"HiGCTS_15"	"Cdh5"	"HiGCTS"	2	FALSE
"HiGCTS_15"	"Cldn5"	"HiGCTS"	3	FALSE
"HiGCTS_15"	"Gng11"	"HiGCTS"	4	FALSE
"HiGCTS_15"	"Tie1"	"HiGCTS"	5	FALSE
"HiGCTS_16"	"Col1a1"	"HiGCTS"	1	FALSE
"HiGCTS_16"	"Col5a2"	"HiGCTS"	2	FALSE
"HiGCTS_16"	"Igf2r"	"HiGCTS"	4.5	FALSE
"HiGCTS_16"	"Krt19"	"HiGCTS"	3	FALSE
"HiGCTS_16"	"Plagl1"	"HiGCTS"	4.5	TRUE
"HiGCTS_16.1"	"Ezr"	"HiGCTS"	4	FALSE
"HiGCTS_16.1"	"Gas6"	"HiGCTS"	2	FALSE
"HiGCTS_16.1"	"Pdpn"	"HiGCTS"	5	FALSE
"HiGCTS_16.1"	"Postn"	"HiGCTS"	1	FALSE
"HiGCTS_16.1"	"Wisp1"	"HiGCTS"	3	FALSE
"HiGCTS_7"	"Hba-a1"	"HiGCTS"	1	FALSE
"HiGCTS_7"	"Hba-a2"	"HiGCTS"	2	FALSE
"HiGCTS_7"	"Hba-x"	"HiGCTS"	4	FALSE
"HiGCTS_7"	"Hbb-bh1"	"HiGCTS"	3	FALSE
"HiGCTS_7"	"Klf1"	"HiGCTS"	5	FALSE
"HiGCTS_8"	"Fgf8"	"HiGCTS"	1	FALSE
"HiGCTS_8"	"Igfbpl1"	"HiGCTS"	5	FALSE
"HiGCTS_8"	"Irx3"	"HiGCTS"	3	FALSE
"HiGCTS_8"	"Isl1"	"HiGCTS"	2	TRUE
"HiGCTS_8"	"Npm3"	"HiGCTS"	4	FALSE
"HiG_1"	"H3f3b"	"HiG"	2	FALSE
"HiG_1"	"Hsp90aa1"	"HiG"	1	FALSE
"HiG_1"	"Hspa8"	"HiG"	4	FALSE
"HiG_1"	"Ncl"	"HiG"	5	FALSE
"HiG_1"	"Npm1"	"HiG"	3	FALSE
"HiG_10"	"Hspa5"	"HiG"	2	FALSE
"HiG_10"	"Npm1"	"HiG"	3	FALSE
"HiG_10"	"Pgk1"	"HiG"	5	FALSE
"HiG_10"	"Trp53"	"HiG"	1	FALSE
"HiG_10"	"Vim"	"HiG"	4	FALSE
"HiG_11"	"Acta2"	"HiG"	1	TRUE
"HiG_11"	"Actg1"	"HiG"	4	FALSE
"HiG_11"	"Anxa5"	"HiG"	3	FALSE
"HiG_11"	"Hspa5"	"HiG"	2	FALSE
"HiG_11"	"Jun"	"HiG"	5	FALSE
"HiG_12"	"Eif4a1"	"HiG"	5	FALSE
"HiG_12"	"Hsp90aa1"	"HiG"	4	FALSE
"HiG_12"	"Hspa5"	"HiG"	3	FALSE
"HiG_12"	"Hspa8"	"HiG"	1	FALSE
"HiG_12"	"Trp53"	"HiG"	2	FALSE
"HiG_13"	"Fn1"	"HiG"	3	FALSE
"HiG_13"	"Hsp90aa1"	"HiG"	5	FALSE
"HiG_13"	"Hspa5"	"HiG"	1	FALSE
"HiG_13"	"Hspa8"	"HiG"	4	FALSE
"HiG_13"	"Trp53"	"HiG"	2	FALSE
"HiG_14"	"Eif4a1"	"HiG"	5	FALSE
"HiG_14"	"Hsp90aa1"	"HiG"	1	FALSE
"HiG_14"	"Hspa5"	"HiG"	4	FALSE
"HiG_14"	"Hspa8"	"HiG"	2	FALSE
"HiG_14"	"Npm1"	"HiG"	3	FALSE
"HiG_15"	"Actb"	"HiG"	1	FALSE
"HiG_15"	"Cd34"	"HiG"	5	FALSE
"HiG_15"	"Hsp90aa1"	"HiG"	3	FALSE
"HiG_15"	"Hspa8"	"HiG"	4	FALSE
"HiG_15"	"Trp53"	"HiG"	2	FALSE
"HiG_16"	"Acta2"	"HiG"	2	TRUE
"HiG_16"	"Actb"	"HiG"	1	FALSE
"HiG_16"	"Actg1"	"HiG"	5	FALSE
