"signature"	"gene"	"PPI_cat"	"normalized.strength"	"PCGC_AllCurated"
"CTS_11"	"Fgfr2"	"CTS"	0.00658088493578539	TRUE
"CTS_11"	"Pcolce"	"CTS"	0.00549860376260403	FALSE
"CTS_11"	"Fbn1"	"CTS"	0.00493308974406474	TRUE
"CTS_11"	"Fgfr3"	"CTS"	0.00476370678023885	FALSE
"CTS_11"	"Asb4"	"CTS"	0.00413005259667809	FALSE
"CTS_13"	"Pecam1"	"CTS"	0.0357727600422965	FALSE
"CTS_13"	"Cdh5"	"CTS"	0.0315722491596323	FALSE
"CTS_13"	"Tie1"	"CTS"	0.024000108000078	FALSE
"CTS_13"	"Icam2"	"CTS"	0.0220309653350345	FALSE
"CTS_13"	"Tek"	"CTS"	0.0202917152611328	FALSE
"CTS_15"	"Cd34"	"CTS"	0.035099254961113	FALSE
"CTS_15"	"Cdh5"	"CTS"	0.0305794532184255	FALSE
"CTS_15"	"Gata1"	"CTS"	0.0272904944406922	FALSE
"CTS_15"	"Cldn5"	"CTS"	0.0257168675779348	FALSE
"CTS_15"	"Icam2"	"CTS"	0.0235797355514763	FALSE
"CTS_16"	"Cd44"	"CTS"	0.0190959698233671	FALSE
"CTS_16"	"Col1a1"	"CTS"	0.0179860162048088	FALSE
"CTS_16"	"Col3a1"	"CTS"	0.0147055632537538	FALSE
"CTS_16"	"Col5a2"	"CTS"	0.00974323916934632	FALSE
"CTS_16"	"Krt19"	"CTS"	0.0086803037704215	FALSE
"CTS_16.1"	"Rem1"	"CTS"	0.0121224339877881	FALSE
"CTS_16.1"	"Postn"	"CTS"	0.00825697107806887	FALSE
"CTS_16.1"	"Ezr"	"CTS"	0.00717756230899261	FALSE
"CTS_16.1"	"Runx1"	"CTS"	0.00687031590447516	FALSE
"CTS_16.1"	"Wisp1"	"CTS"	0.00529050015134816	FALSE
"CTS_7"	"Hba-a1"	"CTS"	0.0427961205752111	FALSE
"CTS_7"	"Hbb-bh1"	"CTS"	0.0367300794496699	FALSE
"CTS_7"	"Hba-a2"	"CTS"	0.0355689917950271	FALSE
"CTS_7"	"Hba-x"	"CTS"	0.0336394502603264	FALSE
"CTS_7"	"Klf1"	"CTS"	0.030318399369395	FALSE
"CTS_8"	"Fgf8"	"CTS"	0.0478326713843668	FALSE
"CTS_8"	"Isl1"	"CTS"	0.0271673713419489	TRUE
"CTS_8"	"Irx3"	"CTS"	0.0204015694650062	FALSE
"CTS_8"	"Fgf10"	"CTS"	0.0180869747413959	FALSE
"CTS_8"	"Nr2f2"	"CTS"	0.0176393633045662	TRUE
"HiGCTS_11"	"Pcolce"	"HiGCTS"	0.0149581761927684	FALSE
"HiGCTS_11"	"Asb4"	"HiGCTS"	0.00952526284720949	FALSE
"HiGCTS_11"	"Efemp2"	"HiGCTS"	0.00660029158791544	FALSE
"HiGCTS_11"	"Sgce"	"HiGCTS"	0.00574473332195128	FALSE
"HiGCTS_11"	"Ccdc80"	"HiGCTS"	0.00572167398126115	FALSE
"HiGCTS_15"	"Cd34"	"HiGCTS"	0.0433155851488752	FALSE
"HiGCTS_15"	"Cdh5"	"HiGCTS"	0.0424719610973027	FALSE
"HiGCTS_15"	"Cldn5"	"HiGCTS"	0.0323279031295952	FALSE
"HiGCTS_15"	"Gng11"	"HiGCTS"	0.0215403277442118	FALSE
"HiGCTS_15"	"Tie1"	"HiGCTS"	0.0190943655486645	FALSE
"HiGCTS_16"	"Col1a1"	"HiGCTS"	0.021419574262197	FALSE
"HiGCTS_16"	"Col5a2"	"HiGCTS"	0.0138694085835013	FALSE
"HiGCTS_16"	"Krt19"	"HiGCTS"	0.0121757973125812	FALSE
"HiGCTS_16"	"Igf2r"	"HiGCTS"	0.0101055874778561	FALSE
"HiGCTS_16"	"Plagl1"	"HiGCTS"	0.0101055874778561	TRUE
"HiGCTS_16.1"	"Postn"	"HiGCTS"	0.0157818090779315	FALSE
"HiGCTS_16.1"	"Gas6"	"HiGCTS"	0.0106110078602787	FALSE
"HiGCTS_16.1"	"Wisp1"	"HiGCTS"	0.0100133506023321	FALSE
"HiGCTS_16.1"	"Ezr"	"HiGCTS"	0.00873075798809868	FALSE
"HiGCTS_16.1"	"Pdpn"	"HiGCTS"	0.0082176699150279	FALSE
"HiGCTS_7"	"Hba-a1"	"HiGCTS"	0.112102906585875	FALSE
"HiGCTS_7"	"Hba-a2"	"HiGCTS"	0.0956308459002762	FALSE
"HiGCTS_7"	"Hbb-bh1"	"HiGCTS"	0.0891647814824645	FALSE
"HiGCTS_7"	"Hba-x"	"HiGCTS"	0.0814488306648892	FALSE
"HiGCTS_7"	"Klf1"	"HiGCTS"	0.0705792934399869	FALSE
"HiGCTS_8"	"Fgf8"	"HiGCTS"	0.0732675172851128	FALSE
"HiGCTS_8"	"Isl1"	"HiGCTS"	0.0539458856858281	TRUE
"HiGCTS_8"	"Npm3"	"HiGCTS"	0.0369865131213346	FALSE
"HiGCTS_8"	"Irx3"	"HiGCTS"	0.0359879322676082	FALSE
"HiGCTS_8"	"Alx1"	"HiGCTS"	0.0249960315699749	FALSE
"HiG_1"	"Hsp90aa1"	"HiG"	0.0110453322168763	FALSE
"HiG_1"	"Npm1"	"HiG"	0.0102576596694249	FALSE
"HiG_1"	"H3f3b"	"HiG"	0.0098426333929733	FALSE
"HiG_1"	"Hspa8"	"HiG"	0.00976948272425621	FALSE
"HiG_1"	"Ncl"	"HiG"	0.00944902484236382	FALSE
"HiG_10"	"Pkm"	"HiG"	0.0171783864438896	FALSE
"HiG_10"	"Pgk1"	"HiG"	0.016974385915408	FALSE
"HiG_10"	"Trp53"	"HiG"	0.016942717290303	FALSE
"HiG_10"	"Hspa5"	"HiG"	0.0167997811978385	FALSE
"HiG_10"	"Npm1"	"HiG"	0.0163079835724739	FALSE
"HiG_11"	"Acta2"	"HiG"	0.00981684904836399	TRUE
"HiG_11"	"Hspa5"	"HiG"	0.00830164701233345	FALSE
"HiG_11"	"Actg1"	"HiG"	0.0069342002127127	FALSE
"HiG_11"	"Anxa5"	"HiG"	0.0068062605350238	FALSE
"HiG_11"	"Hsp90ab1"	"HiG"	0.00605901227330438	FALSE
"HiG_12"	"Hspa8"	"HiG"	0.0137827444197383	FALSE
"HiG_12"	"Hspa5"	"HiG"	0.0124650405592537	FALSE
"HiG_12"	"Eif4a1"	"HiG"	0.0118788784713195	FALSE
"HiG_12"	"Hsp90aa1"	"HiG"	0.0118505011105817	FALSE
"HiG_12"	"Trp53"	"HiG"	0.0114253419064971	FALSE
"HiG_13"	"Hspa5"	"HiG"	0.00960939583849444	FALSE
"HiG_13"	"Hspa8"	"HiG"	0.00877772163967058	FALSE
"HiG_13"	"Npm1"	"HiG"	0.00812486747279186	FALSE
"HiG_13"	"Trp53"	"HiG"	0.00796918479788936	FALSE
"HiG_13"	"Hsp90aa1"	"HiG"	0.00771176190375875	FALSE
