"graph_id"	"names"	"n_edge"	"STRING_id"	"vertex_index_to_remove"
"HiG_5"	"HN1L"	6	"10090.ENSMUSP00000156906"	"206,321"
"HiG_5"	"HN1L"	6	"10090.ENSMUSP00000078129"	"206,321"
"HiG_5"	"HN1L"	6	"10090.ENSMUSP00000024981"	"206,321"
"HiG_5"	"HN1L"	6	"10090.ENSMUSP00000156906"	"206,321"
"HiG_5"	"HN1L"	6	"10090.ENSMUSP00000078129"	"206,321"
"HiG_5"	"HN1L"	6	"10090.ENSMUSP00000024981"	"206,321"
"HiG_5"	"HN1L"	6	"10090.ENSMUSP00000156906"	"206,321"
"HiG_5"	"HN1L"	6	"10090.ENSMUSP00000078129"	"206,321"
"HiG_5"	"HN1L"	6	"10090.ENSMUSP00000024981"	"206,321"
"HiG_17"	"CXX1A"	8	"10090.ENSMUSP00000086158"	"346"
"HiG_17"	"CXX1A"	8	"10090.ENSMUSP00000086157"	"346"
"HiG_17"	"CXX1A"	8	"10090.ENSMUSP00000086158"	"346"
"HiG_17"	"CXX1A"	8	"10090.ENSMUSP00000086157"	"346"
"HiG_18"	"HN1L"	10	"10090.ENSMUSP00000156906"	"91,281"
"HiG_18"	"HN1L"	10	"10090.ENSMUSP00000024981"	"91,281"
"HiG_18"	"HN1L"	10	"10090.ENSMUSP00000078129"	"91,281"
"HiG_18"	"HN1L"	10	"10090.ENSMUSP00000156906"	"91,281"
"HiG_18"	"HN1L"	10	"10090.ENSMUSP00000024981"	"91,281"
"HiG_18"	"HN1L"	10	"10090.ENSMUSP00000078129"	"91,281"
"HiG_18"	"HN1L"	10	"10090.ENSMUSP00000156906"	"91,281"
"HiG_18"	"HN1L"	10	"10090.ENSMUSP00000024981"	"91,281"
"HiG_18"	"HN1L"	10	"10090.ENSMUSP00000078129"	"91,281"
"HiG_19"	"HN1L"	10	"10090.ENSMUSP00000156906"	"107,327"
"HiG_19"	"HN1L"	10	"10090.ENSMUSP00000024981"	"107,327"
"HiG_19"	"HN1L"	10	"10090.ENSMUSP00000078129"	"107,327"
"HiG_19"	"HN1L"	10	"10090.ENSMUSP00000156906"	"107,327"
"HiG_19"	"HN1L"	10	"10090.ENSMUSP00000024981"	"107,327"
"HiG_19"	"HN1L"	10	"10090.ENSMUSP00000078129"	"107,327"
"HiG_19"	"HN1L"	10	"10090.ENSMUSP00000156906"	"107,327"
"HiG_19"	"HN1L"	10	"10090.ENSMUSP00000024981"	"107,327"
"HiG_19"	"HN1L"	10	"10090.ENSMUSP00000078129"	"107,327"
