CMES_hi	CP_hi	CM_hi	CF_hi	PCW6CP_access	PCW8_CM_access	PCW19_CM_access	PCW8_CF_access	PCW19_CF_access	PCW8_SMC_access	PCW19_SMC_access	PCW6_CM_access	PCW6_CF_access	PCW6_SMC_access	iEPC_access	CTS_8	cisTarget_PARP1.motif_target	cisTarget_HOXD3.motif_target	cisTarget_ZSCAN9.motif_target	cisTarget_CEBPB;PDX1;STAT6.motif_target	cisTarget_TCF3.motif_target	cisTarget_POU3F3.motif_target	cisTarget_AHCTF1.motif_target	cisTarget_ISX;LHX2;LHX9;SHOX2.motif_target	cisTarget_FOXM1;IKZF1;TBL1XR1.motif_target	cisTarget_FOXM1.motif_target	cisTarget_HMGA1;HMGA2.motif_target	cisTarget_STAT5A.motif_target	cisTarget_POU4F3.motif_target	cisTarget_RREB1.motif_target	cisTarget_PRDM5;ZNF324;ZNF324B;ZNF341;ZNF580.motif_target	cisTarget_SF1.motif_target	cisTarget_HMG20A.motif_target	cisTarget_KLF2.motif_target	cisTarget_BCL11A;BCL6;CHURC1;DDX20;DPF2;EGR1;EGR2;EP300;FLI1;GTF2F1;HINFP;IKZF1;IKZF3;IRF4;KLF10;KLF13;KLF15;KLF16;KLF6;KLF9;MAZ;MTF1;MZF1;NFXL1;OVOL2;PATZ1;PAX4;PML;PRDM9;PURA;RARA;RARB;RARG;RBAK;RCOR1;RELA;RXRA;RXRB;RXRG;SIN3A;SP1;SP2;SP3;SP4;SP5;SPI1;SREBF1;SREBF2;STAT5A;TAF1;THRA;THRB;VEZF1;WRNIP1;WT1;ZBED1;ZBTB14;ZBTB17;ZBTB5;ZBTB7B;ZNF148;ZNF202;ZNF212;ZNF214;ZNF263;ZNF341;ZNF398;ZNF432;ZNF444;ZNF467;ZNF496;ZNF529;ZNF543;ZNF596;ZNF615;ZNF701;ZNF737;ZNF740;ZNF875;ZNF880.motif_target	cisTarget_ZNF148;ZNF281.motif_target	cisTarget_ATF2;IKZF1.motif_target	cisTarget_GTF2H3.motif_target	cisTarget_ZNF282.motif_target	cisTarget_BARX1.motif_target	cisTarget_IRF4.motif_target	cisTarget_ZKSCAN2.motif_target	cisTarget_HMGA1.motif_target	cisTarget_STAT6.motif_target	cisTarget_LHX9.motif_target	cisTarget_PRDM5;ZNF324;ZNF341;ZNF580.motif_target	cisTarget_DPF2;GTF2F1;IKZF3;MAZ;NFXL1;PRDM9;RBAK;SIN3A;TAF1;VEZF1;WRNIP1;ZBTB5;ZNF263;ZNF341;ZNF444;ZNF467;ZNF496;ZNF596;ZNF701;ZNF875.motif_target	cisTarget_ZNF281.motif_target	cisTarget_ATF2.motif_target	TCF3_CP_candidate	TCF3_CM_candidate	TCF3_CF_candidate	HMGA2_CP_candidate	HMGA2_CM_candidate	HMGA2_CF_candidate	RARB_CP_candidate	RARB_CM_candidate	RARB_CF_candidate	cisTarget_PRDM9.motif_target	cisTarget_CBFB.motif_target	cisTarget_ZNF582.motif_target	cisTarget_CRX;DBP;EP300;GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;GTF2IRD1;HNF1A;HOXA13;IKZF2;MYB;MZF1;NFIA;NFIC;OTX1;OTX2;POU2F1;POU5F1;RAX;ZEB1.motif_target	cisTarget_ZNF408.motif_target	cisTarget_ZNF682.motif_target	cisTarget_ATF5.motif_target	cisTarget_ZNF784.motif_target	cisTarget_ZKSCAN7.motif_target	cisTarget_ZNF134.motif_target	cisTarget_CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;DLX2;GCM1;HOXA2;HOXA3;TEAD4.motif_target	cisTarget_ZNF98.motif_target	cisTarget_ZNF716.motif_target	cisTarget_ZNF382.motif_target	cisTarget_IRF5.motif_target	cisTarget_ZFP62.motif_target	cisTarget_ZBTB33.motif_target	cisTarget_EVX1.motif_target	cisTarget_ZNF343.motif_target	cisTarget_ZFP92.motif_target	cisTarget_HSF5.motif_target	cisTarget_ZNF426.motif_target	cisTarget_ZNF555.motif_target	cisTarget_ZNF791.motif_target	cisTarget_NR4A1.motif_target	cisTarget_ZNF34.motif_target	cisTarget_ZNF77.motif_target	cisTarget_ZNF429.motif_target	cisTarget_ELK1;ERF;ERG;ETV2;ETV5;ETV7;FLI1;SPDEF.motif_target	cisTarget_PRDM6.motif_target	cisTarget_ZNF250.motif_target	cisTarget_HIC1.motif_target	cisTarget_GZF1.motif_target	cisTarget_KLF3.motif_target	cisTarget_ZFP64.motif_target	cisTarget_GZF1;HSFY1;HSFY2.motif_target	cisTarget_ZNF783.motif_target	cisTarget_ZNF671.motif_target	cisTarget_RBFOX2.motif_target	cisTarget_ZNF580.motif_target	cisTarget_ZNF71.motif_target	cisTarget_EP300;GTF2IRD1.motif_target	cisTarget_CEBPD;TEAD4.motif_target	cisTarget_ERF;ETV7.motif_target	cisTarget_GZF1;HSFY2.motif_target	cisTarget_ETV2;ETV7.motif_target	GATA4_CP_candidate	GATA4_CM_candidate	GATA4_CF_candidate	KLF6_CP_candidate	KLF6_CM_candidate	KLF6_CF_candidate	CBFB_CP_candidate	CBFB_CM_candidate	CBFB_CF_candidate	GATA5_CP_candidate	GATA5_CM_candidate	GATA5_CF_candidate	GATA6_CP_candidate	GATA6_CM_candidate	GATA6_CF_candidate	ETV2_CP_candidate	ETV2_CM_candidate	ETV2_CF_candidate	PRDM6_CP_candidate	PRDM6_CM_candidate	PRDM6_CF_candidate	RBFOX2_CP_candidate	RBFOX2_CM_candidate	RBFOX2_CF_candidate
ALX1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APELA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP7	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK2N1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAB2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP14	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF10	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF8	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGFR2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRX2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
