"network","AUC","normalized_AUC","ID"
"real_PPIN",0.357939691027926,0.358418860627696,"HiG_blood"
"random",0.998663101604279,1,"HiG_blood"
"scale_free",0.998663101604279,1,"HiG_blood"
"small_world",0.998663101604279,1,"HiG_blood"
"deg_preserving",0.306060606060605,0.306470325747433,"HiG_blood"
"real_PPIN",0.35730404693847,0.357761542517135,"HiG_cardiac.b"
"random",0.998721227621488,1,"HiG_cardiac.b"
"scale_free",0.998721227621488,1,"HiG_cardiac.b"
"small_world",0.998721227621488,1,"HiG_cardiac.b"
"deg_preserving",0.328637662923807,0.329058453785424,"HiG_cardiac.b"
"real_PPIN",0.340274478754289,0.340679085744488,"HiG_cardiac.c"
"random",0.998812351543933,1,"HiG_cardiac.c"
"scale_free",0.998812351543933,1,"HiG_cardiac.c"
"small_world",0.998812351543933,1,"HiG_cardiac.c"
"deg_preserving",0.306134717456965,0.306498730200675,"HiG_cardiac.c"
"real_PPIN",0.36275579648925,0.363184079601985,"HiG_endothelial.a"
"random",0.998820754716988,1,"HiG_endothelial.a"
"scale_free",0.998820754716988,1,"HiG_endothelial.a"
"small_world",0.998820754716988,1,"HiG_endothelial.a"
"deg_preserving",0.343353984793014,0.343759361398434,"HiG_endothelial.a"
"real_PPIN",0.338862559241704,0.339242024593596,"HiG_endothelial.c"
"random",0.998881431767344,1,"HiG_endothelial.c"
"scale_free",0.998881431767344,1,"HiG_endothelial.c"
"small_world",0.998881431767344,1,"HiG_endothelial.c"
"deg_preserving",0.309315773922586,0.309662152168858,"HiG_endothelial.c"
"real_PPIN",0.330585902839395,0.331008107057581,"HiG_endothelial.d"
"random",0.998724489795919,1,"HiG_endothelial.d"
"scale_free",0.998724489795919,1,"HiG_endothelial.d"
"small_world",0.998724489795919,1,"HiG_endothelial.d"
"deg_preserving",0.304389418811002,0.304778166472319,"HiG_endothelial.d"
"real_PPIN",0.346376811594205,0.346879535558782,"HiG_extraembryonicMesoderm"
"random",0.998550724637681,1,"HiG_extraembryonicMesoderm"
"scale_free",0.998550724637681,1,"HiG_extraembryonicMesoderm"
"small_world",0.998550724637681,1,"HiG_extraembryonicMesoderm"
"deg_preserving",0.32467368800072,0.325144912511607,"HiG_extraembryonicMesoderm"
"real_PPIN",0.346822594880848,0.347348881064278,"HiG_mesodermProgenitors"
"random",0.99848484848485,1,"HiG_mesodermProgenitors"
"scale_free",0.99848484848485,1,"HiG_mesodermProgenitors"
"small_world",0.99848484848485,1,"HiG_mesodermProgenitors"
"deg_preserving",0.302074139452779,0.302532522061964,"HiG_mesodermProgenitors"
"real_PPIN",0.331581756914556,0.332119166569199,"HiG_mixedMesoderm.a"
"random",0.998381877022652,1,"HiG_mixedMesoderm.a"
"scale_free",0.998381877022652,1,"HiG_mixedMesoderm.a"
"small_world",0.998381877022652,1,"HiG_mixedMesoderm.a"
"deg_preserving",0.33437315806448,0.334915091870096,"HiG_mixedMesoderm.a"
"real_PPIN",0.361430814083874,0.361958450308813,"HiG_mixedMesoderm.b"
"random",0.998542274052483,1,"HiG_mixedMesoderm.b"
"scale_free",0.998542274052483,1,"HiG_mixedMesoderm.b"
"small_world",0.998542274052483,1,"HiG_mixedMesoderm.b"
"deg_preserving",0.323108320251178,0.323580011229645,"HiG_mixedMesoderm.b"
"real_PPIN",0.354082928324358,0.354596836783464,"HiG_pharyngealMesoderm"
"random",0.998550724637681,1,"HiG_pharyngealMesoderm"
"scale_free",0.998550724637681,1,"HiG_pharyngealMesoderm"
"small_world",0.998550724637681,1,"HiG_pharyngealMesoderm"
"deg_preserving",0.316997241560488,0.317457324639676,"HiG_pharyngealMesoderm"
"real_PPIN",0.329107679107679,0.32963090276286,"HiG_presomiticMesoderm.a"
"random",0.998412698412693,1,"HiG_presomiticMesoderm.a"
"scale_free",0.998412698412693,1,"HiG_presomiticMesoderm.a"
"small_world",0.998412698412693,1,"HiG_presomiticMesoderm.a"
"deg_preserving",0.309641784641785,0.310134060928976,"HiG_presomiticMesoderm.a"
"real_PPIN",0.371772195382221,0.372263307925659,"HiG_presomiticMesoderm.b"
"random",0.998680738786277,1,"HiG_presomiticMesoderm.b"
"scale_free",0.998680738786277,1,"HiG_presomiticMesoderm.b"
"small_world",0.998680738786277,1,"HiG_presomiticMesoderm.b"
"deg_preserving",0.330082079243379,0.33051811897818,"HiG_presomiticMesoderm.b"
"real_PPIN",0.357791139599524,0.35837864557588,"HiG_somiticMesoderm"
"random",0.998360655737699,1,"HiG_somiticMesoderm"
"scale_free",0.998360655737699,1,"HiG_somiticMesoderm"
"small_world",0.998360655737699,1,"HiG_somiticMesoderm"
"deg_preserving",0.320500311985931,0.321026585076222,"HiG_somiticMesoderm"
"real_PPIN",0.344841726569122,0.345285538315024,"HiG_endothelial.b"
"random",0.998714652956309,1,"HiG_endothelial.b"
"scale_free",0.998714652956309,1,"HiG_endothelial.b"
"small_world",0.998714652956309,1,"HiG_endothelial.b"
"deg_preserving",0.331953796425839,0.332381021389061,"HiG_endothelial.b"
"real_PPIN",0.336400462962962,0.33683905548312,"HiG_cardiac.a"
"random",0.998697916666671,1,"HiG_cardiac.a"
"scale_free",0.998697916666671,1,"HiG_cardiac.a"
"small_world",0.998697916666671,1,"HiG_cardiac.a"
"deg_preserving",0.327611400462963,0.328038533970736,"HiG_cardiac.a"
