"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_blood"	1132	"ALDOA"	42	"HiG"
"HiG_blood"	358	"CITED2"	108	"HiG"
"HiG_blood"	517	"MCM2"	81	"HiG"
"HiG_blood"	369	"CCND3"	98	"HiG"
"HiG_blood"	0	"GADD45A"	303	"HiG"
"HiG_blood"	3954	"C1QBP"	9	"HiG"
"HiG_blood"	3003	"SNCA"	18	"HiG"
"HiG_blood"	6	"RAP1A"	210	"HiG"
"HiG_blood"	9	"RAP1B"	200.5	"HiG"
"HiG_blood"	5	"ORC2"	214	"HiG"
"HiG_blood"	317	"LMO2"	121	"HiG"
"HiG_blood"	1114	"GATA1"	43	"HiG"
"HiG_blood"	0	"PTRH2"	303	"HiG"
"HiG_blood"	379	"HTRA2"	94	"HiG"
"HiG_blood"	430	"PRKAB1"	88	"HiG"
"HiG_blood"	459	"PABPC4"	86	"HiG"
"HiG_blood"	3473	"EIF3G"	14	"HiG"
"HiG_blood"	0	"GRHPR"	303	"HiG"
"HiG_blood"	328	"GADD45G"	119	"HiG"
"HiG_blood"	497	"RAB11A"	82	"HiG"
"HiG_blood"	0	"ATF4"	303	"HiG"
"HiG_blood"	11	"CCNE1"	195	"HiG"
"HiG_blood"	401	"ASF1A"	90	"HiG"
"HiG_blood"	0	"SLC29A1"	303	"HiG"
"HiG_blood"	1625	"NME1"	28	"HiG"
"HiG_blood"	0	"DCTPP1"	303	"HiG"
"HiG_blood"	0	"LLPH"	303	"HiG"
"HiG_blood"	604	"COMT"	73	"HiG"
"HiG_blood"	9	"COX17"	200.5	"HiG"
"HiG_blood"	2	"FTSJ3"	224	"HiG"
"HiG_blood"	0	"DYNLL2"	303	"HiG"
"HiG_blood"	357	"PHLDA1"	113.5	"HiG"
"HiG_blood"	122	"DUT"	147	"HiG"
"HiG_blood"	8	"RPIA"	204	"HiG"
"HiG_blood"	0	"NME4"	303	"HiG"
"HiG_blood"	0	"PMM1"	303	"HiG"
"HiG_blood"	3	"IMP3"	220	"HiG"
"HiG_blood"	400	"NDUFA5"	91	"HiG"
"HiG_blood"	273	"FTH1"	126	"HiG"
"HiG_blood"	0	"RAB3IL1"	303	"HiG"
"HiG_blood"	11	"PRPS1"	195	"HiG"
"HiG_blood"	0	"BNIP3"	303	"HiG"
"HiG_blood"	1	"BCCIP"	229	"HiG"
