"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_blood"	29	"Sdhd"	188	"HiG"
"HiG_blood"	409	"Plin2"	111	"HiG"
"HiG_blood"	266	"Ddx3x"	131	"HiG"
"HiG_blood"	1	"Icam4"	243	"HiG"
"HiG_blood"	0	"Ell2"	334	"HiG"
"HiG_blood"	122	"Ddx18"	154	"HiG"
"HiG_blood"	0	"Eef1e1"	334	"HiG"
"HiG_blood"	0	"Pabpc1"	334	"HiG"
"HiG_blood"	92	"Clpp"	165	"HiG"
"HiG_blood"	0	"Fam162a"	334	"HiG"
"HiG_blood"	14	"Ppan"	206.5	"HiG"
"HiG_blood"	665	"Eif3g"	72	"HiG"
"HiG_blood"	1132	"Phb2"	47	"HiG"
"HiG_blood"	415	"Emg1"	103.5	"HiG"
"HiG_blood"	0	"Atp6v1f"	334	"HiG"
"HiG_blood"	0	"Mtfp1"	334	"HiG"
"HiG_blood"	150	"Hdgf"	147	"HiG"
"HiG_blood"	8	"Mthfd2"	217	"HiG"
"HiG_blood"	522	"Bcas2"	87	"HiG"
"HiG_blood"	0	"Reep5"	334	"HiG"
"HiG_blood"	0	"Epor"	334	"HiG"
"HiG_blood"	1433	"Srm"	35	"HiG"
"HiG_blood"	105	"Aprt"	159	"HiG"
"HiG_blood"	0	"Acot13"	334	"HiG"
"HiG_blood"	890	"Sod2"	58	"HiG"
"HiG_blood"	0	"Eif1b"	334	"HiG"
"HiG_blood"	1100	"Rplp1"	49	"HiG"
"HiG_blood"	19	"Tspan32"	199	"HiG"
"HiG_blood"	0	"Ifrd2"	334	"HiG"
"HiG_blood"	0	"Fdx2"	334	"HiG"
"HiG_blood"	0	"E2f4"	334	"HiG"
"HiG_blood"	0	"Surf2"	334	"HiG"
"HiG_blood"	5416	"Hspa8"	12	"HiG"
"HiG_blood"	88	"Atp5e"	166	"HiG"
"HiG_blood"	1	"Ctsz"	243	"HiG"
"HiG_blood"	0	"Prelid3b"	334	"HiG"
"HiG_blood"	1211	"Slc25a5"	44	"HiG"
"HiG_blood"	0	"Ddx27"	334	"HiG"
"HiG_blood"	16	"Shmt1"	202.5	"HiG"
"HiG_blood"	0	"Pnpo"	334	"HiG"
"HiG_blood"	0	"Rab5c"	334	"HiG"
"HiG_blood"	388	"Mdh2"	114	"HiG"
"HiG_blood"	0	"Fmc1"	334	"HiG"
"HiG_blood"	13	"Snx3"	208	"HiG"
"HiG_blood"	0	"Asf1a"	334	"HiG"
"HiG_blood"	475	"Snrpf"	93	"HiG"
"HiG_blood"	0	"Nudt4"	334	"HiG"
"HiG_blood"	1014	"Uqcr11"	51	"HiG"
"HiG_blood"	1258	"Timm13"	43	"HiG"
"HiG_blood"	0	"Llph"	334	"HiG"
"HiG_blood"	686	"Hba-x"	70	"HiG"
"HiG_blood"	0	"Cdc34"	334	"HiG"
"HiG_blood"	4324	"Rack1"	15	"HiG"
"HiG_blood"	0	"Btg2"	334	"HiG"
"HiG_blood"	0	"Arf5"	334	"HiG"
"HiG_blood"	0	"Dynll2"	334	"HiG"
"HiG_blood"	0	"Ubxn2a"	334	"HiG"
