CP_hi	CM_hi	CF_hi	CTS_endothelial.b	cisTarget_IRF7.motif_target	cisTarget_BARHL1;BARHL2;ZSCAN29.motif_target	cisTarget_PLAG1.motif_target	cisTarget_ZNF2.motif_target	cisTarget_ZNF236.motif_target	cisTarget_ZNF136.motif_target	cisTarget_ZNF225.motif_target	cisTarget_TCF3.motif_target	cisTarget_SALL3.motif_target	cisTarget_CDX2;CEBPB;CRX;CUX1;DBP;E2F1;EP300;FOS;FOXA1;FOXA2;FOXA3;GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;GFI1;GFI1B;HOXB13;IKZF1;ISL1;NKX2-1;NKX3-2;NKX6-2;OTX1;OTX2;PAX4;PAX7;PDX1;PITX3;POU5F1;RAX;SMAD1;STAT6;TAF6;TAL1;TBP;TCF7L2;YY1.motif_target	cisTarget_ZNF878.motif_target	cisTarget_ONECUT2;TEAD4.motif_target	cisTarget_ZKSCAN7.motif_target	cisTarget_ZSCAN29.motif_target	cisTarget_ZNF45.motif_target	cisTarget_RREB1.motif_target	cisTarget_MEIS1;SOX2.motif_target	cisTarget_DLX2;DLX3;ERF;ETV2;ETV5;ETV7;EVX1;FLI1;GSC2;HOXA2;HOXB2;PDX1;PITX1;SOX15;VAX1.motif_target	cisTarget_DLX2;DLX3;ELF1;ELF3;ELF5;ELK1;ELK4;ETV2;ETV5;ETV7;FLI1;GABPA;GABPB1;HOXB2;SOX15.motif_target	cisTarget_FOXM1;HAND1;HNF4A;HNF4G;NR2F1;NR2F2;PPARA;TCF3;TFAP2A;YY1.motif_target	cisTarget_ZNF727.motif_target	cisTarget_MECOM;RUNX1.motif_target	cisTarget_GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;PAX4;YY1.motif_target	cisTarget_IRF6.motif_target	cisTarget_OSR2.motif_target	cisTarget_ZNF561.motif_target	cisTarget_ZNF652.motif_target	cisTarget_CDX2;CEBPB;CRX;DBX2;ETS1;FOXG1;FOXO1;HLTF;HMGA1;HMGA2;HOXA10;HOXA13;IKZF2;IRF8;MYB;NKX3-2;NKX6-2;PAX4;PBX1;PDX1;POU5F1;SMAD1;SOX10;SRY;TAF6;TBP;YY1;ZNF217.motif_target	cisTarget_ELF1;ELF2;ELF4;ELF5;ELK1;ELK3;ELK4;ERG;ETS1;ETS2;ETV4;ETV6;ETV7;FLI1;GABPA;GABPB1;HMGA1;HMGA2;NFATC1;SOX17;SOX18;SOX4;SPI1;SPIB;SRY;YY1.motif_target	cisTarget_RELA.motif_target	cisTarget_ZNF132.motif_target	cisTarget_DLX2;DLX3;EHF;ELF1;ELF2;ELF3;ELF4;ELF5;ELK1;ELK3;ELK4;ERF;ERG;ETS1;ETS2;ETV1;ETV2;ETV3;ETV4;ETV5;ETV7;EVX1;FEV;FLI1;GABPA;GSC2;HOXA2;HOXB2;ONECUT2;PITX1;SOX15;SPDEF.motif_target	cisTarget_PITX3.motif_target	cisTarget_ALX3;ARX;DLX2;EMX2;EN1;HESX1;HOXD1;NKX2-6;PDX1;PHOX2A;RAX;UNCX;VAX2;VSX1;VSX2.motif_target	cisTarget_TSNAX.motif_target	cisTarget_EOMES;HOXD12.motif_target	cisTarget_ZNF33B.motif_target	cisTarget_DBP;ETS1;GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;GTF2IRD1;HOXA13;MZF1;RARA;RARB;RARG;RXRA;RXRB;RXRG;SIRT6;SRY;TFAP2C;THRA;THRB.motif_target	cisTarget_ZNF564.motif_target	cisTarget_ZNF74.motif_target	cisTarget_FEV;FLI1.motif_target	cisTarget_ASCL1;ATF1;ATF2;ATF3;ATF4;ATF7;ATOH1;BHLHE40;BHLHE41;CHURC1;CREB1;CREM;CUX1;ETS1;GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;HAND1;HAND2;HNF4A;HNF4G;HOXA13;ING4;MAFA;MAX;MEIS1;MITF;MSGN1;MXD1;MXD3;MXD4;MXI1;MYB;MYC;MYCN;MYF5;MYF6;MYOD1;MYOG;MZF1;NEUROD1;NEUROD2;NEUROG2;NHLH1;NR2F1;NR2F2;NR3C1;PBX1;PGR;PPARA;PURA;RFX1;RFX2;RFX3;RFX4;RFX5;RFXANK;RFXAP;RUNX3;SMAD3;SREBF1;SREBF2;STAT1;STAT6;TAL1;TAL2;TCF12;TCF3;TCF4;TFCP2;TFE3;TFEB;USF1;USF2;WT1;YY1;YY2;ZBTB14;ZFP42;ZNF354C.motif_target	cisTarget_ZNF730.motif_target	cisTarget_ZNF397.motif_target	cisTarget_BARHL1;ZSCAN29.motif_target	cisTarget_CDX2;GFI1;GFI1B.motif_target	cisTarget_ETV5;EVX1.motif_target	cisTarget_ETV7;HOXB2.motif_target	cisTarget_FOXM1;TFAP2A.motif_target	cisTarget_GATA3;GATA5;GATA6.motif_target	cisTarget_SOX10.motif_target	cisTarget_HMGA1;HMGA2;SOX17.motif_target	cisTarget_ETV2;GSC2.motif_target	cisTarget_UNCX;VSX1.motif_target	cisTarget_SIRT6;TFAP2C.motif_target	cisTarget_FEV.motif_target	cisTarget_PURA;YY2.motif_target	ETV2_CP_candidate	ETV2_CM_candidate	ETV2_CF_candidate	GATA2_CP_candidate	GATA2_CM_candidate	GATA2_CF_candidate	HMGA2_CP_candidate	HMGA2_CM_candidate	HMGA2_CF_candidate	SOX17_CP_candidate	SOX17_CM_candidate	SOX17_CF_candidate	FEV_CP_candidate	FEV_CM_candidate	FEV_CF_candidate
ETV2	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAL1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1
HHEX	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1
CTLA2A	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNGT2	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX17	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
IFITM3	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0
CD34	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICAM2	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH5	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
EBF1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RHOJ	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
IGF1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
GRRP1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA2	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0
GIMAP1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
