"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_extraembryonicMesoderm"	373	"Klf6"	139	"HiG"
"HiG_extraembryonicMesoderm"	76	"Ngfr"	183	"HiG"
"HiG_extraembryonicMesoderm"	0	"Ccnd2"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	0	"Hddc2"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	0	"Tpd52l1"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	7	"Rdx"	212.5	"HiG"
"HiG_extraembryonicMesoderm"	0	"Lsr"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	1546	"Rrp15"	52	"HiG"
"HiG_extraembryonicMesoderm"	913	"Tubb6"	71	"HiG"
"HiG_extraembryonicMesoderm"	1034	"Col1a1"	64	"HiG"
"HiG_extraembryonicMesoderm"	690	"Hoxc8"	86	"HiG"
"HiG_extraembryonicMesoderm"	1407	"Hoxc9"	53	"HiG"
"HiG_extraembryonicMesoderm"	0	"Ddt"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	946	"Ddx18"	68	"HiG"
"HiG_extraembryonicMesoderm"	193	"Eef1e1"	162.5	"HiG"
"HiG_extraembryonicMesoderm"	771	"Pabpc1"	81	"HiG"
"HiG_extraembryonicMesoderm"	1592	"Uchl3"	50	"HiG"
"HiG_extraembryonicMesoderm"	518	"Rhoc"	104	"HiG"
"HiG_extraembryonicMesoderm"	1608	"Sh3gl1"	46	"HiG"
"HiG_extraembryonicMesoderm"	455	"Btbd2"	107	"HiG"
"HiG_extraembryonicMesoderm"	471	"Tpm4"	106	"HiG"
"HiG_extraembryonicMesoderm"	0	"Fam162a"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	1012	"Ppan"	65	"HiG"
"HiG_extraembryonicMesoderm"	0	"Phb2"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	12	"Cnn2"	206	"HiG"
"HiG_extraembryonicMesoderm"	0	"Pgf"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	1941	"Lbr"	38	"HiG"
"HiG_extraembryonicMesoderm"	4	"Trim28"	219	"HiG"
"HiG_extraembryonicMesoderm"	0	"Snx6"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	0	"Reep5"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	89	"Tbcb"	181	"HiG"
"HiG_extraembryonicMesoderm"	410	"Srm"	116.5	"HiG"
"HiG_extraembryonicMesoderm"	12	"Clic1"	206	"HiG"
"HiG_extraembryonicMesoderm"	157	"Lsm2"	170	"HiG"
"HiG_extraembryonicMesoderm"	0	"Id3"	323.5	"HiG"
"HiG_extraembryonicMesoderm"	246	"Rala"	156	"HiG"
"HiG_extraembryonicMesoderm"	28	"Dynll1"	197.5	"HiG"
