"signature"	"gene"	"PPI_cat"	"rank_by_PR"	"PCGC_AllCurated"
"CTS_CP"	"BMP4"	"CTS"	3	TRUE
"CTS_CP"	"KDM6B"	"CTS"	5	FALSE
"CTS_CP"	"PDGFRA"	"CTS"	2	TRUE
"CTS_CP"	"SNAI2"	"CTS"	4	FALSE
"CTS_CP"	"VIM"	"CTS"	1	FALSE
"CTS_CP.1"	"FGF10"	"CTS"	1	FALSE
"CTS_CP.1"	"HAND2"	"CTS"	5	TRUE
"CTS_CP.1"	"HAS2"	"CTS"	2	TRUE
"CTS_CP.1"	"ISL1"	"CTS"	4	TRUE
"CTS_CP.1"	"KDR"	"CTS"	3	FALSE
"CTS_endoderm"	"APOA1"	"CTS"	1	FALSE
"CTS_endoderm"	"APOA2"	"CTS"	2	FALSE
"CTS_endoderm"	"APOB"	"CTS"	3	FALSE
"CTS_endoderm"	"APOE"	"CTS"	4	FALSE
"CTS_endoderm"	"SERPINA1"	"CTS"	5	FALSE
"CTS_muscle"	"ACTA1"	"CTS"	2	FALSE
"CTS_muscle"	"ACTC1"	"CTS"	3	TRUE
"CTS_muscle"	"MYOZ2"	"CTS"	4	FALSE
"CTS_muscle"	"PDLIM3"	"CTS"	5	FALSE
"CTS_muscle"	"TNNT2"	"CTS"	1	FALSE
"HiGCTS_CP"	"BMP4"	"HiGCTS"	3	TRUE
"HiGCTS_CP"	"PDGFRA"	"HiGCTS"	2	TRUE
"HiGCTS_CP"	"RGS5"	"HiGCTS"	4	FALSE
"HiGCTS_CP"	"SFRP1"	"HiGCTS"	5	FALSE
"HiGCTS_CP"	"VIM"	"HiGCTS"	1	FALSE
"HiGCTS_CP.1"	"FGF10"	"HiGCTS"	1	FALSE
"HiGCTS_CP.1"	"HAND2"	"HiGCTS"	5	TRUE
"HiGCTS_CP.1"	"HAPLN1"	"HiGCTS"	4	FALSE
"HiGCTS_CP.1"	"HAS2"	"HiGCTS"	2	TRUE
"HiGCTS_CP.1"	"ISL1"	"HiGCTS"	3	TRUE
"HiGCTS_endoderm"	"APOA1"	"HiGCTS"	1	FALSE
"HiGCTS_endoderm"	"APOA2"	"HiGCTS"	2	FALSE
"HiGCTS_endoderm"	"APOC1"	"HiGCTS"	3	FALSE
"HiGCTS_endoderm"	"APOE"	"HiGCTS"	4	FALSE
"HiGCTS_endoderm"	"TTR"	"HiGCTS"	5	FALSE
"HiGCTS_muscle"	"ACTA1"	"HiGCTS"	1	FALSE
"HiGCTS_muscle"	"ACTC1"	"HiGCTS"	3	TRUE
"HiGCTS_muscle"	"ANKRD1"	"HiGCTS"	5	FALSE
"HiGCTS_muscle"	"CNN1"	"HiGCTS"	4	FALSE
"HiGCTS_muscle"	"TNNT2"	"HiGCTS"	2	FALSE
"HiG_0"	"GAPDH"	"HiG"	1	FALSE
"HiG_0"	"NCL"	"HiG"	3	FALSE
"HiG_0"	"NPM1"	"HiG"	4	FALSE
"HiG_0"	"RPS27A"	"HiG"	5	FALSE
"HiG_0"	"TOP2A"	"HiG"	2	FALSE
"HiG_1"	"COL3A1"	"HiG"	3	FALSE
"HiG_1"	"DCN"	"HiG"	2	FALSE
"HiG_1"	"FN1"	"HiG"	1	FALSE
"HiG_1"	"LUM"	"HiG"	4	FALSE
"HiG_1"	"SPARC"	"HiG"	5	FALSE
"HiG_10"	"GAPDH"	"HiG"	1	FALSE
"HiG_10"	"RPL31"	"HiG"	5	FALSE
"HiG_10"	"RPS12"	"HiG"	2	FALSE
"HiG_10"	"RPS16"	"HiG"	3	FALSE
"HiG_10"	"RPS19"	"HiG"	4	TRUE
"HiG_12"	"ALB"	"HiG"	5	FALSE
"HiG_12"	"IGF1"	"HiG"	2	FALSE
"HiG_12"	"MYH7"	"HiG"	4	TRUE
"HiG_12"	"RBP4"	"HiG"	3	FALSE
"HiG_12"	"TTN"	"HiG"	1	FALSE
"HiG_2"	"GAPDH"	"HiG"	1	FALSE
"HiG_2"	"HSP90AA1"	"HiG"	5	FALSE
"HiG_2"	"HSP90AB1"	"HiG"	3	FALSE
"HiG_2"	"HSPE1"	"HiG"	4	FALSE
"HiG_2"	"RPS27A"	"HiG"	2	FALSE
"HiG_4"	"BMP4"	"HiG"	2	TRUE
"HiG_4"	"GAPDH"	"HiG"	1	FALSE
"HiG_4"	"RPL13A"	"HiG"	4	FALSE
"HiG_4"	"RPS15A"	"HiG"	5	FALSE
"HiG_4"	"RPS18"	"HiG"	3	FALSE
"HiG_5"	"ACTC1"	"HiG"	2	TRUE
"HiG_5"	"ACTN2"	"HiG"	3	FALSE
"HiG_5"	"MYL3"	"HiG"	5	FALSE
"HiG_5"	"TNNT2"	"HiG"	4	FALSE
"HiG_5"	"TPM1"	"HiG"	1	FALSE
"HiG_6"	"ANXA2"	"HiG"	4	FALSE
"HiG_6"	"COL3A1"	"HiG"	1	FALSE
"HiG_6"	"DCN"	"HiG"	5	FALSE
"HiG_6"	"LUM"	"HiG"	2	FALSE
"HiG_6"	"SPARC"	"HiG"	3	FALSE
"HiG_7"	"ENO1"	"HiG"	3	FALSE
"HiG_7"	"GAPDH"	"HiG"	1	FALSE
"HiG_7"	"HSP90AB1"	"HiG"	2	FALSE
