signature	gene	normalized.strength	PPI_cat	rank_by_normalized.strength	PCGC_AllCurated
CTS_CP	VIM	0.0144361281602322	CTS	1	FALSE
CTS_CP	PDGFRA	0.00944302502871466	CTS	2	TRUE
CTS_CP	BMP4	0.00676548099141645	CTS	3	TRUE
CTS_CP	SNAI2	0.00549305506707177	CTS	4	FALSE
CTS_CP	HOXB4	0.00541703434649304	CTS	5	FALSE
CTS_CP.1	FGF10	0.010739836884056	CTS	1	FALSE
CTS_CP.1	HAS2	0.00735762788827745	CTS	2	TRUE
CTS_CP.1	KDR	0.00705957526624155	CTS	3	FALSE
CTS_CP.1	HAND2	0.00611157480051325	CTS	4	TRUE
CTS_CP.1	ISL1	0.00607360928301069	CTS	5	TRUE
CTS_endoderm	APOA1	0.105476729418927	CTS	1	FALSE
CTS_endoderm	APOA2	0.0930212623217959	CTS	2	FALSE
CTS_endoderm	APOB	0.0908288825798948	CTS	3	FALSE
CTS_endoderm	APOE	0.0805826000036318	CTS	4	FALSE
CTS_endoderm	SERPINA1	0.0739710266988858	CTS	5	FALSE
CTS_muscle	TNNT2	0.0694782981377565	CTS	1	FALSE
CTS_muscle	ACTA1	0.0603241226574029	CTS	2	FALSE
CTS_muscle	ACTC1	0.0517126577725311	CTS	3	TRUE
CTS_muscle	MYOZ2	0.0463277365247457	CTS	4	FALSE
CTS_muscle	ANKRD1	0.0378311509842942	CTS	5	FALSE
HiGCTS_CP	VIM	0.020819561660263	HiGCTS	1	FALSE
HiGCTS_CP	PDGFRA	0.0182286367388794	HiGCTS	2	TRUE
HiGCTS_CP	BMP4	0.0132140342957266	HiGCTS	3	TRUE
HiGCTS_CP	RGS5	0.00908979497905006	HiGCTS	4	FALSE
HiGCTS_CP	RGS4	0.00858226460590406	HiGCTS	5	FALSE
HiGCTS_CP.1	FGF10	0.0204691030775519	HiGCTS	1	FALSE
HiGCTS_CP.1	HAS2	0.0141367534343577	HiGCTS	2	TRUE
HiGCTS_CP.1	ISL1	0.0113115011119823	HiGCTS	3	TRUE
HiGCTS_CP.1	HAPLN1	0.0108400785873414	HiGCTS	4	FALSE
HiGCTS_CP.1	HAND2	0.0105717707060728	HiGCTS	5	TRUE
HiGCTS_endoderm	APOA1	0.357790016052172	HiGCTS	1	FALSE
HiGCTS_endoderm	APOC1	0.328699050180564	HiGCTS	2	FALSE
HiGCTS_endoderm	APOA2	0.326131872477562	HiGCTS	3	FALSE
HiGCTS_endoderm	APOE	0.298591989116082	HiGCTS	4	FALSE
HiGCTS_endoderm	TTR	0.142806310659864	HiGCTS	5	FALSE
HiGCTS_muscle	ACTA1	0.113294153479025	HiGCTS	1	FALSE
HiGCTS_muscle	TNNT2	0.10883437583802	HiGCTS	2	FALSE
HiGCTS_muscle	ACTC1	0.0841705840104222	HiGCTS	3	TRUE
HiGCTS_muscle	CNN1	0.0715476252813021	HiGCTS	4	FALSE
HiGCTS_muscle	ANKRD1	0.0599736779345254	HiGCTS	5	FALSE
HiG_0	GAPDH	0.0225002957649354	HiG	1	FALSE
HiG_0	NCL	0.0137516951807121	HiG	2	FALSE
HiG_0	TOP2A	0.0133313461439214	HiG	3	FALSE
HiG_0	NPM1	0.0133227368624639	HiG	4	FALSE
HiG_0	RPS27A	0.0128723024525941	HiG	5	FALSE
HiG_1	FN1	0.00487143939513414	HiG	1	FALSE
HiG_1	COL3A1	0.0047154418455165	HiG	2	FALSE
HiG_1	DCN	0.00469826140488205	HiG	3	FALSE
HiG_1	LUM	0.00454943098747439	HiG	4	FALSE
HiG_1	SPARC	0.00454009028346287	HiG	5	FALSE
HiG_10	RPS12	0.0970997208198551	HiG	1	FALSE
HiG_10	RPS19	0.0945603388018417	HiG	2	TRUE
HiG_10	RPS16	0.0944576267289757	HiG	3	FALSE
HiG_10	RPLP1	0.0923406071211529	HiG	4	FALSE
HiG_10	RPL31	0.0910295197493132	HiG	5	FALSE
HiG_12	TTN	0.006753854584029	HiG	1	FALSE
HiG_12	LUC7L3	0.00657579890159711	HiG	2	FALSE
HiG_12	PNISR	0.00657579890159711	HiG	3	FALSE
HiG_12	MYH7	0.00551676003278263	HiG	4	TRUE
HiG_12	IGF1	0.00408987642088321	HiG	5	FALSE
HiG_2	RPS27A	0.0200970016588461	HiG	1	FALSE
HiG_2	RPL26	0.0179704981552816	HiG	2	FALSE
HiG_2	GAPDH	0.0173083394807243	HiG	3	FALSE
HiG_2	RPS16	0.0170140829436452	HiG	4	FALSE
HiG_2	HSPE1	0.0169957532558609	HiG	5	FALSE
HiG_4	RPS18	0.0896345897835449	HiG	1	FALSE
HiG_4	RPS15A	0.0843320940480418	HiG	2	FALSE
HiG_4	RPL13A	0.0840730986214518	HiG	3	FALSE
HiG_4	RPLP1	0.0820030245897743	HiG	4	FALSE
