CP_hi	CM_hi	CF_hi	CTS_CP
STMN1	0	0	0	1
CCDC18-AS1	0	0	1	1
TXNIP	0	1	1	1
RGS4	0	1	1	1
RGS5	0	1	1	1
CREG1	0	1	1	1
MPZL1	0	0	0	1
KIFAP3	0	1	1	1
PRRX1	0	0	1	1
RGS2	0	0	1	1
MERTK	0	0	1	1
NXPH2	0	0	1	1
FIGN	0	1	1	1
SPAG16	0	0	1	1
ARL4C	0	0	1	1
CLSTN2	0	1	1	1
PDGFRA	0	1	1	1
CCNI	0	0	0	1
ARRDC3	0	0	1	1
LIX1	0	1	1	1
WASF1	0	0	1	1
BAIAP2L1	0	0	0	1
ASH2L	0	0	1	1
SFRP1	0	0	0	1
SNAI2	0	0	1	1
HEY1	0	0	1	1
PLIN2	0	0	0	1
CTSV	0	1	0	1
PBX3	0	1	1	1
VIM	0	1	1	1
ANKRD26	0	0	0	1
ZNF503	0	1	1	1
PRXL2A	0	0	0	1
AFAP1L2	0	0	1	1
HBE1	0	0	1	1
CCDC34	0	0	0	1
LGR4	0	0	1	1
TTC17	0	0	0	1
SERPING1	0	0	1	1
SPA17	0	0	1	1
SYT10	0	0	1	1
R3HDM2	0	0	1	1
CEP290	0	0	0	1
CLDN10	0	0	0	1
NID2	0	1	1	1
BMP4	0	0	1	1
NPC2	0	0	0	1
DLK1	0	0	1	1
CRABP1	0	0	0	1
ATF7IP2	0	0	1	1
EMP2	0	1	1	1
TXNL4B	0	0	1	1
TERF2IP	0	0	1	1
KDM6B	0	1	1	1
TMEM88	0	0	1	1
CENPV	0	0	0	1
HOXB2	0	0	1	1
HOXB3	0	0	1	1
HOXB-AS3	0	0	1	1
HOXB4	0	0	1	1
HOXB5	0	0	1	1
MSI2	0	0	1	1
TYMS	0	0	0	1
ARHGAP28	0	0	1	1
GATA6-AS1	0	1	1	1
CCBE1	0	0	1	1
FBXO17	0	0	1	1
ZNF83	0	1	1	1
SERINC3	0	0	1	1
PKIG	0	0	1	1
PTGIS	0	0	1	1
SLC5A3	0	0	1	1
SAT1	0	0	0	1
XIST	0	0	1	1
TMSB15A	0	0	0	1
CCDC160	0	0	1	1
