geneSet	motif	NES	AUC	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
CP.1	hdpi__EBF1	4.98	0.159	EBF1 (directAnnotation). 		16	720	ATN1;BMP5;C16orf87;CCND2;CHIC2;CHST9;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;LIN28B;PPFIBP1;PTPN13;ZEB2;ZNF608
CP.1	c2h2_zfs__M0369	4.98	0.159	BCL6B (inferredBy_Orthology). 		13	478	ATN1;BMP5;CCND2;CHST9;GATA6;HAS2;IGF2BP1;LIN28B;NAV1;PTMS;PTPN13;ZEB2;ZNF608
CP.1	hocomoco__ETS2_HUMAN.H11MO.0.B	4.48	0.147	ETS2 (directAnnotation). 	EHF; SPI1; ZNF639 (inferredBy_MotifSimilarity). 	22	1304	ATN1;BMP5;CCND2;CHST9;FGF10;GATA6;HAPLN1;HAS2;IGF2BP1;ISL1;KDR;LIN28B;LPGAT1;LRP2;NAV1;PPFIBP1;PPP1R1A;PTMS;PTPN13;SEMA3E;ZEB2;ZNF608
CP.1	kznf__ZNF282_Imbeault2017_OM_RCADE	4.44	0.147	ZNF282 (directAnnotation). 		14	714	ATN1;C1orf21;CCND2;CHST9;DUSP6;ENC1;IGF2BP1;JAG1;LPGAT1;LRP2;PTMS;PTPN13;SAMD11;TIPARP
CP.1	kznf__ZNF282_Imbeault2017_RP_RCADE	4.37	0.145	ZNF282 (directAnnotation). 		18	1046	ATN1;C1orf21;CA2;CCND2;CHST9;DUSP6;ENC1;FGF10;GPC6;IGF2BP1;JAG1;LPGAT1;LRP2;PTMS;PTPN13;SAMD11;TIPARP;TP53I11
CP.1	swissregulon__mm__Atf2	4.35	0.144	ATF2 (inferredBy_Orthology). 	IKZF1 (inferredBy_MotifSimilarity_n_Orthology). 	16	868	ATN1;BMP5;CCND2;FGF10;GATA6;HAND2;IGF2BP1;ISL1;KDR;LIN28B;MEIS1;NAV1;PTMS;SEMA3E;ZEB2;ZNF608
CP.1	hocomoco__MZF1_HUMAN.H11MO.0.B	4.18	0.14	MZF1 (directAnnotation). 		18	1121	ATN1;BMP5;CCND2;CHST9;FGF10;HAPLN1;HAS2;IGF2BP1;JAG1;KIAA1324L;LIN28B;LRP2;NAV1;NKX3-1;PPFIBP1;PPP1R1A;PTMS;PTPN13
CP.1	kznf__ZNF774_Schmitges2016_RCADE	3.99	0.136	ZNF774 (directAnnotation). 		14	758	ATN1;BMP5;CCND2;CHST9;FAM89A;FGF10;HAS2;IGF2BP1;LIN28B;NAV1;PPP1R1A;PTMS;PTPN13;ZEB2
CP.1	hocomoco__NFAT5_HUMAN.H11MO.0.D	3.97	0.136	NFAT5 (directAnnotation). 		21	1472	ATN1;BMP5;BMPER;CCND2;CHST9;FGF10;GPC6;HAPLN1;IGF2BP1;ISL1;KDR;KIAA1324L;LIN28B;LRP2;NAV1;PPFIBP1;PPP1R1A;PTMS;WLS;ZEB2;ZNF608
CP.1	swissregulon__hs__EZH2	3.77	0.131	EZH2 (directAnnotation). 		23	1549	ATN1;BMP5;CCND2;CHST9;FGF10;GATA6;HAND2;HAPLN1;HAS2;IGF2BP1;ISL1;ITM2C;KIAA1324L;LIN28B;MEIS1;NAV1;PPFIBP1;PPP1R1A;PTMS;PTPN13;WLS;ZEB2;ZNF608
CP.1	swissregulon__hs__RCOR1	3.64	0.128	RCOR1 (directAnnotation). 	WRNIP1 (inferredBy_MotifSimilarity). 	44	4590	ATN1;BMPER;C16orf87;C1orf21;CA2;CCND2;CGNL1;CHST9;CITED2;CLGN;DAB1;DUSP6;DYNC1I1;ENC1;FAM89A;FGF10;GATA6;GPC6;HAND2;HAPLN1;HAS2;IGF2BP1;ITM2C;JAG1;LAMA1;LIN28B;LPGAT1;LRP2;MEIS1;NAV1;PLCE1;PPFIBP1;PPP1R1A;PTMS;PTPN13;RHOBTB3;SLC40A1;SLC7A2;TIPARP;TP53I11;USP27X;WLS;ZEB2;ZNF608
