"network","AUC","normalized_AUC","ID"
"real_PPIN",0.352665852665853,0.353312945973497,"HiG_1"
"random",0.998168498168496,1,"HiG_1"
"scale_free",0.998168498168496,1,"HiG_1"
"small_world",0.998168498168496,1,"HiG_1"
"deg_preserving",0.315670919119196,0.316250131814828,"HiG_1"
"real_PPIN",0.371074910122861,0.371547617014736,"HiG_2"
"random",0.998727735368959,1,"HiG_2"
"scale_free",0.998727735368959,1,"HiG_2"
"small_world",0.998727735368959,1,"HiG_2"
"deg_preserving",0.32630347433982,0.326719147555539,"HiG_2"
"real_PPIN",0.341051093796825,0.341505223082839,"HiG_3"
"random",0.998670212765958,1,"HiG_3"
"scale_free",0.998670212765958,1,"HiG_3"
"small_world",0.998670212765958,1,"HiG_3"
"deg_preserving",0.305474849514273,0.30588160697035,"HiG_3"
"real_PPIN",0.334731371687894,0.335352394640934,"HiG_4"
"random",0.998148148148147,1,"HiG_4"
"scale_free",0.998148148148147,1,"HiG_4"
"small_world",0.998148148148147,1,"HiG_4"
"deg_preserving",0.297826086956522,0.298378639993547,"HiG_4"
"real_PPIN",0.329424134584277,0.330011343380326,"HiG_5"
"random",0.9982206405694,1,"HiG_5"
"scale_free",0.9982206405694,1,"HiG_5"
"small_world",0.9982206405694,1,"HiG_5"
"deg_preserving",0.294794025665912,0.295319505212552,"HiG_5"
"real_PPIN",0.345815592600612,0.346187837587265,"HiG_6"
"random",0.998924731182797,1,"HiG_6"
"scale_free",0.998924731182797,1,"HiG_6"
"small_world",0.998924731182797,1,"HiG_6"
"deg_preserving",0.316495437890651,0.316836121892686,"HiG_6"
"real_PPIN",0.344639052512846,0.345185231676891,"HiG_9"
"random",0.99841772151899,1,"HiG_9"
"scale_free",0.99841772151899,1,"HiG_9"
"small_world",0.99841772151899,1,"HiG_9"
"deg_preserving",0.320231231983957,0.320738729974422,"HiG_9"
"real_PPIN",0.359051036682613,0.359524094701956,"HiG_10"
"random",0.998684210526321,1,"HiG_10"
"scale_free",0.998684210526321,1,"HiG_10"
"small_world",0.998684210526321,1,"HiG_10"
"deg_preserving",0.319040887342322,0.319461231067409,"HiG_10"
"real_PPIN",0.337777630003989,0.338325081592327,"HiG_12"
"random",0.998381877022652,1,"HiG_12"
"scale_free",0.998381877022652,1,"HiG_12"
"small_world",0.998381877022652,1,"HiG_12"
"deg_preserving",0.329664849049076,0.33019915188384,"HiG_12"
"real_PPIN",0.334234234234234,0.334736842105261,"HiG_14"
"random",0.998498498498506,1,"HiG_14"
"scale_free",0.998498498498506,1,"HiG_14"
"small_world",0.998498498498506,1,"HiG_14"
"deg_preserving",0.308265408265408,0.308728965270316,"HiG_14"
"real_PPIN",0.335756942023934,0.336110742805834,"HiG_17"
"random",0.998947368421057,1,"HiG_17"
"scale_free",0.998947368421057,1,"HiG_17"
"small_world",0.998947368421057,1,"HiG_17"
"deg_preserving",0.314736842105264,0.315068493150684,"HiG_17"
"real_PPIN",0.344184866929229,0.344595099190169,"HiG_18"
"random",0.998809523809527,1,"HiG_18"
"scale_free",0.998809523809527,1,"HiG_18"
"small_world",0.998809523809527,1,"HiG_18"
"deg_preserving",0.319456379042846,0.319837137539916,"HiG_18"
"real_PPIN",0.316930636389657,0.317268155704238,"HiG_19"
"random",0.998936170212758,1,"HiG_19"
"scale_free",0.998936170212758,1,"HiG_19"
"small_world",0.998936170212758,1,"HiG_19"
"deg_preserving",0.294122698215819,0.294435927926381,"HiG_19"
"real_PPIN",0.356893866350218,0.357508141507449,"HiG_7"
"random",0.998281786941575,1,"HiG_7"
"scale_free",0.998281786941575,1,"HiG_7"
"small_world",0.998281786941575,1,"HiG_7"
"deg_preserving",0.310699893693293,0.311234661152319,"HiG_7"
"real_PPIN",0.36370382585752,0.364159024638318,"HiG_11"
"random",0.998750000000001,1,"HiG_11"
"scale_free",0.998750000000001,1,"HiG_11"
"small_world",0.998750000000001,1,"HiG_11"
"deg_preserving",0.324970316622691,0.325377037920091,"HiG_11"
"real_PPIN",0.345615664044047,0.346097694258893,"HiG_15"
"random",0.99860724233983,1,"HiG_15"
"scale_free",0.99860724233983,1,"HiG_15"
"small_world",0.99860724233983,1,"HiG_15"
"deg_preserving",0.311098079460489,0.311531967995303,"HiG_15"
"real_PPIN",0.352594911794057,0.352964895961733,"HiG_16"
"random",0.998951781970646,1,"HiG_16"
"scale_free",0.998951781970646,1,"HiG_16"
"small_world",0.998951781970646,1,"HiG_16"
"deg_preserving",0.326865507676253,0.327208493518516,"HiG_16"
"real_PPIN",0.348358858717781,0.348834109548226,"HiG_13"
"random",0.998637602179841,1,"HiG_13"
"scale_free",0.998637602179841,1,"HiG_13"
"small_world",0.998637602179841,1,"HiG_13"
"deg_preserving",0.306476870556546,0.306894983613238,"HiG_13"
"real_PPIN",0.340975165073422,0.341560028135294,"HiG_8"
"random",0.998287671232887,1,"HiG_8"
"scale_free",0.998287671232887,1,"HiG_8"
"small_world",0.998287671232887,1,"HiG_8"
"deg_preserving",0.301074209125849,0.301590631439955,"HiG_8"
