"signature"	"gene"	"PageRank"	"PPI_cat"	"EigenCentrality"	"p.PageRank"	"rank_by_p.PR"	"rank_by_PR"	"annd"	"p.annd"	"strength"	"rank_by_strength"	"normalized.strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"rank_by_p.ANND"
"HiG_1"	"Anp32a"	0.00192302144614923	"HiG"	0.00102358533544875	0.971	50.5	102	6	0	0.0167730507237289	91	6.25860101631674e-05	91	51	56.5
"HiG_1"	"Anp32e"	0.00126949049759689	"HiG"	5.26610584369392e-05	0.968	29.5	110	12	0	0.00319446464755362	105	1.19196442072896e-05	105	18.5	56.5
"HiG_1"	"Apex1"	0.0053247054457237	"HiG"	0.00165151879395431	0.975	85.5	60	4.65615707062992	0	0.0778202009234333	40	0.000290373884042662	40	62	56.5
"HiG_1"	"Apoe"	0.00510721830484496	"HiG"	0.00152857949301189	0.972	59	66	4.07478873422184	0	0.0482009873389207	58	0.000179854430369107	58	67	56.5
"HiG_1"	"Atp5b"	0.00556040707408644	"HiG"	0.0147821439096768	0.973	69	58	7.27550107079083	0	0.0709669165156173	42	0.000264801927297079	42	33	56.5
"HiG_1"	"Atxn10"	0.00202166327388537	"HiG"	0.0522334199663315	0.975	85.5	100	16	0	0.0287981330098656	76	0.000107455720186066	76	5.5	56.5
"HiG_1"	"Bccip"	0.00737735153079295	"HiG"	2.57567490100534e-17	0.964	1.5	36	1	0	0.0236625520211134	82.5	8.82931045563934e-05	83	105	56.5
"HiG_1"	"Bzw2"	0.00737735153079858	"HiG"	4.35065996193653e-17	0.966	11.5	29	1	0	0.0358058236703305	69.5	0.000133603819665412	69	105	56.5
"HiG_1"	"Cbx1"	0.00507784829296108	"HiG"	0.0627191399821966	0.975	85.5	67	8.38362996907701	0	0.0868646720142205	35	0.000324121910500823	35	26	56.5
"HiG_1"	"Ccnb1"	0.00737735153079295	"HiG"	2.56781867618609e-18	0.965	4	36	1	0	0.00203766513891808	109.5	7.60322813029134e-06	110	105	56.5
"HiG_1"	"Ccnd1"	0.00365406194770247	"HiG"	0.138058852763619	0.976	94.5	79	15.6912244874426	0	0.0784646604265379	39	0.000292778583681111	39	11	56.5
"HiG_1"	"Ccne1"	0.00189926153022845	"HiG"	0.000820226673501607	0.971	50.5	104	6	0	0.0146343110608469	94	5.46056382867422e-05	94	55	56.5
"HiG_1"	"Cct8"	0.00765631316869449	"HiG"	0.0498704135342857	0.977	101	25	6.63542248063924	0	0.158873522695004	19	0.000592811651847031	19	40	56.5
"HiG_1"	"Cd81"	0.0107669454773791	"HiG"	5.11366506773217e-17	0.966	11.5	16	1	0	0.0448102911316685	60	0.000167202578849509	60	105	56.5
"HiG_1"	"Crabp1"	0.0107452694443536	"HiG"	0.00311614799218577	0.967	20	17	12	0	0.18902819071711	14	0.000705329069839964	14	18.5	56.5
"HiG_1"	"Dbn1"	0.00532467369399189	"HiG"	0.0105934977206181	0.974	76.5	61	6.0775993536431	0	0.0526935840137741	55	0.000196617850797664	55	46	56.5
"HiG_1"	"Dek"	0.00572627114488237	"HiG"	5.5104725014783e-05	0.969	40.5	55	2.67084924952921	0	0.0219814291300914	84	8.20202579481022e-05	84	79	56.5
"HiG_1"	"Dkc1"	0.00541211479134349	"HiG"	0.000865738577614854	0.976	94.5	59	5.01002162331081	0	0.0329207175588206	74	0.000122838498353808	74	61	56.5
"HiG_1"	"Dnaja1"	0.00629148166309318	"HiG"	0.295962885193819	0.975	85.5	51	16	0	0.163174812970107	18	0.000608861242425771	18	5.5	56.5
"HiG_1"	"Dut"	0.00182281450268127	"HiG"	6.62217278479242e-06	0.973	69	105	6	0	0.00490670797226674	103	1.83086118368162e-05	103	51	56.5
"HiG_1"	"Ebna1bp2"	0.0045368529641251	"HiG"	0.00110898817204659	0.968	29.5	72	12	0	0.0672721668593151	45	0.000251015547982519	45	18.5	56.5
"HiG_1"	"Eif4a1"	0.00666467411249656	"HiG"	0.0231891468104819	0.976	94.5	45	5.52211843035794	0	0.0926982799482015	31	0.000345889104284334	31	60	56.5
"HiG_1"	"Eif4a3"	0.00571022136366128	"HiG"	0.00209789011149859	0.974	76.5	56	3.55384983525658	0	0.0556892529129732	54	0.000207795719824527	54	69	56.5
"HiG_1"	"Ezh2"	0.0143829483073978	"HiG"	0.0171963933032613	0.968	29.5	12	3.51351709783372	0	0.203056559458135	13	0.000757673729321401	13	70	56.5
"HiG_1"	"Fermt2"	0.0025743236019051	"HiG"	0.000345824491392216	0.976	94.5	94	2.6029068421636	0	0.0197064261441802	88	7.35314408364933e-05	88	80	56.5
"HiG_1"	"Fgfr1"	0.00737735153079858	"HiG"	7.08927636592903e-17	0.966	11.5	29	1	0	0.0619620215214539	49.5	0.000231201572841246	49	105	56.5
"HiG_1"	"Fhl1"	0.00482374806817652	"HiG"	0.000642063689047916	0.975	85.5	68	2	0	0.0409858415359724	62	0.000152932244537211	62	91.5	56.5
"HiG_1"	"Fkbp4"	0.00517183755198253	"HiG"	0.0459893448025496	0.97	46.5	64	7.92621096664454	0	0.11287005912328	29	0.000421156937027163	29	29	56.5
"HiG_1"	"Fn1"	0.00737735153079295	"HiG"	4.4768971774687e-17	0.966	11.5	36	1	0	0.0358058236703305	69.5	0.000133603819665412	70	105	56.5
"HiG_1"	"Foxp1"	0.00118792431491657	"HiG"	6.02392825060998e-05	0.968	29.5	112	16	0	0.00101523062768117	112	3.78817398388496e-06	112	5.5	56.5
"HiG_1"	"Gnl3"	0.0039814019480407	"HiG"	0.0104376839949195	0.969	40.5	76	2	0	0.0649759603250696	47	0.000242447613153245	47	91.5	56.5
"HiG_1"	"Gpc3"	0.00800867928913101	"HiG"	3.98057570744362e-17	0.966	11.5	24	2	0	0.0337945056764251	71	0.000126098901777705	71	91.5	56.5
