geneSet	motif	NES	AUC	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
8	transfac_pro__M02027	4.56	0.236	PARP1 (directAnnotation). 		35	4213	ALX1;CAMK2N1;CDK6;CHD3;DAB2;DACH1;DUSP14;ELMO1;EPHA2;EPHA7;FAM110B;FGF10;FGF8;FGFR2;IRX1;IRX3;ISL1;MPPED2;NCALD;NR2F1;NR2F2;NRG1;OLFML3;OSR1;PDCD4;PLXNA2;PTPRE;RARB;RHOU;ROBO2;SIX2;SPRY1;STOX2;TOX3;TRABD2B
8	hdpi__HOXD3	3.88	0.21	HOXD3 (directAnnotation). 		16	917	CAMK2N1;CDK6;CHD3;EPHA7;FAM110B;IRX1;IRX2;IRX3;IRX5;NR2F1;NR2F2;PDCD4;PTPRE;RHOU;SPRY1;STOX2
8	hdpi__ZNF193	3.87	0.21	ZSCAN9 (directAnnotation). 		33	3433	ALX1;BMP7;CAMK2N1;CDK6;CHD3;DACH1;ELMO1;EPHA7;FGF8;FGFR2;IRX1;IRX2;IRX3;IRX5;MPPED2;NR2F1;NR2F2;NRG1;OSR1;PDCD4;PTPRE;RARB;RHOU;ROBO2;SCARA3;SH3KBP1;SIX2;SPRY1;STOX2;TBX1;TOX3;TRABD2B;VEGFC
8	transfac_public__M00500	3.83	0.208	STAT6 (directAnnotation). 	CEBPB; PDX1 (inferredBy_MotifSimilarity). 	18	1163	CAMK2N1;CHD3;DAB2;EPHA2;FGF8;FGFR2;IRX1;IRX3;ISL1;MPPED2;NR2F1;NR2F2;OSR1;PLXNA2;PTPRE;RHOU;ROBO2;SIX2
8	hdpi__TCF3	3.74	0.205	TCF3 (directAnnotation). 		11	423	CAMK2N1;CHD3;ELMO1;EPHA7;IRX1;IRX2;IRX3;NRG1;PTPRE;RARB;RHOU
8	transfac_pro__M03813	3.65	0.202	POU3F3 (directAnnotation). 		16	909	CAMK2N1;CDK6;CHD3;EPHA7;FGFR2;IRX1;IRX2;IRX3;IRX5;MPPED2;NR2F1;NR2F2;PTPRE;RHOU;SIX2;TBX1
8	cisbp__M00750	3.63	0.201	AHCTF1 (inferredBy_Orthology). 		35	4905	ALX1;CAMK2N1;CDK6;CHD3;CLU;DAB2;DACH1;ELMO1;EPHA7;FAM110B;FGF10;FGFR2;IRX1;IRX2;IRX3;IRX5;ISL1;MPPED2;NR2F1;NR2F2;NRG1;OSR1;P3H2;PDCD4;PLXNA2;PTPRE;RARB;RHOU;ROBO2;SCARA3;SPRY1;STOX2;TBX1;TOX3;TSPAN7
8	taipale_cyt_meth__LHX9_CYAATTAR_eDBD	3.6	0.2	LHX9 (directAnnotation). 	ISX; LHX2; SHOX2 (inferredBy_MotifSimilarity). 	24	2328	BATF;CAMK2N1;CDK6;CLU;DACH1;ELMO1;FAM213A;FGFR2;IRX1;IRX2;IRX3;IRX5;MPPED2;NR2F1;NR2F2;PDCD4;PLXNA2;PTPRE;RARB;SCARA3;SH3KBP1;SIX2;SPRY1;TRABD2B
8	metacluster_32.29	3.57	0.199	FOXM1 (directAnnotation). 	TBL1XR1 (inferredBy_MotifSimilarity). IKZF1 (inferredBy_MotifSimilarity_n_Orthology). 	19	1217	CHD3;DAB2;DACH1;EPHA7;FGF10;IRX1;IRX3;IRX5;ISL1;MPPED2;NR2F1;NR2F2;OSR1;PLXNA2;PTPRE;RARB;RHOU;ROBO2;TBX1
8	hdpi__FOXM1	3.55	0.198	FOXM1 (directAnnotation). 		32	3886	ALX1;APELA;BMP7;CAMK2N1;CDK6;CHD3;DAB2;DACH1;DUSP14;ELMO1;EPHA7;FAM110B;FGF8;FGFR2;IRX1;IRX2;IRX5;MPPED2;NCALD;NR2F1;NR2F2;NRG1;OSR1;PTPRE;RARB;RHOU;ROBO2;SPRY1;STOX2;TBX1;TOX3;TRABD2B
8	transfac_pro__M07320	3.47	0.195	HMGA1; HMGA2 (directAnnotation). 		29	3205	ALX1;CAMK2N1;CDK6;CHD3;DAB2;DACH1;ELMO1;EPHA7;FAM110B;FGF8;FGFR2;IRX1;IRX2;ISL1;MPPED2;NCALD;NR2F1;NR2F2;NRG1;OSR1;PDCD4;PTPRE;RARB;RHOU;ROBO2;SPRY1;STOX2;TBX1;TOX3
8	cisbp__M11358	3.43	0.193	STAT5A (directAnnotation). 		22	1665	CAMK2N1;CDK6;CHD3;DAB2;EPHA2;EPHA7;FAM110B;FGF8;FGFR2;IRX1;IRX3;ISL1;MPPED2;NR2F1;NR2F2;NRG1;OSR1;PLXNA2;PTPRE;RHOU;SIX2;STOX2
8	hdpi__POU4F3	3.43	0.193	POU4F3 (directAnnotation). 		11	499	CAMK2N1;CDK6;CHD3;EPHA7;IRX1;IRX2;IRX5;MPPED2;NRG1;PTPRE;RHOU
8	transfac_pro__M07062	3.36	0.191	RREB1 (directAnnotation). 		12	561	CDK6;DACH1;DUSP14;FAM110B;FGFR2;MPPED2;NRG1;PDCD4;RARB;ROBO2;SPRY1;TOX3
8	metacluster_24.7	3.35	0.191	ZNF324; ZNF580; ZNF580; ZNF580 (directAnnotation). PRDM5; ZNF341 (inferredBy_Orthology). 	ZNF324B (inferredBy_MotifSimilarity). 	12	590	CDK6;DACH1;DUSP14;FAM110B;FGFR2;MPPED2;NRG1;PDCD4;RARB;ROBO2;SPRY1;TOX3
8	hdpi__SF1	3.32	0.189	SF1 (directAnnotation). 		29	2698	ALX1;CAMK2N1;CDK6;CHD3;DAB2;DACH1;EPHA7;FAM110B;FGF8;FGFR2;IRX1;IRX2;IRX5;ISL1;MPPED2;NR2F1;NR2F2;NRG1;PDCD4;PTPRE;RARB;RHOU;ROBO2;SH3KBP1;SPRY1;STOX2;TBX1;TOX3;TRABD2B
8	hdpi__HMG20A	3.24	0.186	HMG20A (directAnnotation). 		16	1154	BMP7;CAMK2N1;CDK6;CHD3;DACH1;EPHA7;FGFR2;IRX1;IRX2;IRX5;MPPED2;NR2F1;PTPRE;RHOU;ROBO2;TBX1
8	transfac_pro__M07261	3.23	0.186	KLF2 (directAnnotation). 		15	973	CDK6;DACH1;DUSP14;FAM110B;FGFR2;MPPED2;NR2F2;NRG1;PDCD4;RARB;ROBO2;SPRY1;TBX1;TOX3;VEGFC
