"network","AUC","normalized_AUC","ID"
"real_PPIN",0.448899889989008,0.449641873278239,"HiG_1"
"random",0.998349834983514,1,"HiG_1"
"scale_free",0.998349834983514,1,"HiG_1"
"small_world",0.998349834983514,1,"HiG_1"
"deg_preserving",0.398371837183717,0.399030303030295,"HiG_1"
"real_PPIN",0.45593077024704,0.456455431662749,"HiG_2"
"random",0.998850574712634,1,"HiG_2"
"scale_free",0.998850574712634,1,"HiG_2"
"small_world",0.998850574712634,1,"HiG_2"
"deg_preserving",0.404124719249577,0.404589764956427,"HiG_2"
"real_PPIN",0.42821185861709,0.428733432135505,"HiG_3"
"random",0.99878345498783,1,"HiG_3"
"scale_free",0.99878345498783,1,"HiG_3"
"small_world",0.99878345498783,1,"HiG_3"
"deg_preserving",0.39682140160367,0.397304740704286,"HiG_3"
"real_PPIN",0.44887108760274,0.449610578686107,"HiG_4"
"random",0.99835526315789,1,"HiG_4"
"scale_free",0.99835526315789,1,"HiG_4"
"small_world",0.99835526315789,1,"HiG_4"
"deg_preserving",0.408643337996164,0.409316556015929,"HiG_4"
"real_PPIN",0.463370253164538,0.464095402230525,"HiG_5"
"random",0.998437499999994,1,"HiG_5"
"scale_free",0.998437499999994,1,"HiG_5"
"small_world",0.998437499999994,1,"HiG_5"
"deg_preserving",0.410670490506313,0.411313167330268,"HiG_5"
"real_PPIN",0.445048253676497,0.445483295957705,"HiG_6"
"random",0.9990234375,1,"HiG_6"
"scale_free",0.9990234375,1,"HiG_6"
"small_world",0.9990234375,1,"HiG_6"
"deg_preserving",0.395952052696092,0.396339102600976,"HiG_6"
"real_PPIN",0.454870564167113,0.455506746774344,"HiG_9"
"random",0.998603351955296,1,"HiG_9"
"scale_free",0.998603351955296,1,"HiG_9"
"small_world",0.998603351955296,1,"HiG_9"
"deg_preserving",0.402002517900691,0.402564759184472,"HiG_9"
"real_PPIN",0.468100183677585,0.468655462661781,"HiG_10"
"random",0.998815165876778,1,"HiG_10"
"scale_free",0.998815165876778,1,"HiG_10"
"small_world",0.998815165876778,1,"HiG_10"
"deg_preserving",0.414612576248913,0.415104406113977,"HiG_10"
"real_PPIN",0.448862551840197,0.449521674530123,"HiG_12"
"random",0.998533724340177,1,"HiG_12"
"scale_free",0.998533724340177,1,"HiG_12"
"small_world",0.998533724340177,1,"HiG_12"
"deg_preserving",0.389387287650305,0.389959075150525,"HiG_12"
"real_PPIN",0.432845785499417,0.433441171724317,"HiG_14"
"random",0.998626373626365,1,"HiG_14"
"scale_free",0.998626373626365,1,"HiG_14"
"small_world",0.998626373626365,1,"HiG_14"
"deg_preserving",0.398581865062322,0.399130120722659,"HiG_14"
"real_PPIN",0.453667684959321,0.454101816715269,"HiG_17"
"random",0.999043977055436,1,"HiG_17"
"scale_free",0.999043977055436,1,"HiG_17"
"small_world",0.999043977055436,1,"HiG_17"
"deg_preserving",0.401756737947203,0.40214119415577,"HiG_17"
"real_PPIN",0.443716727716744,0.444204864930953,"HiG_18"
"random",0.998901098901101,1,"HiG_18"
"scale_free",0.998901098901101,1,"HiG_18"
"small_world",0.998901098901101,1,"HiG_18"
"deg_preserving",0.399887667887633,0.400327588314351,"HiG_18"
"real_PPIN",0.443661767426988,0.444083098640094,"HiG_19"
"random",0.999051233396642,1,"HiG_19"
"scale_free",0.999051233396642,1,"HiG_19"
"small_world",0.999051233396642,1,"HiG_19"
"deg_preserving",0.392802072411016,0.39317510381879,"HiG_19"
"real_PPIN",0.449977789623308,0.450648397357474,"HiG_7"
"random",0.998511904761898,1,"HiG_7"
"scale_free",0.998511904761898,1,"HiG_7"
"small_world",0.998511904761898,1,"HiG_7"
"deg_preserving",0.4100435323383,0.410654625531057,"HiG_7"
