"signature"	"gene"	"PPI_cat"	"normalized.strength"	"PCGC_AllCurated"
"CTS_8"	"Fgf8"	"CTS"	0.0478326713843668	FALSE
"CTS_8"	"Isl1"	"CTS"	0.0271673713419489	TRUE
"CTS_8"	"Irx3"	"CTS"	0.0204015694650062	FALSE
"CTS_8"	"Fgf10"	"CTS"	0.0180869747413959	FALSE
"CTS_8"	"Nr2f2"	"CTS"	0.0176393633045662	TRUE
"HiGCTS_8"	"Fgf8"	"HiGCTS"	0.0732675172851128	FALSE
"HiGCTS_8"	"Isl1"	"HiGCTS"	0.0539458856858281	TRUE
"HiGCTS_8"	"Npm3"	"HiGCTS"	0.0369865131213346	FALSE
"HiGCTS_8"	"Irx3"	"HiGCTS"	0.0359879322676082	FALSE
"HiGCTS_8"	"Alx1"	"HiGCTS"	0.0249960315699749	FALSE
"HiG_8"	"Npm1"	"HiG"	0.0133976724303053	FALSE
"HiG_8"	"Hspa8"	"HiG"	0.0112597691196548	FALSE
"HiG_8"	"Hspa5"	"HiG"	0.0102773913784152	FALSE
"HiG_8"	"Ncl"	"HiG"	0.00968685067310823	FALSE
"HiG_8"	"Eif4a1"	"HiG"	0.00955531054525921	FALSE
