CP_hi	CM_hi	CF_hi	CTS_8
FGF8	1	1	0	1
IGFBPL1	1	1	0	1
MPPED2	1	1	1	1
NPM3	1	1	0	1
OSR1	0	0	0	1
FAM213A	1	1	0	1
IRX3	1	0	0	1
ISL1	1	0	0	1
TBX1	0	0	0	1
TPM2	1	1	1	1
DAB2	0	1	1	1
ALX1	1	0	0	1
IRX5	0	0	0	1
TSPAN7	1	1	0	1
CLU	0	0	0	1
APELA	0	0	0	1
GM266	0	0	0	1
IRX1	0	0	0	1
BMP7	0	1	0	1
P3H2	0	0	0	1
NR2F2	0	0	0	1
PTPRE	0	0	0	1
PDCD4	0	0	0	1
VEGFC	0	0	0	1
TRABD2B	0	0	0	1
OLFML3	0	0	0	1
SPRY1	0	0	0	1
NR2F1	0	0	0	1
ELMO1	0	0	0	1
EPHA7	0	0	0	1
PLXNA2	0	0	0	1
IRX2	0	0	0	1
CHD3	0	0	0	1
RHOU	0	0	0	1
CAMK2N1	0	0	0	1
NRG1	0	0	0	1
RARB	0	0	0	1
EPHA2	0	0	0	1
DUSP14	0	0	0	1
FGFR2	0	0	0	1
B3GALNT1	0	0	0	1
CDK6	0	0	0	1
SIX2	0	0	0	1
FAM110B	0	0	0	1
DACH1	0	0	0	1
TOX3	0	0	0	1
FGF10	0	0	0	1
NCALD	0	0	0	1
BATF	0	0	0	1
SH3KBP1	0	0	0	1
SCARA3	0	0	0	1
RAB11FIP1	0	0	0	1
ROBO2	0	0	0	1
STOX2	0	0	0	1
