CMES_hi	CP_hi	CM_hi	CF_hi	PCW6CP_access	PCW8_CM_access	PCW19_CM_access	PCW8_CF_access	PCW19_CF_access	PCW8_SMC_access	PCW19_SMC_access	PCW6_CM_access	PCW6_CF_access	PCW6_SMC_access	iEPC_access	CTS_cardiac.a	Maven2023_gene_ISL1_up_E	Maven2023_gene_ISL1_up_T	Maven2023_gene_ISL1_up_L	Maven2023_gene_ISL1_dn_E	Maven2023_gene_ISL1_dn_T	Maven2023_gene_ISL1_dn_L	Maven2023_gene_ISL1_WT_d6CP	Gao2019_gene_Isl1_E825E9.bound	Gao2019_gene_Isl1.iCPC_CPC.bound	ISL1_CP_bound	ISL1_CP_candidate	ISL1_CM_candidate	ISL1_CF_candidate	cisTarget_PRDM9.motif_target	cisTarget_CBFB.motif_target	cisTarget_ZNF582.motif_target	cisTarget_CRX;DBP;EP300;GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;GTF2IRD1;HNF1A;HOXA13;IKZF2;MYB;MZF1;NFIA;NFIC;OTX1;OTX2;POU2F1;POU5F1;RAX;ZEB1.motif_target	cisTarget_ATF2;IKZF1.motif_target	cisTarget_PARP1.motif_target	cisTarget_ZNF408.motif_target	cisTarget_ZNF682.motif_target	cisTarget_ATF5.motif_target	cisTarget_ZNF784.motif_target	cisTarget_HMGA1;HMGA2.motif_target	cisTarget_ZKSCAN7.motif_target	cisTarget_ZNF134.motif_target	cisTarget_CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;DLX2;GCM1;HOXA2;HOXA3;TEAD4.motif_target	cisTarget_ZNF98.motif_target	cisTarget_ZNF716.motif_target	cisTarget_ZNF382.motif_target	cisTarget_IRF5.motif_target	cisTarget_ZFP62.motif_target	cisTarget_ZBTB33.motif_target	cisTarget_EVX1.motif_target	cisTarget_ZNF343.motif_target	cisTarget_ZFP92.motif_target	cisTarget_HSF5.motif_target	cisTarget_ZNF426.motif_target	cisTarget_ZNF555.motif_target	cisTarget_ZNF791.motif_target	cisTarget_ZKSCAN2.motif_target	cisTarget_NR4A1.motif_target	cisTarget_ZNF34.motif_target	cisTarget_ZNF77.motif_target	cisTarget_ZNF429.motif_target	cisTarget_ELK1;ERF;ERG;ETV2;ETV5;ETV7;FLI1;SPDEF.motif_target	cisTarget_PRDM6.motif_target	cisTarget_ZNF250.motif_target	cisTarget_HIC1.motif_target	cisTarget_GZF1.motif_target	cisTarget_KLF3.motif_target	cisTarget_ZFP64.motif_target	cisTarget_GZF1;HSFY1;HSFY2.motif_target	cisTarget_ZNF783.motif_target	cisTarget_IRF4.motif_target	cisTarget_ZSCAN9.motif_target	cisTarget_ZNF671.motif_target	cisTarget_RBFOX2.motif_target	cisTarget_ZNF580.motif_target	cisTarget_ZNF71.motif_target	cisTarget_EP300;GTF2IRD1.motif_target	cisTarget_ATF2.motif_target	cisTarget_CEBPD;TEAD4.motif_target	cisTarget_ERF;ETV7.motif_target	cisTarget_GZF1;HSFY2.motif_target	cisTarget_ETV2;ETV7.motif_target	GATA4_CP_candidate	GATA4_CM_candidate	GATA4_CF_candidate	CBFB_CP_candidate	CBFB_CM_candidate	CBFB_CF_candidate	HMGA2_CP_candidate	HMGA2_CM_candidate	HMGA2_CF_candidate	ETV2_CP_candidate	ETV2_CM_candidate	ETV2_CF_candidate	PRDM6_CP_candidate	PRDM6_CM_candidate	PRDM6_CF_candidate	RBFOX2_CP_candidate	RBFOX2_CM_candidate	RBFOX2_CF_candidate
ANXA2	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
ARHGAP29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGNL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DACT1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA6	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0
ISL1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
LRRN4	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2C	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0
MSX2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
MYOCD	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
