CP_hi	CM_hi	CF_hi	CTS_cardiac.a
MSX2	1	0	1	1
MEF2C	1	1	0	1
SFRP5	1	1	0	1
NKD1	1	0	0	1
RGS5	1	1	1	1
ANXA2	1	1	1	1
ISL1	1	0	1	1
GATA6	1	1	0	1
TWIST1	1	0	1	1
KLF6	1	1	1	1
ARL4C	1	0	0	1
PLK2	0	0	0	1
GATA4	1	1	0	1
RBM24	0	1	0	1
ST3GAL5	0	0	0	1
TSPAN12	0	0	0	1
PODXL	1	1	0	1
PTH1R	0	1	0	1
TBX5	0	1	0	1
DPYSL3	0	0	0	1
RND3	0	0	0	1
ARHGAP29	0	0	0	1
CGNL1	0	0	0	1
SPATS2L	0	0	0	1
TUBB2A	0	0	0	1
NTNG1	0	0	0	1
DBT	0	0	0	1
MYOCD	0	1	0	1
LIPA	0	0	0	1
LRRN4	0	0	0	1
PDLIM3	0	0	0	1
PARD6B	0	0	0	1
SULF1	0	0	0	1
EEF2K	0	0	0	1
FAM83D	0	0	0	1
DACT1	0	0	0	1
STBD1	0	0	0	1
