"signature"	"gene"	"PageRank"	"EigenCentrality"	"PPI_cat"	"strength"	"normalized.strength"	"annd"	"rank_by_PR"	"rank_by_strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"p.PageRank"	"rank_by_p.PR"	"p.annd"	"rank_by_p.ANND"
"CTS_13"	"ADAM15"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"ADORA2A"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"AMPD2"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"AQP8"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"BCL6B"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"CD38"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"CDH5"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"DUSP2"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"EGLN3"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"ELK3"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"ETS1"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"ETV2"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"EXOC3L4"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"FBXO6"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"FMO1"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"GCC2"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"GIMAP1"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"GNGT2"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"GRAP"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"HSPG2"	0.100502512562814	1	"CTS"	0.00196316925372932	3.63549861801725e-05	2	1.5	1.5	1.5	2	NA	NA	NA	NA
"CTS_13"	"ICAM2"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"KCNE3"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"KLHL6"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
