"signature"	"gene"	"PPI_cat"	"normalized.strength"	"PCGC_AllCurated"
"CTS_8"	"EPHA2"	"CTS"	0.00034919959354847	FALSE
"CTS_8"	"FGF8"	"CTS"	0.000321547960879618	FALSE
"CTS_8"	"FGFR2"	"CTS"	0.000295392379264946	TRUE
"CTS_8"	"NPM3"	"CTS"	0.000187825524027116	FALSE
"CTS_8"	"NR2F1"	"CTS"	0.000183952214750853	FALSE
"HiG_8"	"CCNB1"	"HiG"	0.000292108610793267	FALSE
"HiG_8"	"KRT18"	"HiG"	0.000287492728551418	FALSE
"HiG_8"	"TPM1"	"HiG"	0.000284638699633209	FALSE
"HiG_8"	"CDC20"	"HiG"	0.00027896409833	FALSE
"HiG_8"	"HSPA5"	"HiG"	0.000271854140675078	FALSE
