CP_hi	CM_hi	CF_hi	CTS_13
ETV2	1	0	1	1
PLVAP	1	0	1	1
GNGT2	1	0	1	1
CTLA2A	0	0	1	1
TAL1	1	1	0	1
ICAM2	1	0	1	1
CDH5	0	0	1	1
RASIP1	1	0	1	1
UPP1	1	0	1	1
RHOJ	1	0	1	1
EXOC3L4	1	0	1	1
GRAP	1	0	1	1
ELK3	1	0	1	1
DUSP2	1	1	1	1
CD59A	1	0	1	1
LYL1	1	0	1	1
PECAM1	0	0	1	1
KLHL6	0	0	1	1
MYZAP	0	0	1	1
GIMAP1	0	0	1	1
RIPK3	0	0	1	1
ORAI1	0	0	1	1
OIT3	0	0	1	1
KCNE3	0	0	1	1
UBASH3B	0	1	1	1
HSPG2	0	0	1	1
BC028528	0	0	1	1
GCC2	1	0	0	1
TEK	0	0	1	1
N4BP3	0	0	1	1
TNNT1	0	0	0	1
RGL1	0	0	1	1
CD38	0	0	1	1
MALL	0	0	0	1
CXX1B	0	0	0	1
AQP8	0	1	0	1
RAB3B	0	0	0	1
FBXO6	0	1	1	1
PLXND1	0	0	1	1
EGLN3	0	0	0	1
ETS1	0	0	1	1
CTLA2B	0	0	1	1
ADAM15	0	0	1	1
TIE1	0	0	1	1
TMEM38B	0	0	0	1
TSPAN8	0	0	1	1
THSD1	0	0	1	1
TXNIP	0	0	0	1
NID1	0	0	0	1
MAP3K11	0	0	0	1
ORAI3	0	0	0	1
ADORA2A	0	0	0	1
PXDC1	0	0	0	1
FMO1	0	0	0	1
AMPD2	0	0	0	1
RHBDF1	0	0	0	1
BCL6B	0	0	0	1
TMEM255A	0	0	0	1
XIAP	0	0	0	1
WAS	0	0	0	1
