CP_hi	CM_hi	CF_hi	CTS_13	cisTarget_HAND1;HAND2.motif_target	cisTarget_PLAG1.motif_target	cisTarget_FOXA2;FOXD2.motif_target	HAND2_CP_candidate	HAND2_CM_candidate	HAND2_CF_candidate	FOXA2_CP_candidate	FOXA2_CM_candidate	FOXA2_CF_candidate
ETV2	1	0	1	1	0	0	1	0	0	0	1	0	1
PLVAP	1	0	1	1	0	0	0	0	0	0	0	0	0
GNGT2	1	0	1	1	0	1	1	0	0	0	1	0	1
CTLA2A	0	0	1	1	0	0	0	0	0	0	0	0	0
TAL1	1	1	0	1	0	0	0	0	0	0	0	0	0
ICAM2	1	0	1	1	0	1	0	0	0	0	0	0	0
CDH5	0	0	1	1	0	0	0	0	0	0	0	0	0
RASIP1	1	0	1	1	0	0	0	0	0	0	0	0	0
UPP1	1	0	1	1	0	0	1	0	0	0	1	0	1
RHOJ	1	0	1	1	1	0	0	1	0	1	0	0	0
EXOC3L4	1	0	1	1	0	0	0	0	0	0	0	0	0
GRAP	1	0	1	1	0	1	1	0	0	0	1	0	1
ELK3	1	0	1	1	0	1	0	0	0	0	0	0	0
DUSP2	1	1	1	1	0	0	1	0	0	0	1	1	1
CD59A	1	0	1	1	0	0	0	0	0	0	0	0	0
LYL1	1	0	1	1	0	0	0	0	0	0	0	0	0
PECAM1	0	0	1	1	0	0	0	0	0	0	0	0	0
KLHL6	0	0	1	1	0	0	0	0	0	0	0	0	0
MYZAP	0	0	1	1	0	0	0	0	0	0	0	0	0
GIMAP1	0	0	1	1	0	0	0	0	0	0	0	0	0
RIPK3	0	0	1	1	0	0	0	0	0	0	0	0	0
ORAI1	0	0	1	1	0	0	0	0	0	0	0	0	0
OIT3	0	0	1	1	0	0	0	0	0	0	0	0	0
KCNE3	0	0	1	1	1	0	0	0	0	1	0	0	0
UBASH3B	0	1	1	1	1	0	0	0	1	1	0	0	0
HSPG2	0	0	1	1	0	0	0	0	0	0	0	0	0
BC028528	0	0	1	1	0	0	0	0	0	0	0	0	0
GCC2	1	0	0	1	0	1	0	0	0	0	0	0	0
TEK	0	0	1	1	0	0	0	0	0	0	0	0	0
N4BP3	0	0	1	1	0	0	1	0	0	0	0	0	1
TNNT1	0	0	0	1	0	1	0	0	0	0	0	0	0
RGL1	0	0	1	1	0	0	0	0	0	0	0	0	0
CD38	0	0	1	1	1	1	0	0	0	1	0	0	0
MALL	0	0	0	1	0	0	0	0	0	0	0	0	0
CXX1B	0	0	0	1	0	0	0	0	0	0	0	0	0
AQP8	0	1	0	1	0	0	0	0	0	0	0	0	0
RAB3B	0	0	0	1	0	0	0	0	0	0	0	0	0
FBXO6	0	1	1	1	0	0	0	0	0	0	0	0	0
PLXND1	0	0	1	1	1	0	1	0	0	1	0	0	1
EGLN3	0	0	0	1	1	0	0	0	0	0	0	0	0
ETS1	0	0	1	1	1	0	0	0	0	1	0	0	0
CTLA2B	0	0	1	1	0	0	0	0	0	0	0	0	0
ADAM15	0	0	1	1	0	0	0	0	0	0	0	0	0
TIE1	0	0	1	1	1	0	0	0	0	1	0	0	0
TMEM38B	0	0	0	1	0	0	0	0	0	0	0	0	0
TSPAN8	0	0	1	1	1	0	0	0	0	1	0	0	0
THSD1	0	0	1	1	0	0	0	0	0	0	0	0	0
TXNIP	0	0	0	1	0	0	0	0	0	0	0	0	0
NID1	0	0	0	1	0	0	0	0	0	0	0	0	0
MAP3K11	0	0	0	1	1	0	0	0	0	0	0	0	0
ORAI3	0	0	0	1	0	0	0	0	0	0	0	0	0
ADORA2A	0	0	0	1	1	0	0	0	0	0	0	0	0
PXDC1	0	0	0	1	0	0	0	0	0	0	0	0	0
FMO1	0	0	0	1	0	0	0	0	0	0	0	0	0
AMPD2	0	0	0	1	0	0	0	0	0	0	0	0	0
RHBDF1	0	0	0	1	0	0	0	0	0	0	0	0	0
BCL6B	0	0	0	1	0	0	0	0	0	0	0	0	0
TMEM255A	0	0	0	1	1	0	0	0	0	0	0	0	0
XIAP	0	0	0	1	0	0	0	0	0	0	0	0	0
WAS	0	0	0	1	0	0	0	0	0	0	0	0	0
