"signature"	"gene"	"PageRank"	"EigenCentrality"	"PPI_cat"	"strength"	"normalized.strength"	"annd"	"rank_by_PR"	"rank_by_strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"p.PageRank"	"rank_by_p.PR"	"p.annd"	"rank_by_p.ANND"
"CTS_11"	"1810011O10Rik"	0.00430416068866571	5.98051687928466e-19	"CTS"	0	0	NA	42	42	42	NA	NA	NA	NA	NA
"CTS_11"	"Aard"	0.00430416068866571	5.98051687928466e-19	"CTS"	0	0	NA	42	42	42	NA	NA	NA	NA	NA
"CTS_11"	"Abhd4"	0.00430416068866571	5.98051687928466e-19	"CTS"	0	0	NA	42	42	42	NA	NA	NA	NA	NA
"CTS_11"	"Akr1b8"	0.00430416068866571	5.98051687928466e-19	"CTS"	0	0	NA	42	42	42	NA	NA	NA	NA	NA
"CTS_11"	"Asb4"	0.0524839045437767	0.00366216918756714	"CTS"	0.206502629833904	0.00413005259667809	1.89221551282018	4	5	5	28	NA	NA	NA	NA
"CTS_11"	"Baiap2l1"	0.00913009093211714	0.13261446377209	"CTS"	0.0287943995392053	0.000575887990784106	6.45761171490124	30	25	25	6	NA	NA	NA	NA
"CTS_11"	"Bcar3"	0.00430416068866571	5.98051687928466e-19	"CTS"	0	0	NA	42	42	42	NA	NA	NA	NA	NA
"CTS_11"	"Ccdc80"	0.0220498380297947	0.102663877984544	"CTS"	0.083542849061189	0.00167085698122378	6.69225935039619	21	15	15	5	NA	NA	NA	NA
"CTS_11"	"Cox4i2"	0.0372351991263896	0.000142076225574082	"CTS"	0.0416759116354057	0.000833518232708115	1.65290343592904	8	22	22	29	NA	NA	NA	NA
"CTS_11"	"Cthrc1"	0.0144106802171521	0.0801061380234919	"CTS"	0.045001362309598	0.000900027246191959	8.12275984419208	27	20	20	1	NA	NA	NA	NA
"CTS_11"	"Dhrs7"	0.0286944045911047	0	"CTS"	0.00293559611875087	5.87119223750175e-05	1	14.5	31.5	31.5	31	NA	NA	NA	NA
"CTS_11"	"Efemp2"	0.0374655559003568	0.146736013100363	"CTS"	0.134457827029054	0.00268915654058109	5.73765533871615	7	10	10	9	NA	NA	NA	NA
"CTS_11"	"Efna2"	0.031505994108096	0.487937387752324	"CTS"	0.142963715359843	0.00285927430719686	4.86629541035052	12	7	7	15	NA	NA	NA	NA
"CTS_11"	"Emp2"	0.0248503259877367	3.940657412239e-19	"CTS"	0.0314777026955266	0.000629554053910531	2	19	23	23	26	NA	NA	NA	NA
"CTS_11"	"Fam114a1"	0.00759418274900059	0.00770730805612201	"CTS"	0.00897766025914818	0.000179553205182963	5.1807714097254	32	30	30	14	NA	NA	NA	NA
