"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_1"	384	"Mcm7"	122.5	"HiG"
"HiG_1"	0	"Hoxa1"	332.5	"HiG"
"HiG_1"	5	"Ilf2"	220	"HiG"
"HiG_1"	98	"Uhrf1"	160	"HiG"
"HiG_1"	0	"Lsr"	332.5	"HiG"
"HiG_1"	0	"Ddt"	332.5	"HiG"
"HiG_1"	0	"Eef1e1"	332.5	"HiG"
"HiG_1"	0	"Meis3"	332.5	"HiG"
"HiG_1"	414	"Prkra"	111	"HiG"
"HiG_1"	0	"Tpm4"	332.5	"HiG"
"HiG_1"	0	"Fam162a"	332.5	"HiG"
"HiG_1"	9	"Gstm5"	213.5	"HiG"
"HiG_1"	1	"Etfb"	242	"HiG"
"HiG_1"	843	"Cnn2"	70	"HiG"
"HiG_1"	0	"Crabp2"	332.5	"HiG"
"HiG_1"	0	"Pafah1b3"	332.5	"HiG"
"HiG_1"	0	"Trim28"	332.5	"HiG"
"HiG_1"	0	"Snx6"	332.5	"HiG"
"HiG_1"	43	"Adh5"	184.5	"HiG"
"HiG_1"	0	"Tbcb"	332.5	"HiG"
"HiG_1"	2148	"Cdc20"	30	"HiG"
"HiG_1"	639	"Srm"	80	"HiG"
"HiG_1"	0	"Eif1b"	332.5	"HiG"
"HiG_1"	0	"Ddah2"	332.5	"HiG"
"HiG_1"	304	"Id3"	135	"HiG"
"HiG_1"	0	"Rala"	332.5	"HiG"
"HiG_1"	17	"Phlda2"	196.5	"HiG"
"HiG_1"	0	"Igf2bp1"	332.5	"HiG"
"HiG_1"	423	"Cacybp"	104	"HiG"
"HiG_1"	1	"Hoxa2"	242	"HiG"
"HiG_1"	569	"Ppp1cb"	85	"HiG"
"HiG_1"	8498	"Hspa8"	4	"HiG"
"HiG_1"	54	"H2afy"	176	"HiG"
"HiG_1"	81	"Slc25a5"	162	"HiG"
"HiG_1"	0	"Ppdpf"	332.5	"HiG"
"HiG_1"	303	"Aldoc"	136	"HiG"
"HiG_1"	0	"Igfbp4"	332.5	"HiG"
"HiG_1"	1	"Wsb1"	242	"HiG"
"HiG_1"	1093	"Kpna2"	57	"HiG"
"HiG_1"	0	"Gabarap"	332.5	"HiG"
"HiG_1"	0	"Pdlim4"	332.5	"HiG"
"HiG_1"	1603	"Hoxb1"	42	"HiG"
"HiG_1"	0	"Tecr"	332.5	"HiG"
"HiG_1"	458	"Fbxo5"	95.5	"HiG"
"HiG_1"	21	"Hdac2"	191.5	"HiG"
"HiG_1"	414	"Traf3ip2"	111	"HiG"
"HiG_1"	200	"Asf1a"	146	"HiG"
"HiG_1"	3	"Dusp6"	228	"HiG"
"HiG_1"	417	"Arg1"	107	"HiG"
"HiG_1"	422	"Socs2"	105	"HiG"
"HiG_1"	0	"Hnrnph3"	332.5	"HiG"
"HiG_1"	0	"H2afy2"	332.5	"HiG"
"HiG_1"	16	"Ppa1"	200.5	"HiG"
"HiG_1"	16	"Csrp2"	200.5	"HiG"
"HiG_1"	0	"Bzw2"	332.5	"HiG"
"HiG_1"	3	"Sdc1"	228	"HiG"
"HiG_1"	1750	"Rrm2"	36	"HiG"
"HiG_1"	1206	"Slc9a3r1"	53	"HiG"
"HiG_1"	80	"Fam64a"	163	"HiG"
"HiG_1"	8	"Luc7l3"	215.5	"HiG"
"HiG_1"	0	"Dcakd"	332.5	"HiG"
"HiG_1"	416	"Zfp36l1"	108.5	"HiG"
"HiG_1"	0	"Dek"	332.5	"HiG"
"HiG_1"	745	"Ptch1"	73	"HiG"
"HiG_1"	0	"Sfxn1"	332.5	"HiG"
"HiG_1"	0	"Dbn1"	332.5	"HiG"
"HiG_1"	564	"Glrx"	86	"HiG"
"HiG_1"	0	"Hapln1"	332.5	"HiG"
"HiG_1"	0	"Emb"	332.5	"HiG"
"HiG_1"	413	"Arf4"	113	"HiG"
"HiG_1"	45	"Tkt"	180.5	"HiG"
"HiG_1"	0	"Bnip3l"	332.5	"HiG"
"HiG_1"	0	"Acin1"	332.5	"HiG"
"HiG_1"	443	"Laptm4b"	99	"HiG"
"HiG_1"	688	"Eif3e"	76	"HiG"
"HiG_1"	190	"Ppp1r1a"	147	"HiG"
"HiG_1"	0	"Litaf"	332.5	"HiG"
"HiG_1"	410	"Hes1"	115.5	"HiG"
"HiG_1"	342	"Ivns1abp"	131	"HiG"
"HiG_1"	2	"Pcbp4"	234.5	"HiG"
"HiG_1"	6985	"Hsp90ab1"	9	"HiG"
"HiG_1"	0	"Hn1l"	332.5	"HiG"
"HiG_1"	387	"Cdh2"	120	"HiG"
"HiG_1"	0	"Lmnb1"	332.5	"HiG"
"HiG_1"	8	"Fbn2"	215.5	"HiG"
"HiG_1"	266	"Cdx1"	140	"HiG"
"HiG_1"	846	"Psat1"	69	"HiG"
"HiG_1"	0	"Hells"	332.5	"HiG"
"HiG_1"	0	"Arl3"	332.5	"HiG"
"HiG_1"	14	"Gsto1"	206	"HiG"
"HiG_1"	610	"Maged1"	81	"HiG"
"HiG_1"	1195	"Hsd17b10"	54	"HiG"
"HiG_1"	10	"Maged2"	211.5	"HiG"
"HiG_1"	1	"Prdx4"	242	"HiG"
"HiG_1"	865	"Atp5b"	67	"HiG"
"HiG_1"	0	"Clns1a"	332.5	"HiG"
"HiG_1"	1	"Eif4a3"	242	"HiG"
"HiG_1"	424	"Cct8"	103	"HiG"
"HiG_1"	47	"Rdh10"	179	"HiG"
"HiG_1"	5794	"Hspd1"	11	"HiG"
"HiG_1"	355	"Wdr12"	128	"HiG"
"HiG_1"	12	"Itm2c"	209	"HiG"
"HiG_1"	11957	"Ncl"	1	"HiG"
"HiG_1"	26	"Mcm6"	187	"HiG"
"HiG_1"	5081	"Hspa5"	15	"HiG"
"HiG_1"	2	"Ube2e3"	234.5	"HiG"
"HiG_1"	0	"Hat1"	332.5	"HiG"
"HiG_1"	4	"Ola1"	222.5	"HiG"
"HiG_1"	0	"Nop10"	332.5	"HiG"
"HiG_1"	0	"Ccdc34"	332.5	"HiG"
"HiG_1"	740	"Meis2"	74	"HiG"
"HiG_1"	7625	"Mdk"	7	"HiG"
"HiG_1"	0	"Pdia3"	332.5	"HiG"
"HiG_1"	1877	"Pcna"	34	"HiG"
"HiG_1"	0	"Fabp5"	332.5	"HiG"
"HiG_1"	0	"Sall4"	332.5	"HiG"
"HiG_1"	1352	"Anxa5"	46	"HiG"
"HiG_1"	0	"Nmd3"	332.5	"HiG"
"HiG_1"	79	"Ppid"	164	"HiG"
"HiG_1"	66	"Gmps"	173	"HiG"
"HiG_1"	0	"Ssr3"	332.5	"HiG"
"HiG_1"	0	"Hadh"	332.5	"HiG"
"HiG_1"	5294	"Lef1"	14	"HiG"
"HiG_1"	1	"Cnn3"	242	"HiG"
"HiG_1"	0	"Ptbp2"	332.5	"HiG"
"HiG_1"	847	"Cyr61"	68	"HiG"
"HiG_1"	0	"Psip1"	332.5	"HiG"
"HiG_1"	0	"Txndc12"	332.5	"HiG"
"HiG_1"	0	"Ift74"	332.5	"HiG"
"HiG_1"	0	"Lrrc42"	332.5	"HiG"
"HiG_1"	0	"Tmem59"	332.5	"HiG"
"HiG_1"	139	"Pnrc2"	156	"HiG"
"HiG_1"	2010	"Nasp"	32	"HiG"
"HiG_1"	1	"Ebna1bp2"	242	"HiG"
"HiG_1"	509	"Sfpq"	92	"HiG"
"HiG_1"	76	"Stmn1"	166.5	"HiG"
"HiG_1"	0	"Ctnnbip1"	332.5	"HiG"
"HiG_1"	4	"Paics"	222.5	"HiG"
"HiG_1"	1	"Srsf9"	242	"HiG"
"HiG_1"	2	"Fscn1"	234.5	"HiG"
"HiG_1"	0	"Rasl11a"	332.5	"HiG"
"HiG_1"	14	"Tra2a"	206	"HiG"
"HiG_1"	414	"Ptms"	111	"HiG"
"HiG_1"	0	"Ldhb"	332.5	"HiG"
"HiG_1"	0	"Bcat1"	332.5	"HiG"
"HiG_1"	0	"Fkbp4"	332.5	"HiG"
"HiG_1"	929	"Arl6ip1"	64	"HiG"
"HiG_1"	0	"Mettl9"	332.5	"HiG"
"HiG_1"	0	"Bccip"	332.5	"HiG"
"HiG_1"	0	"Plp2"	332.5	"HiG"
"HiG_1"	0	"Hmgn5"	332.5	"HiG"
"HiG_1"	1667	"Rbbp7"	40	"HiG"
"HiG_1"	362	"Dkc1"	126	"HiG"
"HiG_1"	673	"Morf4l2"	77	"HiG"
"HiG_1"	0	"Prps1"	332.5	"HiG"
"HiG_1"	0	"Sap30"	332.5	"HiG"
"HiG_1"	75	"Slc25a4"	168	"HiG"
"HiG_1"	0	"Orc6"	332.5	"HiG"
