"graph_id"	"names"	"n_edge"	"STRING_id"	"vertex_index_to_remove"
"HiG_0"	"NOV"	20	"10090.ENSMUSP00000054389"	"609"
"HiG_0"	"HIST1H2BC"	28	"10090.ENSMUSP00000078239"	"63,420"
"HiG_1"	"HIST1H2BC"	36	"10090.ENSMUSP00000018246"	"392,447"
"HiG_10"	"AKAP2"	6	"10090.ENSMUSP00000048678"	"426"
"HiG_10"	"HIST1H2BC"	16	"10090.ENSMUSP00000078239"	"56,314"
"HiG_11"	"HIST1H2BC"	20	"10090.ENSMUSP00000078239"	"39,300"
"HiG_13"	"TRAC"	124	"10090.ENSMUSP00000083250"	"408"
"HiG_13"	"HIST1H2BC"	28	"10090.ENSMUSP00000078239"	"71,437"
"HiG_2"	"NOV"	18	"10090.ENSMUSP00000054389"	"651"
"HiG_2"	"HIST1H2BC"	42	"10090.ENSMUSP00000018246"	"384,445"
"HiG_3"	"NOV"	26	"10090.ENSMUSP00000131840"	"277"
"HiG_5"	"HIST1H2BC"	34	"10090.ENSMUSP00000018246"	"307,351"
"HiG_7"	"NOV"	4	"10090.ENSMUSP00000054389"	"379"
"HiG_8"	"NOV"	20	"10090.ENSMUSP00000054389"	"603"
"HiG_9"	"NOV"	14	"10090.ENSMUSP00000054389"	"484"
"HiG_9"	"AKAP2"	6	"10090.ENSMUSP00000048678"	"454"
"HiG_12"	"AKAP2"	2	"10090.ENSMUSP00000117466"	"136"
"HiG_6"	"AKAP2"	10	"10090.ENSMUSP00000048678"	"488"
"HiG_4"	"AKAP2"	6	"10090.ENSMUSP00000117466"	"259"
"HiG_4"	"HIST1H2BC"	34	"10090.ENSMUSP00000018246"	"304,348"
