graph_id	input_symbol	STRING_id	gene_id	gene_symbol_biomart	decision	pick_reason
HiG_0	NOV	10090.ENSMUSP00000054389	ENSMUSG00000037362	Ccn3	KEPT	fallback_first_row
HiG_0	NOV	10090.ENSMUSP00000131840	ENSMUSG00000030084	Plxna1	DROPPED	not_selected
HiG_0	HIST1H2BC	10090.ENSMUSP00000078239	ENSMUSG00000058385	H2bc8	KEPT	fallback_first_row
HiG_0	HIST1H2BC	10090.ENSMUSP00000061247	ENSMUSG00000047246	H2bc6	DROPPED	not_selected
HiG_0	HIST1H2BC	10090.ENSMUSP00000018246	ENSMUSG00000018102	H2bc4	DROPPED	not_selected
HiG_1	NOV	10090.ENSMUSP00000131840	ENSMUSG00000030084	Plxna1	KEPT	fallback_first_row
HiG_1	NOV	10090.ENSMUSP00000054389	ENSMUSG00000037362	Ccn3	DROPPED	not_selected
HiG_1	HIST1H2BC	10090.ENSMUSP00000018246	ENSMUSG00000018102	H2bc4	KEPT	fallback_first_row
HiG_1	HIST1H2BC	10090.ENSMUSP00000078239	ENSMUSG00000058385	H2bc8	DROPPED	not_selected
HiG_1	HIST1H2BC	10090.ENSMUSP00000061247	ENSMUSG00000047246	H2bc6	DROPPED	not_selected
HiG_10	AKAP2	10090.ENSMUSP00000048678	ENSMUSG00000038729	Pakap	KEPT	fallback_first_row
HiG_10	AKAP2	10090.ENSMUSP00000117466	ENSMUSG00000089945	Pakap	DROPPED	not_selected
HiG_10	HIST1H2BC	10090.ENSMUSP00000078239	ENSMUSG00000058385	H2bc8	KEPT	fallback_first_row
HiG_10	HIST1H2BC	10090.ENSMUSP00000018246	ENSMUSG00000018102	H2bc4	DROPPED	not_selected
HiG_10	HIST1H2BC	10090.ENSMUSP00000061247	ENSMUSG00000047246	H2bc6	DROPPED	not_selected
HiG_11	HIST1H2BC	10090.ENSMUSP00000078239	ENSMUSG00000058385	H2bc8	KEPT	fallback_first_row
HiG_11	HIST1H2BC	10090.ENSMUSP00000061247	ENSMUSG00000047246	H2bc6	DROPPED	not_selected
HiG_11	HIST1H2BC	10090.ENSMUSP00000018246	ENSMUSG00000018102	H2bc4	DROPPED	not_selected
