"signature"	"gene"	"PageRank"	"EigenCentrality"	"PPI_cat"	"strength"	"normalized.strength"	"annd"	"rank_by_PR"	"rank_by_strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"p.PageRank"	"rank_by_p.PR"	"p.annd"	"rank_by_p.ANND"
"CTS_11"	"1700018F24Rik"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"4833427G06Rik"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"4930563D23Rik"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"Adgrg2"	0.00415947958907345	0.00264350957104457	"CTS"	0.0145389348496883	0.000246422624570988	13	37	28	28	2.5	NA	NA	NA	NA
"CTS_11"	"Alas2"	0.0636864142705115	0.757234303912974	"CTS"	1.7468355460673	0.0296073821367338	11.8460501257774	5	5	5	7	NA	NA	NA	NA
"CTS_11"	"Ankrd36"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"Apol11b"	0.0127628297975106	0.099742306495231	"CTS"	0.219473649538409	0.00371989236505778	11.9184076919232	21	11	11	5	NA	NA	NA	NA
"CTS_11"	"Aqp8"	0.0210700305110584	0.0101625030010585	"CTS"	0.0682183769245399	0.00115624367668712	8.27120084348016	17	16	16	22	NA	NA	NA	NA
"CTS_11"	"Atp1b2"	0.0237247924080664	1.83011595281539e-20	"CTS"	0.000234058903351576	3.96710005680637e-06	1	13.5	37.5	37.5	38.5	NA	NA	NA	NA
"CTS_11"	"Bex4"	0.00575138690702452	0.00964833201705478	"CTS"	0.0530644837229364	0.000899398029202311	13	31	19	19	2.5	NA	NA	NA	NA
"CTS_11"	"C1qtnf1"	0.00457093140811911	2.94240276130183e-05	"CTS"	0.00543486336802108	9.21163282715438e-05	4	35	32	32	33.5	NA	NA	NA	NA
"CTS_11"	"C4b"	0.00441503013398711	0.00311005298944207	"CTS"	0.0111564361546559	0.000189092138214508	11.4836967244765	36	30	30	11	NA	NA	NA	NA
"CTS_11"	"Car1"	0.0242382813396266	0.163327035029225	"CTS"	0.544343047426255	0.0092261533462077	11.905529296025	11	9	9	6	NA	NA	NA	NA
"CTS_11"	"Car2"	0.0502197513111217	0.320350029815677	"CTS"	1.03305760483895	0.0175094509294738	10.3333261275194	7	7	7	16	NA	NA	NA	NA
"CTS_11"	"Clca3a1"	0.00961890450006528	5.5591298566329e-05	"CTS"	0.0103931460771296	0.000176155018256434	8.41866020913289	26	31	31	20	NA	NA	NA	NA
"CTS_11"	"Dpp4"	0.0173503697576983	3.28299809871499e-06	"CTS"	0.0181430812582857	0.000307509851835351	4.11124042405075	19	26	26	32	NA	NA	NA	NA
"CTS_11"	"Gal3st2"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"Gmpr"	0.00475119770842472	0.000987654021138564	"CTS"	0.0209445977941758	0.000354993182952132	6	33	25	25	24	NA	NA	NA	NA
"CTS_11"	"Gp5"	0.0193600481395729	0.000169150494408504	"CTS"	0.0553482419656968	0.00093810579602876	5.43804500124742	18	18	18	26	NA	NA	NA	NA
"CTS_11"	"Gp9"	0.0229634483827773	0.00663143352640541	"CTS"	0.0629781628787619	0.00106742648947054	5.35622612101309	15	17	17	27	NA	NA	NA	NA
"CTS_11"	"Gsc"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"Gstt1"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"Hba-a1"	0.0815176457441165	0.997027430951302	"CTS"	2.28006224112955	0.0386451227310093	11.5698435593104	1	1	1	9	NA	NA	NA	NA
"CTS_11"	"Hba-a2"	0.077882295605931	1	"CTS"	2.25156076959236	0.0381620469422433	11.2532894814156	2	2	2	13	NA	NA	NA	NA
"CTS_11"	"Hbb-bs"	0.0756771866947127	0.919566564230696	"CTS"	2.13850464025131	0.0362458413601917	10.9854375700786	3	3	3	15	NA	NA	NA	NA
"CTS_11"	"Hbb-bt"	0.052717735674162	0.776816741034982	"CTS"	1.57347197127305	0.0266690164622551	12.1266109241346	6	6	6	4	NA	NA	NA	NA
"CTS_11"	"Mageb16"	0.00480663281354914	4.68015751781353e-06	"CTS"	0.00289022541807218	4.89868714927489e-05	3	32	35	35	35	NA	NA	NA	NA
"CTS_11"	"Ms4a2"	0.0105881324917183	0.00953871693372198	"CTS"	0.0483231467067903	0.000819036384860852	5.6138589647024	25	20	20	25	NA	NA	NA	NA
"CTS_11"	"Nudt11"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"Olfr1138"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"Olfr1472"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"Olfr194"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
"CTS_11"	"Olfr420"	0.00355871886120996	7.44268849014087e-19	"CTS"	0	0	NA	50	50	50	NA	NA	NA	NA	NA
