"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_1"	0	"Ccnd2"	13.5	"HiG"
"HiG_1"	0	"Prtn3"	13.5	"HiG"
"HiG_1"	12	"Ctsg"	6	"HiG"
"HiG_1"	0	"H2afy"	13.5	"HiG"
"HiG_1"	26	"Cd34"	3	"HiG"
"HiG_1"	16	"Mpo"	4	"HiG"
"HiG_1"	12	"Myc"	6	"HiG"
"HiG_1"	0	"Fabp5"	13.5	"HiG"
"HiG_1"	30	"Elane"	1.5	"HiG"
"HiG_1"	0	"Ptprcap"	13.5	"HiG"
"HiG_1"	0	"Unc13d"	13.5	"HiG"
"HiG_1"	30	"Lgals1"	1.5	"HiG"
"HiG_1"	0	"Ccdc62"	13.5	"HiG"
"HiG_1"	0	"Ttf1"	13.5	"HiG"
"HiG_1"	0	"Ifitm1"	13.5	"HiG"
"HiG_1"	3	"Plac8"	8	"HiG"
"HiG_1"	12	"Srgn"	6	"HiG"
"HiG_1"	0	"Fth1"	13.5	"HiG"
"HiG_10"	8	"Klf6"	36	"HiG"
"HiG_10"	45	"Ccnd2"	25	"HiG"
"HiG_10"	63	"Cdh1"	23	"HiG"
"HiG_10"	92	"Ccl3"	16	"HiG"
"HiG_10"	320	"S100a6"	3	"HiG"
"HiG_10"	218	"Cpa3"	10	"HiG"
"HiG_10"	18	"Tpm4"	32	"HiG"
"HiG_10"	66	"Gata2"	21	"HiG"
"HiG_10"	0	"Gzmb"	59	"HiG"
"HiG_10"	0	"Mcpt8"	59	"HiG"
"HiG_10"	0	"H2afy"	59	"HiG"
"HiG_10"	202	"Ccl6"	11	"HiG"
"HiG_10"	273	"Ccl4"	5.5	"HiG"
"HiG_10"	0	"Ccl9"	59	"HiG"
"HiG_10"	0	"Nfkbia"	59	"HiG"
"HiG_10"	0	"Akr1c13"	59	"HiG"
"HiG_10"	0	"Akr1c18"	59	"HiG"
"HiG_10"	0	"Ctla2a"	59	"HiG"
"HiG_10"	0	"Ero1l"	59	"HiG"
"HiG_10"	29	"Itm2b"	28	"HiG"
"HiG_10"	0	"Slc7a8"	59	"HiG"
"HiG_10"	0	"Litaf"	59	"HiG"
"HiG_10"	7	"Anxa1"	37	"HiG"
"HiG_10"	0	"Sat1"	59	"HiG"
"HiG_10"	0	"Alox5"	59	"HiG"
"HiG_10"	0	"Stk17b"	59	"HiG"
"HiG_10"	244	"Vim"	8	"HiG"
"HiG_10"	17	"Gsn"	33	"HiG"
"HiG_10"	25	"Hdc"	29	"HiG"
"HiG_10"	0	"Ptms"	59	"HiG"
"HiG_10"	281	"Cd9"	4	"HiG"
"HiG_10"	688	"Tyrobp"	1	"HiG"
"HiG_10"	3	"Cyp11a1"	39	"HiG"
"HiG_10"	273	"Cd53"	5.5	"HiG"
"HiG_10"	0	"Serpina3g"	59	"HiG"
"HiG_10"	0	"Mboat1"	59	"HiG"
"HiG_10"	0	"Prss34"	59	"HiG"
"HiG_10"	192	"Grn"	12	"HiG"
"HiG_10"	0	"C3ar1"	59	"HiG"
"HiG_10"	0	"Aqp9"	59	"HiG"
"HiG_10"	0	"Basp1"	59	"HiG"
"HiG_10"	0	"Glb1"	59	"HiG"
"HiG_10"	0	"F2r"	59	"HiG"
"HiG_10"	24	"Alox5ap"	30	"HiG"
"HiG_10"	0	"Osm"	59	"HiG"
"HiG_10"	0	"Serpinb1a"	59	"HiG"
"HiG_10"	0	"Lilrb4a"	59	"HiG"
"HiG_10"	380	"Fcer1g"	2	"HiG"
"HiG_10"	71	"Tecpr1"	19	"HiG"
"HiG_10"	153	"Adgre1"	14	"HiG"
"HiG_10"	4	"Lgals1"	38	"HiG"
"HiG_10"	0	"Csf2rb2"	59	"HiG"
"HiG_10"	70	"Il1rl1"	20	"HiG"
"HiG_10"	0	"Itga2b"	59	"HiG"
"HiG_10"	156	"Sqstm1"	13	"HiG"
"HiG_10"	19	"Plek"	31	"HiG"
"HiG_10"	0	"Cxcr2"	59	"HiG"
"HiG_10"	0	"Anxa6"	59	"HiG"
"HiG_10"	79	"Slpi"	17	"HiG"
