CP_hi	CM_hi	CF_hi	CTS_11
1700016F12Rik	0	0	0	1
1700018F24Rik	0	0	0	1
1700036O09Rik	0	0	0	1
1700061E18Rik	0	0	0	1
4833427G06Rik	0	0	0	1
4930563D23Rik	0	0	0	1
5033403F01Rik	0	0	0	1
A730045E13Rik	0	0	0	1
Adgrg2	0	0	0	1
Alas2	0	0	0	1
Ankrd36	0	0	0	1
Apol11b	0	0	0	1
Aqp8	0	0	0	1
Atp1b2	0	0	0	1
Bex4	0	0	0	1
C1qtnf1	0	0	0	1
C4b	0	0	0	1
Car1	0	0	0	1
Car2	1	0	0	1
Clca3a1	0	0	0	1
Dpp4	0	0	0	1
Gal3st2	0	0	0	1
Gm15104	0	0	0	1
Gm26613	0	0	0	1
Gm26743	0	0	0	1
Gm44026	0	0	0	1
Gmpr	1	0	0	1
Gp5	0	0	0	1
Gp9	0	0	0	1
Gsc	0	0	0	1
Gstt1	0	0	0	1
Hba-a1	0	0	0	1
Hba-a2	0	0	0	1
Hbb-bs	0	0	0	1
Hbb-bt	1	0	1	1
Mageb16	0	0	0	1
Ms4a2	0	1	0	1
Nudt11	0	0	0	1
Olfr1472	0	0	0	1
Olfr420	0	0	0	1
Olfr444	0	0	0	1
Olfr808	0	0	0	1
Pbx1	1	0	1	1
Pklr	0	0	0	1
Platr19	0	0	0	1
Podxl	0	0	0	1
Ppy	0	0	0	1
Prkg1	0	0	0	1
Prnp	0	0	0	1
Rex2	0	0	0	1
Rhd	0	0	0	1
Samd14	0	0	0	1
Sapcd1	0	0	0	1
Scgb3a2	0	0	0	1
Scin	1	0	0	1
Serpina1e	0	0	0	1
Serpine1	0	0	0	1
Serpine2	0	0	1	1
Six2	0	0	0	1
Slc14a1	0	0	1	1
Slc18a2	0	0	0	1
Slc4a1	0	0	0	1
Snca	0	0	0	1
Tex21	0	0	0	1
Slc24a1	0	0	0	1
Ufsp1	0	0	0	1
Tmco5b	0	0	0	1
Olfr1138	0	0	0	1
Olfr194	0	0	0	1
Gm815	0	0	0	1
Vmo1	0	0	0	1
