geneSet	motif	NES	AUC	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
11	hdpi__ZBTB25	4.24	0.101	Zbtb25 (inferredBy_Orthology). 		17	2991	1700018F24Rik;Adgrg2;Alas2;Car2;Dpp4;Gmpr;Gstt1;Mageb16;Olfr420;Pbx1;Podxl;Prkg1;Scin;Serpine1;Six2;Slc14a1;Snca
11	transfac_public__M00205	4.15	0.0995	Nr3c1 (inferredBy_Orthology). 		10	777	4833427G06Rik;Aqp8;Car2;Gal3st2;Gm815;Hbb-bs;Nudt11;Ppy;Serpina1e;Slc18a2
11	metacluster_186.2	4	0.0968	Hnf4a; Nr1d2 (directAnnotation). Nr1d1; Nr2f2; Rara; Rorc (inferredBy_Orthology). 	Esrra; Nr1d2; Nr1d2; Rxra; Rxra (inferredBy_MotifSimilarity). Nr1d1; Nr2f2; Rara; Rora; Rorc; Rxrg (inferredBy_MotifSimilarity_n_Orthology). 	9	735	4833427G06Rik;Alas2;Bex4;Gp9;Hbb-bs;Mageb16;Prkg1;Slc4a1;Snca
11	transfac_pro__M05522	3.61	0.0899	Zfp341 (inferredBy_Orthology). 		10	1129	4833427G06Rik;Car1;Mageb16;Pbx1;Podxl;Scin;Serpine1;Slc14a1;Snca;Tmco5b
11	transfac_pro__M08906	3.6	0.0898	Nr2c2 (directAnnotation). 		8	605	4833427G06Rik;Bex4;Car2;Gstt1;Mageb16;Prkg1;Six2;Snca
11	metacluster_19.10	3.54	0.0888	Irx5 (directAnnotation). 	Irx2 (inferredBy_MotifSimilarity_n_Orthology). 	8	764	5033403F01Rik;Gmpr;Prkg1;Serpina1e;Serpine2;Six2;Slc14a1;Tmco5b
11	tfdimers__MD00525	3.46	0.0874	Nr3c1; Smad1 (inferredBy_Orthology). 	Bcl6; Nanog (inferredBy_MotifSimilarity). Bptf; Cebpa; Cebpb; Cebpd; Cebpe; Cebpg; Dbp; E2f1; E2f6; Elf1; Elf2; Elf4; Elf5; Elk1; Elk3; Elk4; Ep300; Erf; Erg; Ets1; Ets2; Etv4; Etv6; Fli1; Foxa1; Foxa2; Foxa3; Foxo1; Foxo4; Foxp3; Gabpa; Gabpb1; Gata1; Gata2; Gata3; Gata4; Gata5; Gata6; Gfi1; Gfi1b; Hdx; Hmga1b; Hmga2; Hsf1; Ikzf1; Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Irf9; Lef1; Myb; Nfatc1; Nfatc3; Nkx3-2; Pax4; Pgr; Pitx3; Pou3f1; Pou5f1; Rara; Rarb; Rarg; Rxra; Rxrb; Rxrg; Sirt6; Spi1; Spib; Sry; Stat1; Stat6; Taf6; Tbp; Tcf7l1; Tcf7l2; Thra; Thrb; Trp53; Trp63; Trp73; Vdr; Zeb1 (inferredBy_MotifSimilarity_n_Orthology). 	9	854	C1qtnf1;Gm815;Gsc;Hbb-bt;Samd14;Scgb3a2;Slc14a1;Snca;Tex21
11	transfac_public__M00104	3.46	0.0872	Cux1 (inferredBy_Orthology). 		8	701	Aqp8;Atp1b2;Olfr1138;Prkg1;Serpina1e;Slc14a1;Snca;Tex21
11	tfdimers__MD00043	3.38	0.0859	Hand1; Hnf4a; Hnf4g; Nr2f1; Nr2f2; Tcf3 (inferredBy_Orthology). 	Ascl1; Atf1; Atf2; Atf3; Atf4; Atf7; Bach1; Bach2; Cebpg; Churc1; Creb1; Crem; Cux1; Foxm1; Gm28047; Hic1; Hsf1; Hsf2; Ikzf2; Ing4; Maf; Mafa; Mafb; Maff; Mafg; Mafk; Meis1; Myb; Mycs; Myf5; Myf6; Myod1; Myog; Mzf1; Neurod1; Nfe2; Nfe2l1; Nfe2l2; Nfe2l3; Nfia; Nfic; Nr1h4; Nr3c1; Pgr; Ppara; Pura; Rfx1; Rfx2; Rfx3; Rfx4; Rfx5; Rfxank; Rfxap; Runx3; Rxra; Smad3; Srebf1; Srebf2; Tbx5; Tcf12; Tcf4; Tfap2a; Usf1; Yy1; Zfp42 (inferredBy_MotifSimilarity_n_Orthology). 	7	547	Gal3st2;Gmpr;Gstt1;Pklr;Prnp;Serpina1e;Serpine1
11	homer__AGATSTNDNNDSAGATAASN_GATA3	3.35	0.0854	Gata3 (directAnnotation). 	Gata1 (inferredBy_MotifSimilarity). Ascl1; Bhlhe40; Bhlhe41; Gata2; Gata4; Gata5; Gata6; Hand1; Hand2; Max; Mitf; Mxd1; Mxd3; Mxd4; Mxi1; Myc; Mycs; Myf5; Myf6; Myod1; Myog; Nhlh1; Tal1; Tal2; Tcf12; Tcf3; Tcf4; Tfe3; Tfeb; Usf1; Usf2 (inferredBy_MotifSimilarity_n_Orthology). 	9	868	5033403F01Rik;Aqp8;Atp1b2;Dpp4;Gm815;Olfr420;Olfr444;Samd14;Serpine2
11	transfac_pro__M12614	3.35	0.0853	Hey1 (inferredBy_Orthology). 		17	3368	Adgrg2;Alas2;Ankrd36;C1qtnf1;Gp5;Gsc;Gstt1;Hbb-bs;Mageb16;Ms4a2;Olfr1472;Olfr420;Samd14;Serpine1;Serpine2;Slc24a1;Snca
11	c2h2_zfs__M0369	3.34	0.0852	Bcl6b (directAnnotation). 		9	1129	Alas2;Dpp4;Gsc;Mageb16;Pbx1;Prkg1;Samd14;Serpine2;Snca
11	jaspar__MA1999.1	3.27	0.0839	Prdm5 (directAnnotation). 		8	946	Alas2;Atp1b2;C1qtnf1;Car2;Mageb16;Olfr420;Slc24a1;Snca
11	tfdimers__MD00046	3.26	0.0838	Gata1; Gata2; Gata3; Gata4; Gata5; Gata6; Smad4 (inferredBy_Orthology). 	Tal1 (inferredBy_MotifSimilarity). Ascl1; Bhlhe40; Bhlhe41; Ccnt2; Elk1; Hand1; Hand2; Ing4; Max; Mitf; Mxd1; Mxd3; Mxd4; Mxi1; Myb; Myc; Mycs; Myf5; Myf6; Myod1; Myog; Ncoa1; Nhlh1; Nr3c1; Pax4; Tal2; Tcf12; Tcf3; Tcf4; Tfe3; Tfeb; Trp53; Trp63; Trp73; Trps1; Usf1; Usf2; Wt1; Yy1; Zglp1 (inferredBy_MotifSimilarity_n_Orthology). 	25	4650	1700018F24Rik;Alas2;Ankrd36;Apol11b;Aqp8;Car1;Car2;Dpp4;Gm815;Gmpr;Gp9;Mageb16;Ms4a2;Nudt11;Pklr;Podxl;Ppy;Prkg1;Rhd;Samd14;Sapcd1;Scin;Slc14a1;Snca;Vmo1
11	metacluster_178.9	3.25	0.0836	Zfp536 (directAnnotation). Zfp536 (inferredBy_Orthology). 		11	1513	Car1;Clca3a1;Dpp4;Mageb16;Ms4a2;Nudt11;Pbx1;Rex2;Serpine1;Serpine2;Tex21
11	metacluster_155.32	3.2	0.0828	Zfy1; Zfy2 (directAnnotation). Hic1; Zbtb18; Zbtb42 (inferredBy_Orthology). 	Zfy1; Zfy1; Zfy2; Zfy2 (inferredBy_MotifSimilarity). Zbtb18; Zbtb42 (inferredBy_MotifSimilarity_n_Orthology). 	5	260	Apol11b;Gm815;Hbb-bs;Olfr420;Slc4a1
