"signature"	"gene"	"PageRank"	"PPI_cat"	"EigenCentrality"	"p.PageRank"	"rank_by_p.PR"	"rank_by_PR"	"annd"	"p.annd"	"strength"	"rank_by_strength"	"normalized.strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"rank_by_p.ANND"
"CTS_cardiac.a"	"Anxa2"	0.0211856151661891	"CTS"	0.0206828873849996	0.626	19	18	5.08584114217381	0	0.161758168396259	17	0.00449328245545165	17	22	15.5
"CTS_cardiac.a"	"Arhgap29"	0.0252209803390198	"CTS"	0.00623047879768023	0.614	17.5	15	4.74078632646597	0	0.178723909829196	16	0.00496455305081101	16	24	15.5
"CTS_cardiac.a"	"Dact1"	0.00835724066815874	"CTS"	0.00466879046031108	0.582	9.5	27	4.12542753749725	0	0.0270022985998946	27	0.000750063849997072	27	26	15.5
"CTS_cardiac.a"	"Dpysl3"	0.0226105713218459	"CTS"	0.00572024635921341	0.603	15	16	5	0	0.148687700292034	18	0.00413021389700093	18	23	15.5
"CTS_cardiac.a"	"Fam83d"	0.00713387349850936	"CTS"	0.00207401166866851	0.584	11	28	7	0	0.0202827777014901	28	0.000563410491708059	28	17	15.5
"CTS_cardiac.a"	"Gata4"	0.0696069222123751	"CTS"	0.743104187261628	0.714	23	3	9.52736752176559	0	0.970423285064023	3	0.0269562023628895	3	8	15.5
"CTS_cardiac.a"	"Gata6"	0.0538057899149877	"CTS"	0.549348718526205	0.722	24	5	9.0766865856134	0	0.729839269771835	5	0.0202733130492176	5	9	15.5
"CTS_cardiac.a"	"Isl1"	0.0439563482385409	"CTS"	0.597317156119	0.756	29	9	11.1514112487195	0	0.651516018325389	6	0.0180976671757052	6	3	15.5
"CTS_cardiac.a"	"Klf6"	0.0406237764904985	"CTS"	0.227595022962612	0.64	20	10	8.36868331486437	0	0.438624196721574	10	0.0121840054644882	10	12	15.5
"CTS_cardiac.a"	"Lrrn4"	0.0214279288985336	"CTS"	0.00783081667113024	0.599	14	17	5.51375555846602	0	0.142828742410149	20	0.00396746506694859	20	20	15.5
"CTS_cardiac.a"	"Mef2c"	0.118217061269662	"CTS"	1	0.713	22	1	7.77927276254079	0	1.64464750011498	1	0.0456846527809716	1	15	15.5
"CTS_cardiac.a"	"Msx2"	0.0613089852750574	"CTS"	0.614525500440903	0.761	30	4	8.78991484580791	0	0.895156928250783	4	0.0248654702291884	4	10	15.5
"CTS_cardiac.a"	"Myocd"	0.0464399383743183	"CTS"	0.521434349400172	0.741	25	7	9.53072394973859	0	0.632402612636479	7	0.0175667392399022	7	7	15.5
"CTS_cardiac.a"	"Nkd1"	0.0452924641101635	"CTS"	0.0615803564527645	0.575	6	8	4.14364754316072	0	0.294243875334888	11	0.00817344098152466	11	25	15.5
"CTS_cardiac.a"	"Ntng1"	0.0189972214170175	"CTS"	0.0721656708251864	0.582	9.5	19	7.99813385700948	0	0.143962968935325	19	0.00399897135931459	19	14	15.5
"CTS_cardiac.a"	"Pard6b"	0.0119935304206062	"CTS"	0.0171188868592327	0.611	16	24	7.69150069772514	0	0.0723496107536716	23	0.00200971140982421	23	16	15.5
"CTS_cardiac.a"	"Pdlim3"	0.0317377638818125	"CTS"	0.026072900821673	0.598	12.5	13	2.99007970108959	0	0.223361360920231	13	0.00620448224778421	13	29	15.5
"CTS_cardiac.a"	"Plk2"	0.0288260099209732	"CTS"	0.0863790489937596	0.561	3	14	8.10408595396941	0	0.215796958203311	14	0.00599435995009198	14	13	15.5
"CTS_cardiac.a"	"Podxl"	0.0169898051736712	"CTS"	0.0539388401631207	0.565	4	20	6.47412985755011	0	0.128387773682237	21	0.0035663270467288	21	18	15.5
"CTS_cardiac.a"	"Pth1r"	0.0154870767431172	"CTS"	0.140497646203478	0.742	26	22	10.099602180492	0	0.179220233826915	15	0.00497833982852543	15	5	15.5
"CTS_cardiac.a"	"Rbm24"	0.00938077104281468	"CTS"	0.0761828183946818	0.614	17.5	26	13.3277097997749	0	0.0694041521297927	25	0.00192789311471646	25	2	15.5
"CTS_cardiac.a"	"Rgs5"	0.00999326978843476	"CTS"	0.0839513532063498	0.674	21	25	13.3530553053922	0	0.0839062441543288	22	0.00233072900428691	22	1	15.5
"CTS_cardiac.a"	"Rnd3"	0.0380095983007984	"CTS"	0.0347902324751503	0.598	12.5	11	5.23486812942688	0	0.277371186273747	12	0.00770475517427074	12	21	15.5
"CTS_cardiac.a"	"Sfrp5"	0.0504194698363935	"CTS"	0.271865647356829	0.546	1	6	8.39731668449067	0	0.482693695555437	9	0.0134081582098732	9	11	15.5
"CTS_cardiac.a"	"Spats2l"	0.00636869506978995	"CTS"	2.06773372080947e-05	0.558	2	29	2	0	0.00554726949760088	30	0.000154090819377802	30	30	15.5
"CTS_cardiac.a"	"Sulf1"	0.0152980833619054	"CTS"	0.00438821189096665	0.567	5	23	3.91892009114696	0	0.0698570918065685	24	0.00194047477240468	24	27	15.5
"CTS_cardiac.a"	"Tbx5"	0.0701509048995749	"CTS"	0.854429843841568	0.744	27	2	10.813688741445	0	1.05224085736664	2	0.0292289127046288	2	4	15.5
"CTS_cardiac.a"	"Tspan12"	0.0158955150678836	"CTS"	0.00314876318235281	0.577	7	21	3.65855469912483	0	0.048739310367275	26	0.00135386973242431	26	28	15.5
"CTS_cardiac.a"	"Tubb2a"	0.00568266818827653	"CTS"	0.000408781599842543	0.579	8	30	6.23556160709025	0	0.00735612440550585	29	0.000204336789041829	29	19	15.5
"CTS_cardiac.a"	"Twist1"	0.0357656959882976	"CTS"	0.414256131457301	0.752	28	12	9.60100943766975	0	0.509554053460836	8	0.014154279262801	8	6	15.5
"CTS_endothelial.b"	"Abi3"	0.0344893459631345	"CTS"	0.0340701979823655	0.489	5	13	3.69779375147307	0	0.373700278427117	11	0.0116781337008474	11	25	14.5
"CTS_endothelial.b"	"C1ql2"	0.00821796712437528	"CTS"	0.0247091431093808	0.638	16	28	12	0	0.0559517718034771	26	0.00174849286885866	26	3	14.5
"CTS_endothelial.b"	"Cd34"	0.0557693336609246	"CTS"	0.472333821727259	0.681	21	6	9.45248646089898	0	0.915682968823416	7	0.0286150927757317	7	13	14.5
"CTS_endothelial.b"	"Cd40"	0.016585967020514	"CTS"	0.0622058649164139	0.545	13	20	9.36312185427659	0	0.183512885887206	17	0.00573477768397519	17	14	14.5
"CTS_endothelial.b"	"Cdh5"	0.0961515382023269	"CTS"	0.843421605833617	0.678	20	1	9.6299470240309	0	1.67486337967197	1	0.0523394806147491	1	12	14.5
"CTS_endothelial.b"	"Ctla2a"	0.0238583364060061	"CTS"	0.0118329796100276	0.415	4	16	4.7520382774936	0	0.160658707165768	19	0.00502058459893025	19	23	14.5
"CTS_endothelial.b"	"Dusp4"	0.0347826086956522	"CTS"	0	0.231	1	11.5	1	0	0.0140692227858439	27.5	0.000439663212057623	27	27.5	14.5
"CTS_endothelial.b"	"Ebf1"	0.019738497479925	"CTS"	0.203805747805471	0.753	28	17	10.9753662781782	0	0.293484108478943	13	0.00917137838996697	13	7	14.5
"CTS_endothelial.b"	"Etv2"	0.0708194022026109	"CTS"	0.896212613100005	0.719	26	3	10.8345819631846	0	1.31703824033497	3	0.0411574450104677	3	8	14.5
"CTS_endothelial.b"	"Fev"	0.010046980068793	"CTS"	0.0690925349124759	0.674	19	26	8.92956991039716	0	0.103261170692119	22	0.00322691158412872	22	17	14.5
"CTS_endothelial.b"	"Fxyd5"	0.0307126341617138	"CTS"	0.00222754164174772	0.402	3	14	2.17734408874983	0	0.200392269594087	16	0.00626225842481522	16	26	14.5
"CTS_endothelial.b"	"Gab1"	0.00951937737128595	"CTS"	0.00833542813583452	0.533	11	27	5.67474888152074	0	0.0623955376269779	25	0.00194986055084306	25	22	14.5
"CTS_endothelial.b"	"Gata2"	0.0698924864394032	"CTS"	0.81053204357917	0.703	24	4	9.0970496562008	0	1.2866652484565	4	0.0402082890142656	4	16	14.5
"CTS_endothelial.b"	"Gimap1"	0.01585887438231	"CTS"	0.0478062139301231	0.538	12	21	9.91188475994235	0	0.169798989324832	18	0.00530621841640099	18	11	14.5
"CTS_endothelial.b"	"Gngt2"	0.0280814043875902	"CTS"	0.0387263932384671	0.511	8	15	6.15913931929354	0	0.314559631718319	12	0.00982998849119747	12	21	14.5
"CTS_endothelial.b"	"Grrp1"	0.0109630228360071	"CTS"	0.0593883081643347	0.615	14	24	12.6645639049073	0	0.109668384069445	20	0.00342713700217017	20	1	14.5
"CTS_endothelial.b"	"Hhex"	0.0511975041754579	"CTS"	0.66722225989167	0.717	25	7	10.0778521491817	0	0.924847155987687	5	0.0289014736246152	5	10	14.5
"CTS_endothelial.b"	"Icam2"	0.06186862223749	"CTS"	0.394126504921742	0.49	6	5	9.15875204507788	0	0.921008461587173	6	0.0287815144245992	6	15	14.5
"CTS_endothelial.b"	"Ifitm3"	0.0134372446086717	"CTS"	0.017748441516581	0.514	10	23	7.84772069780238	0	0.0943449638197208	23	0.00294828011936627	23	20	14.5
"CTS_endothelial.b"	"Igf1"	0.0383063998625521	"CTS"	0.292845086620835	0.697	23	10	11.9421577865434	0	0.583980571148935	10	0.0182493928484042	10	4	14.5
"CTS_endothelial.b"	"Lhfp"	0.0138769334197258	"CTS"	0.00600404984966671	0.513	9	22	4.17575804131971	0	0.0860687954461014	24	0.00268964985769067	24	24	14.5
"CTS_endothelial.b"	"Npr1"	0.0109317450591053	"CTS"	0.0622086790384876	0.635	15	25	12.2276986995526	0	0.107883973687215	21	0.00337137417772546	21	2	14.5
"CTS_endothelial.b"	"Nrp2"	0.0175141800348588	"CTS"	0.123082838093823	0.645	17	19	11.4984342607085	0	0.225550617104229	14	0.00704845678450717	14	5	14.5
"CTS_endothelial.b"	"Rhoj"	0.0195638576878513	"CTS"	0.124939674764439	0.502	7	18	8.6088781587347	0	0.208338957410025	15	0.00651059241906329	15	19	14.5
"CTS_endothelial.b"	"Slc66a2"	0.0347826086956522	"CTS"	0	0.234	2	11.5	1	0	0.0140692227858439	27.5	0.000439663212057623	28	27.5	14.5
"CTS_endothelial.b"	"Sox17"	0.0503336129452307	"CTS"	0.470790891184335	0.659	18	8	8.81410857278599	0	0.797785740238611	8	0.0249308043824566	8	18	14.5
"CTS_endothelial.b"	"Tal1"	0.0809977083314593	"CTS"	1	0.727	27	2	10.3281265821874	0	1.55162490075272	2	0.0484882781485226	2	9	14.5
"CTS_endothelial.b"	"Tek"	0.045614850017633	"CTS"	0.483909024251393	0.687	22	9	11.1749891050821	0	0.771979783130829	9	0.0241243682228384	9	6	14.5
"HiG_blood"	"1110059E24Rik"	0.000365386661487037	"HiG"	0.000168700654154182	0.474	314.5	516	40	0	0.209	503	0.000374551971326165	503	461	279
"HiG_blood"	"Aard"	0.000279542047315428	"HiG"	1.76929679450211e-07	0.292	107	551	15	0	0.00263795695253957	557	4.7275214203218e-06	557	547	279
"HiG_blood"	"Aars"	0.00391493083620028	"HiG"	0.0404096418827886	0.257	63	49	62.1442017197304	0	8.606	64	0.0154229390681004	64	362	279
"HiG_blood"	"Abhd17a"	0.00051259503688831	"HiG"	0.00313929494969927	0.718	501	453	39.9349593495935	0	0.615	424	0.00110215053763441	424	462	279
"HiG_blood"	"Abi3"	0.000783256328128239	"HiG"	0.0499546237890083	0.645	443	326	86.6900528607092	0	1.62222586505719	296	0.00290721481193045	296	269	279
"HiG_blood"	"Acot9"	0.000288347502225803	"HiG"	2.19638124585658e-05	0.444	287.5	546	54.7489411141865	0	0.0117091757796916	548	2.09841859851104e-05	548	395	279
"HiG_blood"	"Actb"	0.00768204188378643	"HiG"	0.422365782491929	0.42	251.5	13	88.0722679862659	0	21.5285613099563	15	0.0385816510931116	15	260	279
"HiG_blood"	"Actr3"	0.0138198561425323	"HiG"	0.552799658241456	0.599	407	5	82.3290857798604	0	41.828	5	0.0749605734767025	5	284	279
"HiG_blood"	"Acvrl1"	0.00100121946920711	"HiG"	0.0492977874890853	0.233	43.5	275	120.51813867799	0	1.76254397426475	284	0.0031586809574637	284	104	279
